| Government | Lithuania |
| Political parties and leaders: | Russian Alliance or RA [Tamara LOCHANKINA] |
| Political parties and leaders: | Socialist People's Front or SLF [Algirdas PALECKIS] |
| Political parties and leaders: | Way of Courage or DK [Jonas VARKALA] |
| Political parties and leaders: | YES-Homeland Revival and Perspective or YES Union or TAIP Union or TAIP [Arturas ZUOKAS] |
| Political parties and leaders: | Young Lithuania Party or PJL [Stanislovas BUSKEVICIUS] |
| International organization participation: | Australia Group, BA, BIS, CBSS, CD, CE, EAPC, EBRD, EIB, EU, FAO, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITU, ITUC (NGOs), MIGA, NATO, NIB, NSG, OAS (observer), OIF (observer), OPCW, OSCE, PCA, Schengen Convention, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Zygimantas PAVILIONIS (since 5 August 2010) |
| Diplomatic representation in the US: | chancery: 2622 16th Street NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-5860 |
| Diplomatic representation in the US: | FAX: [1] (202) 328-0466 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Deborah A. MCCARTHY (since 5 February 2013) |
| Diplomatic representation from the US: | embassy: Akmenu gatve 6, Vilnius, LT-03106 |
| Diplomatic representation from the US: | mailing address: American Embassy, Akmenu Gatve 6, Vilnius LT-03106 |
| Diplomatic representation from the US: | telephone: [370] (5) 266-5500 |
| Diplomatic representation from the US: | FAX: [370] (5) 266-5510 |
| Flag description: | three equal horizontal bands of yellow (top), green, and red; yellow symbolizes golden fields, as well as the sun, light, and goodness; green represents the forests of the countryside, in addition to nature, freedom, and hope; red stands for courage and the blood spilled in defense of the homeland |
| National symbol(s): | mounted knight known as Vytis (the Chaser) |
| National anthem: | name: "Tautiska giesme" (The National Song) |
| National anthem: | lyrics/music: Vincas KUDIRKA |
| National anthem: | note: adopted 1918, restored 1990; the anthem was written in 1898 while Lithuania was a part of Russia; it was banned during the Soviet occupation from 1940 to 1990 |
