| Government | Lithuania |
| Judicial branch: | subordinate courts: Court of Appeals; district and local courts |
| Political parties and leaders: | Electoral Action of Lithuanian Poles or LLRA [Valdemar TOMASEVSKI] |
| Political parties and leaders: | Farmers and Greens Union or LVZS [Ramunas KARBAUSKIS] |
| Political parties and leaders: | Freedom Party or LP [Ausrine ARMONAITE] |
| Political parties and leaders: | Homeland Union-Lithuanian Christian Democrats or TS-LKD [Gabrielius LANDSBERGIS] |
| Political parties and leaders: | Labor Party or DP [Viktor USPASKICH] |
| Political parties and leaders: | Lithuanian Center Party or LCP [Naglis PUTEIKIS] |
| Political parties and leaders: | Lithuanian Green Party or LZP [Remigijus LAPINSKAS]] |
| Political parties and leaders: | Lithuanian Liberal Movement or LS or LRLS [Viktorija CMILYTE] |
| Political parties and leaders: | Lithuanian List or LL [Darius KUOLYS] |
| Political parties and leaders: | Lithuanian Social Democratic Party or LSDP [Gintautas PALUCKAS] |
| Political parties and leaders: | Lithuanian Social Democratic Labor Party or LSDDP [Gediminas KIRKILAS] |
| Political parties and leaders: | Freedom and Justice Party or LT [Remigijus ZEMAITAITIS] |
| International organization participation: | Australia Group, BA, BIS, CBSS, CD, CE, EAPC, EBRD, ECB, EIB, EU, FAO, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITU, ITUC (NGOs), MIGA, NATO, NIB, NSG, OAS (observer), OECD, OIF (observer), OPCW, OSCE, PCA, Schengen Convention, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Rolandas KRISCIUNAS (since 17 September 2015) |
| Diplomatic representation in the US: | chancery: 2622 16th Street NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-5860 |
| Diplomatic representation in the US: | FAX: [1] (202) 328-0466 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Robert S. GILCHRIST (since 4 February 2010) |
| Diplomatic representation from the US: | telephone: [370] (5) 266-5500 |
| Diplomatic representation from the US: | embassy: Akmenu gatve 6, Vilnius, LT-03106 |
| Diplomatic representation from the US: | mailing address: American Embassy, Akmenu Gatve 6, Vilnius LT-03106 |
| Diplomatic representation from the US: | FAX: [370] (5) 266-5510 |
| Flag description: | three equal horizontal bands of yellow (top), green, and red; yellow symbolizes golden fields, as well as the sun, light, and goodness; green represents the forests of the countryside, in addition to nature, freedom, and hope; red stands for courage and the blood spilled in defense of the homeland |
| National symbol(s): | mounted knight known as Vytis (the Chaser), white stork; national colors: yellow, green, red |
| National anthem: | name: "Tautiska giesme" (The National Song) |
| National anthem: | lyrics/music: Vincas KUDIRKA |
| National anthem: | note: adopted 1918, restored 1990; written in 1898 while Lithuania was a part of Russia; banned during the Soviet occupation from 1940 to 1990 |
