| Government | Guatemala |
| Judicial branch: | judge selection and term of office: Supreme Court magistrates elected by the Congress of the Republic from candidates proposed by the Postulation Committee, an independent body of deans of the country's university law schools, representatives of the country's law associations, and representatives of the Court of Appeal and other tribunals; magistrates elected for renewable 5-year terms; Constitutional Court judges - 1 elected by the Congress of the Republic, 1 by the Supreme Court president, 1 by the president of the republic, 1 by the University of San Carlos, and one by the BAR association; judges elected for concurrent 5-year terms; the presidency of the court rotates among the magistrates for a single 1-year term |
| Judicial branch: | subordinate courts: numerous first instance and appellate courts |
| Political parties and leaders: | Commitment, Renewal, and Order or CREO [Rodolfo NEUTZE] |
| Political parties and leaders: | Democratic Union or UD [Edwin Armando MARTINEZ Herrera] |
| Political parties and leaders: | Encounter for Guatemala or EG [Nineth MONTENEGRO] |
| Political parties and leaders: | Everyone Together for Guatemala or TODOS [Jorge Mario BARRIOS Falla] |
| Political parties and leaders: | Grand National Alliance or GANA [Jaime Antonio MARTINEZ Lohayza] |
| Political parties and leaders: | Guatemalan National Revolutionary Unity or URNG [Hector Alfredo NUILA Ericastilla] |
| Political parties and leaders: | Guatemalan Republican Front or FRG [Luis Fernando PEREZ] |
| Political parties and leaders: | National Advancement Party or PAN [Juan GUTIERREZ] |
| Political parties and leaders: | National Unity for Hope or UNE |
| Political parties and leaders: | National Welfare or Bien [Sandra TORRES] |
| Political parties and leaders: | Nationalist Change Union or UCN [Mario ESTRADA] |
| Political parties and leaders: | New National Alternative or ANN [Pablo MONSANTO] |
| Political parties and leaders: | Patriot Party or PP [Ingrid Roxana BALDETTI Elias] |
| Political parties and leaders: | Renewed Democratic Liberty or LIDER [Manuel BALDIZON] |
| Political parties and leaders: | Unionista Party or PU [Alvaro ARZU Irigoyen] |
| Political parties and leaders: | Victoria (Victory) [Abraham RIVERA] |
| Political parties and leaders: | Vision with Values or VIVA [Manuel Alfredo VILLACORTA Miron] (part of a coalition with EG during the last legislative election) |
| Political parties and leaders: | Winaq [Rigoberta MENCHU] |
| Political pressure groups and leaders: | Alliance Against Impunity or AI (which includes among others Center for Legal Action on Human Rights (CALDH), and Family and Friends of the Disappeared of Guatemala (FAMDEGUA)) |
| Political pressure groups and leaders: | Agrarian Owners Group or UNAGRO |
| Political pressure groups and leaders: | Committee for Campesino Unity or CUC |
| Political pressure groups and leaders: | Coordinating Committee of Agricultural, Commercial, Industrial, and Financial Associations or CACIF (which includes among others the Agrarian Chamber (CAMAGRO) and the Industry Chamber of Guatemala (CIG)) |
| Political pressure groups and leaders: | Guatemalan Chamber of Commerce (Camara de Comercio) |
| Political pressure groups and leaders: | International Commission Against Impunity in Guatemala or CICIG |
| Political pressure groups and leaders: | Mutual Support Group or GAM |
| Political pressure groups and leaders: | Movimiento PRO-Justicia |
| International organization participation: | BCIE, CACM, CD, CELAC, EITI (candidate country), FAO, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), LAES, LAIA (observer), MIGA, MINUSTAH, MONUSCO, NAM, OAS, OPANAL, OPCW, PCA, Petrocaribe, SICA, UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNIFIL, Union Latina, UNISFA, UNITAR, UNMISS, UNOCI, UNSC (temporary), UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Jose Julio Alejandro LIGORRIA Carballido (since 5 September 2013) |
| Diplomatic representation in the US: | chancery: 2220 R Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 745-4952 |
| Diplomatic representation in the US: | FAX: [1] (202) 745-1908 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Chicago, Denver, Houston, McAllen (TX), Miami, New York, Phoenix, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Arnold A. CHACON (since 29 August 2011) |
| Diplomatic representation from the US: | embassy: 7-01 Avenida Reforma, Zone 10, Guatemala City |
| Diplomatic representation from the US: | mailing address: DPO AA 34024 |
| Diplomatic representation from the US: | telephone: [502] 2326-4000 |
| Diplomatic representation from the US: | FAX: [502] 2326-4654 |
| Flag description: | three equal vertical bands of light blue (hoist side), white, and light blue, with the coat of arms centered in the white band; the coat of arms includes a green and red quetzal (the national bird) representing liberty and a scroll bearing the inscription LIBERTAD 15 DE SEPTIEMBRE DE 1821 (the original date of independence from Spain) all superimposed on a pair of crossed rifles signifying Guatemala's willingness to defend itself and a pair of crossed swords representing honor and framed by a laurel wreath symbolizing victory; the blue bands stand for the Pacific Ocean and the Caribbean Sea and the sea and sky; the white band denotes peace and purity |
| National symbol(s): | quetzal (bird) |
| National anthem: | name: "Himno Nacional de Guatemala" (National Anthem of Guatemala) |
| National anthem: | lyrics/music: Jose Joaquin PALMA/Rafael Alvarez OVALLE |
| National anthem: | note: adopted 1897, modified lyrics adopted 1934; Cuban poet Jose Joaquin PALMA anonymously submitted lyrics to a public contest calling for a national anthem; his authorship was not discovered until 1911 |
