| Government | Guatemala |
| Political parties and leaders: | Authentic Integral Development or DIA [Eduardo SUGER]; Democratic Union or UD [Rodolfo PAIZ Andrade]; Green Party or LOV [Rodolfo ROSALES Garcis-Salaz]; Guatemalan Christian Democracy or DCG [Vinicio CEREZO Arevalo]; Guatemalan National Revolutionary Unity or URNG [Secretary General Alba ESTELA Maldonado]; Guatemalan Republican Front or FRG [Efrain RIOS Montt]; Movement for Guatemalan Unity or MGU [Jacobo ARBENZ Villanueva]; Movement for Principals and Values or MPV [Francisco BIANCHI]; National Advancement Party or PAN [Secretary General Leonel LOPEZ Rodas]; National Unity for Hope or UNE [Alvarado COLOM Caballeros]; New Nation Alliance or ANN, formed by an alliance of DIA, URNG, and several splinter groups most of whom subsequently defected [led by three co-equal partners - Nineth Varenca MONTENEGRO Cottom, Rodolfo BAUER Paiz, and Jorge Antonio BALSELLS TUT]; Patriot Party or PP [retired General Otto PEREZ Molina]; Progressive Liberator Party or PLP [Acisclo VALLADARES Molina]; Reform Movement or MR [Secretary General Alfredo SKINNER-KLEE]; Unionista Party [leader NA] |
| Political pressure groups and leaders: | Agrarian Owners Group or UNAGRO; Alliance Against Impunity or AAI; Committee for Campesino Unity or CUC; Coordinating Committee of Agricultural, Commercial, Industrial, and Financial Associations or CACIF; Mutual Support Group or GAM |
| International organization participation: | BCIE, CACM, CCC, ECLAC, FAO, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (correspondent), ITU, LAES, LAIA (observer), NAM, OAS, OPANAL, OPCW (signatory), PCA, RG, UN, UNCTAD, UNESCO, UNIDO, UNU, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Antonio Fernando ARENALES Forno |
| Diplomatic representation in the US: | chancery: 2220 R Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Houston, Los Angeles, Miami, New York, and San Francisco |
| Diplomatic representation in the US: | FAX: [1] (202) 745-1908 |
| Diplomatic representation in the US: | telephone: [1] (202) 745-4952 |
| Diplomatic representation from the US: | chief of mission: Ambassador John Randle HAMILTON |
| Diplomatic representation from the US: | embassy: 7-01 Avenida Reforma, Zone 10, Guatemala City |
| Diplomatic representation from the US: | mailing address: APO AA 34024 |
| Diplomatic representation from the US: | telephone: [502] 331-1541/55 |
| Diplomatic representation from the US: | FAX: [502] 334-8477 |
| Flag description: | three equal vertical bands of light blue (hoist side), white, and light blue with the coat of arms centered in the white band; the coat of arms includes a green and red quetzal (the national bird) and a scroll bearing the inscription LIBERTAD 15 DE SEPTIEMBRE DE 1821 (the original date of independence from Spain) all superimposed on a pair of crossed rifles and a pair of crossed swords and framed by a wreath |
