| Government | NIGER |
| Legislative branch: | election results: percent of vote by party - PNDS-Tarrayya 44.1%, MODEN/FA-Lumana 14.7%, MNSD-Nassara 11.8%, MPR-Jamhuriya 7.1%, MNRD Hankuri-PSDN Alheri 3.5%, MPN-Kishin Kassa 2.9%, ANDP-Zaman Lahiya 2.4%, RSD-Gaskiya 2.4%, CDS-Rahama 1.8%, CPR-Inganci 1.8%, RDP-Jama'a 1.8%, AMEN AMIN 3.0%, other 1.4%; seats by party - PNDS-Tarrayya 75, MODEN/FA-Lumana 25, MNSD-Nassara 20, MPR-Jamhuriya 12, MNRD Hankuri-PSDN Alheri 6, MPN-Kishin Kassa 5, ANDP-Zaman Lahiya 4, RSD-Gaskiya 4, CDS-Rahama 3, CPR-Inganci 3, RDP-Jama'a 3, RDP-Jama'a 3, AMEN AMIN 3, other 8 |
| Judicial branch: | highest court(s): Constitutional Court (consists of 7 judges); High Court of Justice (consists of 7 members) |
| Judicial branch: | judge selection and term of office: Constitutional Court judges nominated/elected - 1 by the president of the Republic, 1 by the president of the National Assembly, 2 by peer judges, 2 by peer lawyers, 1 law professor by peers, and 1 from within Nigerien society; all appointed by the president; judges serve 6-year nonrenewable terms with one-third of membership renewed every 2 years; High Judicial Court members selected from among the legislature and judiciary; members serve 5-year terms |
| Judicial branch: | subordinate courts: Court of Cassation; Council of State; Court of Finances; various specialized tribunals and customary courts |
| Political parties and leaders: | Alliance of Movements for the Emergence of Niger or AMEN AMIN [Omar Hamidou TCHIANA] |
| Political parties and leaders: | Congress for the Republic or CPR-Inganci [Kassoum MOCTAR] |
| Political parties and leaders: | Democratic Alliance for Niger or ADN-Fusaha [Habi Mahamadou SALISSOU] |
| Political parties and leaders: | Democratic and Social Convention-Rahama or CDS-Rahama [Abdou LABO] |
| Political parties and leaders: | National Movement for the Development of Society-Nassara or MNSD-Nassara [Seini OUMAROU] |
| Political parties and leaders: | Nigerien Alliance for Democracy and Progress-Zaman Lahiya or ANDP-Zaman Lahiya [Moussa Moumouni DJERMAKOYE] |
| Political parties and leaders: | Nigerien Democratic Movement for an African Federation or MODEN/FA Lumana [Hama AMADOU] |
| Political parties and leaders: | Nigerien Movement for Democratic Renewal or MNRD-Hankuri [Mahamane OUSMANE] |
| Political parties and leaders: | Nigerien Party for Democracy and Socialism or PNDS-Tarrayya [Mahamadou ISSOUFOU] |
| Political parties and leaders: | Nigerien Patriotic Movement or MPN-Kishin Kassa [Ibrahim YACOUBA] |
| Political parties and leaders: | Party for Socialism and Democracy in Niger or PSDN-Alheri |
| Political parties and leaders: | Patriotic Movement for the Republic or MPR-Jamhuriya [Albade ABOUBA] |
| Political parties and leaders: | Rally for Democracy and Progress-Jama'a or RDP-Jama'a [Hamid ALGABID] |
| Political parties and leaders: | Social and Democratic Rally or RSD-Gaskiyya [Amadou CHEIFFOU] |
| Political parties and leaders: | Social Democratic Party or PSD-Bassira [Mohamed BEN OMAR] |
| Political parties and leaders: | Union for Democracy and the Republic-Tabbat or UDR-Tabbat [Amadou Boubacar CISSE] |
| Political parties and leaders: | note: the SPLM and SPLM-DC are banned political parties |
| International organization participation: | ACP, AfDB, AU, CD, ECOWAS, EITI (compliant country), Entente, FAO, FZ, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, MINUSMA, MONUSCO, NAM, OIC, OIF, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNMIL, UNOCI, UNWTO, UPU, WADB (regional), WAEMU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Hassana ALIDOU (since 23 February 2015) |
| Diplomatic representation in the US: | chancery: 2204 R Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 483-4224 through 4227 |
| Diplomatic representation in the US: | FAX: [1] (202) 483-3169 |
| Diplomatic representation from the US: | chief of mission: Ambassador Eunice S. REDDICK (since 12 September 2014) |
| Diplomatic representation from the US: | embassy: BP 11201, Rue Des Ambassades, Niamey |
| Diplomatic representation from the US: | mailing address: 2420 Niamey Place, Washington DC 20521-2420 |
| Diplomatic representation from the US: | telephone: [227] 20-73-31-69 or [227] 20-72-39-41 |
| Diplomatic representation from the US: | FAX: [227] 20-73-55-60 |
| Flag description: | three equal horizontal bands of orange (top), white, and green with a small orange disk centered in the white band; the orange band denotes the drier northern regions of the Sahara; white stands for purity and innocence; green symbolizes hope and the fertile and productive southern and western areas, as well as the Niger River; the orange disc represents the sun and the sacrifices made by the people |
| Flag description: | note: similar to the flag of India, which has a blue spoked wheel centered in the white band |
| National symbol(s): | zebu; national colors: orange, white, green |
| National anthem: | name: "La Nigerienne" (The Nigerien) |
| National anthem: | lyrics/music: Maurice Albert THIRIET/Robert JACQUET and Nicolas Abel Francois FRIONNET |
| National anthem: | note: adopted 1961 |
