| Government | Brazil |
| Political parties and leaders: | Brazilian Democratic Movement Party or PMDB [Federal Deputy Michel TEMER]; Brazilian Labor Party or PTB [Flavio de CASTRO MARTINEZ]; Brazilian Renewal Labor Party or PRTB [Jose Levy Fidelix DA CRUZ]; Brazilian Republican Party or PRB [Vitor Paulo Araujo DOS SANTOS]; Brazilian Social Democracy Party or PSDB [Senator Tasso JEREISSATI]; Brazilian Socialist Party or PSB [Federal Deputy Eduardo Henrique Accioly CAMPOS]; Communist Party of Brazil or PCdoB [Jose Renato RABELO]; Democratic Labor Party or PDT [Carlos Roberto LUPI]; Democratic Socialist Party or PSD [Luis Marques MENDES]; Green Party or PV [Jose Luiz de Franca PENNA]; Humanist Party of Solidarity or PHS [leader NA]; Liberal Party or PL [Federal Deputy Valdemar COSTA Neto]; National Order Reconstruction Party or PRONA [Federal Deputy Dr. Eneas Ferreira CARNEIRO]; Partido Municipalista Renovador or PMR [Natal Wellington Rodrigues FURUCHO]; Popular Socialist Party or PPS [Federal Deputy Roberto FREIRE]; Progressive Party or PP [Federal Deputy Pedro CORREA]; Social Christian Party or PSC [Vitor Jorge ABDALA NOSSEIS]; Workers' Party or PT [Ricardo Jose Ribeiro BERZOINI] |
| Political pressure groups and leaders: | Landless Worker's Movement; labor unions and federations; large farmers' associations; religious groups including evangelical Christian churches and the Catholic Church |
| International organization participation: | AfDB, BIS, CAN (associate), CSN, FAO, G-15, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITU, LAES, LAIA, Mercosur, MIGA, MINUSTAH, NAM (observer), NSG, OAS, OPANAL, OPCW, PCA, RG, UN, UN Security Council (temporary), UNCTAD, UNESCO, UNHCR, UNIDO, UNITAR, UNMIL, UNMIS, UNMOVIC, UNOCI, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Roberto P. ABDENUR |
| Diplomatic representation in the US: | chancery: 3006 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 238-2700 |
| Diplomatic representation in the US: | FAX: [1] (202) 238-2827 |
| Diplomatic representation in the US: | consulate(s) general: Boston, Chicago, Houston, Los Angeles, Miami, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Clifford M. SOBEL |
| Diplomatic representation from the US: | embassy: Avenida das Nacoes, Quadra 801, Lote 3, Distrito Federal Cep 70403-900, Brasilia |
| Diplomatic representation from the US: | mailing address: Unit 3500, APO AA 34030 |
| Diplomatic representation from the US: | telephone: [55] (61) 3312-7000 |
| Diplomatic representation from the US: | FAX: [55] (61) 3225-9136 |
| Diplomatic representation from the US: | consulate(s) general: Rio de Janeiro, Sao Paulo |
| Diplomatic representation from the US: | consulate(s): Recife |
| Flag description: | green with a large yellow diamond in the center bearing a blue celestial globe with 27 white five-pointed stars (one for each state and the Federal District) arranged in the same pattern as the night sky over Brazil; the globe has a white equatorial band with the motto ORDEM E PROGRESSO (Order and Progress) |
