| Government | Algeria |
| Political parties and leaders: | Algerian National Front or FNA; Algerian Popular Movement or MPA; Front for Change or FC; Front for Justice and Development or El Adala; Green Algeria Alliance or AAV (includes Movement for National Reform, Islamic Renaissance Movement, and Movement of the Society of Peace or Hamas); Movement of the Society of Peace or MSP [Boudjerra SOLTANI]; National Democratic Rally (Rassemblement National Democratique) or RND [Ahmed OUYAHIA]; National Liberation Front or FLN [Abdelaziz BELKHADEM, secretary general]; National Party for Solidarity and Development or PNSD; National Reform Movement or Islah [Ahmed ABDESLAM] (see Green Algeria Alliance); New Dawn Party or PFJ; Oath of 54 or Ahd 54 [Ali Fawzi REBAINE]; Rally for Culture and Democracy or RCD [Said SADI]; Islamic Renaissance Movement or EnNahda Movement [Fatah RABEI]; Socialist Forces Front or FFS [Hocine AIT AHMED]; Workers Party or PT [Louisa HANOUNE] |
| Political parties and leaders: | note: a law banning political parties based on religion was enacted in March 1997 |
| Political pressure groups and leaders: | The Algerian Human Rights League or LADDH [Mostefa BOUCHACHI]; SOS Disparus [Nacera DUTOUR] |
| International organization participation: | ABEDA, AfDB, AFESD, AMF, AMU, AU, BIS, CAEU, CD, FAO, G-15, G-24, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAS, MIGA, MONUSCO, NAM, OAPEC, OAS (observer), OIC, OPCW, OPEC, OSCE (partner), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNITAR, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Abdallah BAALI (since 5 November 2008) |
| Diplomatic representation in the US: | chancery: 2118 Kalorama Road NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 265-2800 |
| Diplomatic representation in the US: | FAX: [1] (202) 986-5906 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Henry S. ENSHER (since July 2011) |
| Diplomatic representation from the US: | embassy: 05 Chemin Cheikh Bachir, El-Ibrahimi, El-Biar 16030 Algiers |
| Diplomatic representation from the US: | mailing address: B. P. 408, Alger-Gare, 16030 Algiers |
| Diplomatic representation from the US: | telephone: [213] 770-08-2000 |
| Diplomatic representation from the US: | FAX: [213] 770-08-2064 |
| Flag description: | two equal vertical bands of green (hoist side) and white; a red, five-pointed star within a red crescent centered over the two-color boundary; the colors represent Islam (green), purity and peace (white), and liberty (red); the crescent and star are also Islamic symbols, but the crescent is more closed than those of other Muslim countries because the Algerians believe the long crescent horns bring happiness |
| National symbol(s): | star and crescent; fennec fox |
| National anthem: | name: "Kassaman" (We Pledge) |
| National anthem: | lyrics/music: Mufdi ZAKARIAH/Mohamed FAWZI |
| National anthem: | note: adopted 1962; ZAKARIAH wrote "Kassaman" as a poem while imprisoned in Algiers by French colonial forces |
