| Government | Algeria |
| Legislative branch: | National People's Assembly - percent of vote by party - NA; seats by party - FLN 164, RND 97, MSP-FC 33, TAJ 19, Ennahda-FJD 15, FFS 14, El Mostakbel 14, MPA 13, PT 11, RCD 9, ANR 8, MEN 4, other 33, independent 28; composition - men 343, women 119, percent of women 25.8%; note - total Parliament percent of women 20.8% |
| Judicial branch: | highest courts: Supreme Court or Cour Supr̻me, (consists of 150 judges organized into 8 chambers: Civil, Commercial and Maritime, Criminal, House of Offenses and Contraventions, House of Petitions, Land, Personal Status, and Social; Constitutional Council (consists of 12 members including the court chairman and deputy chairman); note - Algeria's judicial system does not include sharia courts |
| Judicial branch: | judge selection and term of office: Supreme Court judges appointed by the High Council of Magistracy, an administrative body presided over by the president of the republic, and includes the republic vice-president and several members; judges appointed for life; Constitutional Council members - 4 appointed by the president of the republic, 2 each by the 2 houses of Parliament, 2 by the Supreme Court, and 2 by the Council of State; Council president and members appointed for single 6-year terms with half the membership renewed every 3 years |
| Judicial branch: | subordinate courts: appellate or wilaya courts; first instance or daira tribunals |
| Political parties and leaders: | Algerian National Front or FNA [Moussa TOUATI] |
| Political parties and leaders: | Algerian Popular Movement or MPA [Amara BENYOUNES] |
| Political parties and leaders: | Algerian Rally or RA [Ali ZAGHDOUD] |
| Political parties and leaders: | Algeria's Hope Rally or TAJ [Amar GHOUL] |
| Political parties and leaders: | Democratic and Social Movement or MDS [Hamid FERHI] |
| Political parties and leaders: | Dignity or El Karama [Aymene HARKATI] |
| Political parties and leaders: | Ennour El Djazairi Party (Algerian Radiance Party) or PED [Badreddine BELBAZ] |
| Political parties and leaders: | Front for Justice and Development or El Adala [Abdallah DJABALLAH] |
| Political parties and leaders: | Future Front or El Mostakbel [Abdelaziz BELAID] |
| Political parties and leaders: | Islamic Renaissance Movement or Ennahda Movement [Mohamed DOUIBI] |
| Political parties and leaders: | Justice and Development Front or FJD [Abdellah DJABALLAH] |
| Political parties and leaders: | Movement of National Construction (Harakat El-Binaa El-Watani) [Abdelkader BENGRINA] |
| Political parties and leaders: | Movement of National Understanding or MEN |
| Political parties and leaders: | Movement for National Reform or Islah [Filali GHOUINI] |
| Political parties and leaders: | Movement of Society for Peace or MSP [Abderrazak MOKRI] |
| Political parties and leaders: | National Democratic Rally (Rassemblement National Democratique) or RND [Ahmed OUYAHIA] |
| Political parties and leaders: | National Front for Social Justice or FNJS [Khaled BOUNEDJEMA] |
| Political parties and leaders: | National Liberation Front or FLN [Mohamed DJEMAI] |
| Political parties and leaders: | National Party for Solidarity and Development or PNSD [Dalila YALAQUI] |
| Political parties and leaders: | National Reform Movement or Islah [Djahid YOUNSI] |
| Political parties and leaders: | National Republican Alliance or ANR [Belkacem SAHLI] |
| Political parties and leaders: | New Dawn Party or PFJ [Tahar BENBAIBECHE] |
| Political parties and leaders: | New Generation or Jil Jadid [Soufiane DJILALI] |
| Political parties and leaders: | Oath of 1954 or Ahd 54 [Ali Fawzi REBAINE] |
| Political parties and leaders: | Party of Justice and Liberty [Mohammed SAID] |
| Political parties and leaders: | Rally for Culture and Democracy or RCD [Mohcine BELABBAS] |
| Political parties and leaders: | Socialist Forces Front or FFS [Hakim BELAHCEL] |
| Political parties and leaders: | Union for Change and Progress or UCP [Zoubida Assoul] |
| Political parties and leaders: | Union of Democratic and Social Forces or UFDS [Noureddine BAHBOUH] |
| Political parties and leaders: | Vanguard of Freedoms (Talaie El Houriat) [Ali BENFLIS] |
| Political parties and leaders: | Youth Party or PJ [Hamana BOUCHARMA] |
| Political parties and leaders: | Workers Party or PT [Louisa HANOUNE] |
| Political parties and leaders: | note: a law banning political parties based on religion was enacted in March 1997 |
| International organization participation: | ABEDA, AfDB, AFESD, AMF, AMU, AU, BIS, CAEU, CD, FAO, G-15, G-24, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAS, MIGA, MONUSCO, NAM, OAPEC, OAS (observer), OIC, OPCW, OPEC, OSCE (partner), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNITAR, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Madjid BOUGUERRA (since 23 February 2015) |
| Diplomatic representation in the US: | chancery: 2118 Kalorama Road NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 265-2800 |
| Diplomatic representation in the US: | FAX: [1] (202) 986-5906 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador John P. DESROCHER (since 5 September 2017) |
| Diplomatic representation from the US: | telephone: [213] (0) 770-08-2000 |
| Diplomatic representation from the US: | embassy: 05 Chemin Cheikh Bachir, Ibrahimi, El-Biar 16030, Alger |
| Diplomatic representation from the US: | mailing address: B. P. 408, Alger-Gare, 16030 Algiers |
| Diplomatic representation from the US: | FAX: [213] (0) 770-08-2064 |
| Flag description: | two equal vertical bands of green (hoist side) and white; a red, five-pointed star within a red crescent centered over the two-color boundary; the colors represent Islam (green), purity and peace (white), and liberty (red); the crescent and star are also Islamic symbols, but the crescent is more closed than those of other Muslim countries because Algerians believe the long crescent horns bring happiness |
| National symbol(s): | five-pointed star between the extended horns of a crescent moon, fennec fox; national colors: green, white, red |
| National anthem: | name: "Kassaman" (We Pledge) |
| National anthem: | lyrics/music: Mufdi ZAKARIAH/Mohamed FAWZI |
| National anthem: | note: adopted 1962; ZAKARIAH wrote "Kassaman" as a poem while imprisoned in Algiers by French colonial forces |
