| Government | Mauritania |
| Political parties and leaders: | National Rally for Reform and Development or RNRD-TAWASSOUL [Mohamed Mahmoud Ould SEYIDI] |
| Political parties and leaders: | Party of Unity and Development or PUD [Mohamed BARO] |
| Political parties and leaders: | Popular Progressive Alliance or APP [Messaoud Ould BOULKHEIR] |
| Political parties and leaders: | Rally of Democratic Forces or RFD [Ahmed Ould DADDAH] |
| Political parties and leaders: | Ravah Party [ Mohamed Ould VALL] |
| Political parties and leaders: | Republican Party for Democracy and Renewal or PRDR [Mintata Mint HEDEID] |
| Political parties and leaders: | Union for Democracy and Progress or UDP [Naha Mint MOUKNASS] |
| Political parties and leaders: | Union of Progress Forces [Mohamed Ould MAOULOUD] |
| Political parties and leaders: | Union for the Republic or UPR [Seyidna Ali Ould MOHAMED KHOUNA] |
| International organization participation: | ABEDA, ACP, AfDB, AFESD, AMF, AMU, AU, CAEU (candidate), EITI (compliant country), FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO (pending member), ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), LAS, MIGA, MIUSMA, NAM, OIC, OIF, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | Ambassador Mohamedoun DADDAH (since 27 June 2016) |
| Diplomatic representation in the US: | chancery: 2129 Leroy Place NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 232-5700 through 5701 |
| Diplomatic representation in the US: | FAX: [1] (202) 319-2623 |
| Diplomatic representation from the US: | chief of mission: Ambassador Michael J. DODMAN (since 5 January 2018) |
| Diplomatic representation from the US: | telephone: [222] 4525-2660 or [222] 2660-2663 |
| Diplomatic representation from the US: | embassy: Avenue Al Quds, Nouadhibou, Nouadhibou Road, Nouakchott, Mauritania |
| Diplomatic representation from the US: | Â  |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | FAX: [222] 4525-1592 |
| Flag description: | green with a yellow, five-pointed star between the horns of a yellow, upward-pointing crescent moon; red stripes along the top and bottom edges; the crescent, star, and color green are traditional symbols of Islam; green also represents hope for a bright future; the yellow color stands for the sands of the Sahara; red symbolizes the blood shed in the struggle for independence |
| National symbol(s): | five-pointed star between the horns of a horizontal crescent moon; national colors: green, yellow |
| National anthem: | name: "Hymne National de la Republique Islamique de Mauritanie" (National Anthem of the Islamic Republic of Mauritania) |
| National anthem: | lyrics/music: Baba Ould CHEIKH/traditional, arranged by Tolia NIKIPROWETZKY |
| National anthem: | note: adopted 1960; the unique rhythm of the Mauritanian anthem makes it particularly challenging to sing; Mauritania in November 2017 adopted a new national anthem, "Bilada-l ubati-l hudati-l kiram" (The Country of Fatherhood is the Honorable Gift) composed by Rageh Daoud (sound file of the new anthem is forthcoming) |
