| Government | MAURITANIA |
| Political parties and leaders: | El Wiam [Boidiel Ould HOUMEIT] |
| Political parties and leaders: | Initiative for the Resurgence of the Abolitionist Movement (Biram Dah ABEID] |
| Political parties and leaders: | Mauritanian Party for Unity and Change or HATEM-PMUC [Saleh Ould HANENA] (Nasserist Arab Nationalists) |
| Political parties and leaders: | National Pact for Democracy and Development or PNDD-ADIL [Yahya Ould Ahmed El WAGHEF] (independents formerly supporting President ABDELLAHI) |
| Political parties and leaders: | National Rally for Freedom, Democracy and Equality or RNLDE |
| Political parties and leaders: | National Rally for Reform and Development or RNRD-TAWASSOUL [Mohamed Jamil MANSOUR] (moderate Islamists) |
| Political parties and leaders: | Party of Unity and Development or PUD [Mohamed BARO] |
| Political parties and leaders: | Popular Front or FP [Mohamed Lemine Ch'bih Ould CHEIKH MALAININE] |
| Political parties and leaders: | Popular Progressive Alliance or APP [Messaoud Ould BOULKHEIR] |
| Political parties and leaders: | Rally of Democratic Forces or RFD [Ahmed Ould DADDAH] |
| Political parties and leaders: | Ravah Party |
| Political parties and leaders: | Republican Party for Democracy and Renewal or PRDR [Mintata Mint HIDEID] |
| Political parties and leaders: | Sawab [Abdel Salem Ould HORMA] (Ba'athists) |
| Political parties and leaders: | Socialist and Democratic Unity Party or PUDS [Mahfouz Weld AZIZ] |
| Political parties and leaders: | Surge of Youth for the Nation [Lalla CHERIVA] |
| Political parties and leaders: | Union for Democracy and Progress or UDP [Naha Mint MOUKNASS] |
| Political parties and leaders: | Union for the Republic or UPR [Sidi Mohamed Ould MAHAM] (ruling party) |
| Political parties and leaders: | Union of Democratic Center or UCD [Cheikh Sid'Ahmed Ould BABA] |
| Political parties and leaders: | Union of the Forces for Progress or UFP [Mohamed Ould MAOULOUD] |
| Political pressure groups and leaders: | General Confederation of Mauritanian Workers or CGTM [Abdallahi Ould MOHAMED, secretary general] |
| Political pressure groups and leaders: | Independent Confederation of Mauritanian Workers or CLTM and El Hor [Samory Ould BEYE] (civil society organization) |
| Political pressure groups and leaders: | Mauritanian Workers Union or UTM [Mohamed Ely Ould BRAHIM, secretary general] |
| Political pressure groups and leaders: | SOS-Esclaves [Boubacar MESSAOUD] (anti-slavery group) |
| Political pressure groups and leaders: | other: Arab nationalists; Ba'athists; Islamists; Nasserists |
| International organization participation: | ABEDA, ACP, AfDB, AFESD, AMF, AMU, AU, CAEU (candidate), EITI (compliant country), FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO (pending member), ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), LAS, MIGA, MIUSMA, NAM, OIC, OIF, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Mohamed Lemine El HAYCEN (since 28 July 2010) |
| Diplomatic representation in the US: | chancery: 2129 Leroy Place NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 232-5700 through 5701 |
| Diplomatic representation in the US: | FAX: [1] (202) 319-2623 |
| Diplomatic representation from the US: | chief of mission: Ambassador Larry Edward ANDRE, Jr. (since 25 September 2014) |
| Diplomatic representation from the US: | embassy: 288 Rue Abdallaye, Rue 42-100 (between Presidency building and Spanish Embassy), Nouakchott |
| Diplomatic representation from the US: | mailing address: BP 222, Nouakchott |
| Diplomatic representation from the US: | telephone: [222] 4525-2660, -2663 |
| Diplomatic representation from the US: | FAX: [222] 4525-1592 |
| Flag description: | green with a yellow five-pointed star above a yellow, horizontal crescent; the closed side of the crescent is down; the crescent, star, and color green are traditional symbols of Islam; green also represents hope for a bright future; the yellow color stands for the sands of the Sahara |
| National symbol(s): | star and crescent; national colors: green, yellow |
| National anthem: | name: "Hymne National de la Republique Islamique de Mauritanie" (National Anthem of the Islamic Republic of Mauritania) |
| National anthem: | lyrics/music: Baba Ould CHEIKH/traditional, arranged by Tolia NIKIPROWETZKY |
| National anthem: | note: adopted 1960; the unique rhythm of the Mauritanian anthem makes it particularly challenging to sing |
