| Government | NORWAY |
| Legislative branch: | election results: percent of vote by party - Ap 27.4%, H 25%, FrP 15.2%, SP 10.3%, SV 6%, V 4.4%, KrF 4.2%, MDG 3.2%, R 2.4%, other/invalid 1.9%; seats by party - Ap 49, H 45, FrP 27, SP 19, SV 11, V 8, KrF 8, MDG 1, R 1 |
| Judicial branch: | highest court(s): Supreme Court or Hoyesterett (consists of the chief justice and 18 associate justices) |
| Judicial branch: | judge selection and term of office: justices appointed by the monarch (King in Council) upon the recommendation of the Judicial Appointments Board; justice retirement mandatory at age 70 |
| Judicial branch: | subordinate courts: Courts of Appeal or Lagmensrett; regional and district courts; Conciliation Boards; ordinary and special courts; note - in addition to professionally trained judges, elected lay judges sit on the bench with professional judges in the Courts of Appeal and district courts |
| Political parties and leaders: | Center Party or Sp [Trygve Slagsvold VEDUM] |
| Political parties and leaders: | Christian Democratic Party or KrF [Knut Arild HAREIDE] |
| Political parties and leaders: | Conservative Party or H [Erna SOLBERG] |
| Political parties and leaders: | Green Party or MDG [Rasmus HANSSON and Une Aina BASTHOLM] |
| Political parties and leaders: | Labor Party or Ap [Jonas Gahr STORE] |
| Political parties and leaders: | Liberal Party or V [Trine SKEI GRANDE] |
| Political parties and leaders: | Progress Party or FrP [Siv JENSEN] |
| Political parties and leaders: | Socialist Left Party or SV [Audun LYSBAKKEN] |
| Political pressure groups and leaders: | Confederation of Norwegian Enterprise or NHO [Tore ULSTEIN, Kristin SKOGEN LUND] |
| Political pressure groups and leaders: | Norwegian Confederation of Trade Unions or LO [Hans-Christian GABRIELSEN] |
| Political pressure groups and leaders: | other: environmental groups; media; digital privacy movements |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), Arctic Council, Australia Group, BIS, CBSS, CD, CE, CERN, EAPC, EBRD, EFTA, EITI (implementing country), ESA, FAO, FATF, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IGAD (partners), IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINUSMA, NATO, NC, NEA, NIB, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, Schengen Convention, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNITAR, UNMISS, UNRWA, UNTSO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Kare Reidar AAS (since 17 September 2013) |
| Diplomatic representation in the US: | chancery: 2720 34th Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 333-6000 |
| Diplomatic representation in the US: | FAX: [1] (202) 459-3990 |
| Diplomatic representation in the US: | consulate(s) general: Houston, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires James P. DEHART (since 12 January 2017) |
| Diplomatic representation from the US: | embassy: Morgedalsvegen 36, 0378 Oslo; |
| Diplomatic representation from the US: | mailing address: PSC 69, Box 1000, APO AE 09707 |
| Diplomatic representation from the US: | telephone: [47] 21-30-85-40 |
| Diplomatic representation from the US: | FAX: [47] 22-44-33-63, 22-56-27-51 |
| Flag description: | red with a blue cross outlined in white that extends to the edges of the flag; the vertical part of the cross is shifted to the hoist side in the style of the Dannebrog (Danish flag); the colors recall Norway's past political unions with Denmark (red and white) and Sweden (blue) |
| National symbol(s): | lion; national colors: red, white, blue |
| National anthem: | name: "Ja, vi elsker dette landet" (Yes, We Love This Country) |
| National anthem: | lyrics/music: lyrics/music: Bjornstjerne BJORNSON/Rikard NORDRAAK |
| National anthem: | note: adopted 1864; in addition to the national anthem, "Kongesangen" (Song of the King), which uses the tune of "God Save the Queen," serves as the royal anthem |
