| Government | Norway |
| Judicial branch: | note - in addition to professionally trained judges, there are elected lay judges that sit on the bench with professional judges in the Courts of Appeal and district courts |
| Judicial branch: | judge selection and term of office: justices appointed by the monarch (King in Council) upon the recommendation of the Judicial Appointments Board; justice retirement mandatory at age 70 |
| Judicial branch: | subordinate courts: Courts of Appeal or Lagmensrett; regional and district courts; Conciliation Boards; ordinary and special courts |
| Political parties and leaders: | Center Party or Sp [Liv Signe NAVARSETE] |
| Political parties and leaders: | Christian Democratic Party or KrF [Knut Arild HAREIDE] |
| Political parties and leaders: | Conservative Party or H [Erna SOLBERG] |
| Political parties and leaders: | Labor Party or Ap [Jens STOLTENBERG] |
| Political parties and leaders: | Liberal Party or V [Trine SKEI-GRANDE] |
| Political parties and leaders: | Progress Party or FrP [Siv JENSEN] |
| Political parties and leaders: | Socialist Left Party or SV [Audun LYSBAKKEN] |
| Political pressure groups and leaders: | Confederation of Norwegian Enterprise (Naeringslivets Hovedorganisasjon) or NHO [President Kristin SKOGEN LUND; CEO John Gordon BERNANDER] |
| Political pressure groups and leaders: | Norwegian Association of the Disabled |
| Political pressure groups and leaders: | Norwegian Confederation of Trade Unions (Landsorganisasjonen i Norge) or LO [Roar FLATHEN] |
| Political pressure groups and leaders: | other: environmental groups; media; digital privacy movements |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), Arctic Council, Australia Group, BIS, CBSS, CD, CE, CERN, EAPC, EBRD, EFTA, EITI (implementing country), ESA, FAO, FATF, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IEA, IFAD, IFC, IFRCS, IGAD (partners), IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MONUSCO, NATO, NC, NEA, NIB, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, Schengen Convention, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNITAR, UNMISS, UNRWA, UNTSO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Kare Reidar AAS (since 22 August 2013) |
| Diplomatic representation in the US: | chancery: 2720 34th Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 333-6000 |
| Diplomatic representation in the US: | FAX: [1] (202) 469-3990 |
| Diplomatic representation in the US: | consulate(s) general: Houston, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Barry B. WHITE (since 21 October 2009) |
| Diplomatic representation from the US: | embassy: Henrik Ibsens gate 48, 0244 Oslo; note - the embassy will move to Huseby in the near future |
| Diplomatic representation from the US: | mailing address: PSC 69, Box 1000, APO AE 09707 |
| Diplomatic representation from the US: | telephone: [47] 21-30-85-40 |
| Diplomatic representation from the US: | FAX: [47] 22-44-33-63, 22-56-27-51 |
| Flag description: | red with a blue cross outlined in white that extends to the edges of the flag; the vertical part of the cross is shifted to the hoist side in the style of the Dannebrog (Danish flag); the colors recall Norway's past political unions with Denmark (red and white) and Sweden (blue) |
| National symbol(s): | lion |
| National anthem: | name: "Ja, vi elsker dette landet" (Yes, We Love This Country) |
| National anthem: | lyrics/music: Bjornstjerne BJORNSON/Rikard NORDRAAK |
| National anthem: | note: adopted 1864; in addition to the national anthem, "Kongesangen" (Song of the King), which uses the tune of "God Save the Queen," serves as the royal anthem |
