| Government | European Union |
| International organization participation: | ARF (dialogue member), ASEAN (dialogue member), Australian Group, BIS, BSEC (observer), CBSS, CERN, EBRD, FAO, FATF, G-8, G-10, G-20, IDA, IEA, IGAD (partners), LAIA (observer), NSG (observer), OAS (observer), OECD, PIF (partner), SAARC (observer), UN (observer), UNRWA (observer), WCO, WTO, ZC (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Joao VALE DE ALMEIDA |
| Diplomatic representation in the US: | chancery: 2175 K Street, NW, Washington, DC 20037 |
| Diplomatic representation in the US: | telephone: [1] (202) 862-9500 |
| Diplomatic representation in the US: | FAX: [1] (202) 429-1766 |
| Diplomatic representation from the US: | chief of mission: Ambassador William E. KENNARD |
| Diplomatic representation from the US: | embassy: 13 Zinnerstraat/Rue Zinner, B-1000 Brussels |
| Diplomatic representation from the US: | mailing address: same as above |
| Diplomatic representation from the US: | telephone: [32] (2) 508-2111 |
| Diplomatic representation from the US: | FAX: [32] (2) 508-2063 |
| Flag description: | a blue field with 12 five-pointed gold stars arranged in a circle in the center; blue represents the sky of the Western world, the stars are the peoples of Europe in a circle, a symbol of unity; the number of stars is fixed |
| National symbol(s): | a circle of 12 stars |
| National anthem: | name: "Ode to Joy"" |
| National anthem: | lyrics/music: none/Ludwig VON BEETHOVEN, arranged by Herbert VON KARAJAN |
| National anthem: | note: adopted 1972, not in use until 1986; according to the European Union, the song is meant to represent all of Europe rather than just the organization; the song also serves as the anthem for the Council of Europe |
