| Government | European Union |
| Executive branch: | note: for external representation and foreign policy making, leaders of the EU member states appointed Federica MOGHERINI (Italy) as the High Representative of the European Union for Foreign Affairs and Security Policy; MOGHERINI took office on 1 November 2014, succeeding Catherine ASHTON (UK) (2009-14); the High Representative's concurrent appointment as Vice President of the European Commission was meant to bring more coherence to the EUâ€™s foreign policy (horizontally, between policies managed by the Commission that are particularly relevant for EU external relations, such as trade, humanitarian aid and crisis management, neighborhood policy and enlargement; and vertically, between national capitals and the EU); the High Representative helps develop and implement the EU's Common Foreign and Security Policy and Common Security and Defense Policy components, chairs the Foreign Affairs Council, represents and acts for the Union in many international contexts, and oversees the European External Action Service, the diplomatic corps of the EU, established on 1 December 2010 |
| Legislative branch: | description: two legislative bodies consisting of the Council of the European Union (27 seats; ministers representing the 27 member states) and the European Parliament (705 seats; seats allocated among member states roughly in proportion to population size; members elected by proportional representation to serve 5-year terms); note - the European Parliament President, Antonio TAJANI (Italian center-right), was elected in January 2017 by a majority of fellow members of the European Parliament (MEPs) and represents the Parliament within the EU and internationally; the Council of the EU and the MEPs share responsibilities for adopting the bulk of EU legislation, normally acting in co-decision on Commission proposals (but not in the area of Common Foreign and Security Policy, which is governed by consensus of the EU member state governments) |
| Legislative branch: | elections: last held on 23-26 May 2019 (next to be held May 2024) |
| Legislative branch: | election results: percent of vote - NA; seats by party (as of 31 January 2020) - EPP 187, S&D 148, ALDE/EDP 97, ID 76, Greens/EFA 67, ECR 59, GUE-NGL 40, non-inscripts 31; composition - NA |
| Judicial branch: | highest courts: Court of Justice of the European Union, which includesÂ the Court of Justice (informally known as the European Court of Justice or ECJ) and the General Court (consists of 27 judges, one drawn from each member state; the ECJ includes 11 Advocates General while the General Court can include additional judges; both the ECJ and the General Court may sit in a "Grand Chamber" of 15 judges in special cases but usually in chambers of 3 to 5 judges |
| Judicial branch: | judge selection and term of office: judges appointed by the common consent of the member states to serve 6-year renewable terms |
| Judicial branch: | note: the ECJ is the supreme judicial authority of the EU; it ensures that EU law is interpreted and applied uniformly throughout the EU, resolves disputed issues among the EU institutions and with member states, and reviews issues and opinions regarding questions of EU law referred by member state courts |
| Political parties and leaders: | Alliance of Liberals and Democrats for Europe or ALDE [Guy VERHOFSTADT] |
| Political parties and leaders: | European United Left-Nordic Green Left or GUE/NGL [Gabriele ZIMMER] |
| Political parties and leaders: | Europe of Freedom and Direct Democracy or EFDD [Nigel FARAGE] |
| Political parties and leaders: | Europe of Nations and Freedom or ENF or ENL [Nicolas BAY and Marcel DE GRAAFF] |
| Political parties and leaders: | European Conservatives and Reformists or ECR [Syed KAMALL and Ryszard LEGUTKO] |
| Political parties and leaders: | European Greens/European Free Alliance or Greens/EFA [Ska KELLER, Philippe LAMBERTS] |
| Political parties and leaders: | European People's Party or EPP [Manfred WEBER] |
| Political parties and leaders: | Identity and Democracy Party [Marco ZANNI] |
| Political parties and leaders: | Progressive Alliance of Socialists and Democrats or S&D [Udo BULLMANN] |
| International organization participation: | ARF, ASEAN (dialogue member), Australian Group, BIS, BSEC (observer), CBSS, CERN, EBRD, FAO, FATF, G-8, G-10, G-20, IDA, IEA, IGAD (partners), LAIA (observer), NSG (observer), OAS (observer), OECD, PIF (partner), SAARC (observer), SICA (observer), UN (observer), UNRWA (observer), WCO, WTO, ZC (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador David O'SULLIVAN (since 18 November 2014) |
| Diplomatic representation in the US: | chancery: 2175 K Street, NW, Suite 800, Washington, DC 20037 |
| Diplomatic representation in the US: | telephone: [1] (202) 862-9500 |
| Diplomatic representation in the US: | FAX: [1] (202) 429-1766 |
| Diplomatic representation from the US: | chief of mission: Ambassador Gordon SONDLAND (since 9 July 2018) |
| Diplomatic representation from the US: | telephone: [32] (2) 811-4100 |
| Diplomatic representation from the US: | embassy: 13 Zinnerstraat/Rue Zinner, B-1000 Brussels |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | FAX: [32] (2) 811-5154 |
| Flag description: | a blue field with 12 five-pointed gold stars arranged in a circle in the center; blue represents the sky of the Western world, the stars are the peoples of Europe in a circle, a symbol of unity; the number of stars is fixed |
| National symbol(s): | a circle of 12, five-pointed, golden yellow stars on a blue field; union colors: blue, yellow |
| National anthem: | name: Ode to Joy |
| National anthem: | lyrics/music: no lyrics/Ludwig VAN BEETHOVEN, arranged by Herbert VON KARAJAN |
| National anthem: | note: official EU anthem since 1985; the anthem is meant to represent all of Europe rather than just the organization, conveying ideas of peace, freedom, and unity |
