| Government | Germany |
| Executive branch: | elections: president elected for a five-year term (eligible for a second term) by a Federal Convention, including all members of the Federal Assembly and an equal number of delegates elected by the state parliaments; election last held 23 May 2004 (next scheduled for 23 May 2009); chancellor elected by an absolute majority of the Federal Assembly for a four-year term; Bundestag vote for Chancellor last held 22 November 2005 (next will follow the national elections to be held by autumn 2009) |
| Executive branch: | election results: Horst KOEHLER elected president; received 604 votes of the Federal Convention against 589 for Gesine SCHWAN; Angela MERKEL elected chancellor; vote by Federal Assembly 397 to 202 with 12 abstentions |
| Legislative branch: | bicameral Parliament or Parlament consists of the Federal Assembly or Bundestag (614 seats; elected by popular vote under a system combining direct and proportional representation; a party must win 5% of the national vote or three direct mandates to gain proportional representation and caucus recognition; to serve four-year terms) and the Federal Council or Bundesrat (69 votes; state governments are directly represented by votes; each has three to six votes depending on population and are required to vote as a block) |
| Legislative branch: | elections: Bundestag - last held on 18 September 2005 (next to be held no later than autumn 2009); note - there are no elections for the Bundesrat; composition is determined by the composition of the state-level governments; the composition of the Bundesrat has the potential to change any time one of the 16 states holds an election |
| Legislative branch: | election results: Bundestag - percent of vote by party - CDU/CSU 35.2%, SPD 34.3%, FDP 9.8%, Left 8.7%, Greens 8.1%, other 3.9%; seats by party - CDU/CSU 225, SPD 222, FDP 61, Left 53, Greens 51, independents 2 |
| Judicial branch: | Federal Constitutional Court or Bundesverfassungsgericht (half the judges are elected by the Bundestag and half by the Bundesrat) |
| Political parties and leaders: | Alliance '90/Greens [Claudia ROTH and Cem OEZDEMIR]; Christian Democratic Union or CDU [Angela MERKEL]; Christian Social Union or CSU [Horst SEEHOFER]; Free Democratic Party or FDP [Guido WESTERWELLE]; Left Party or Die Linke [Lothar BISKY and Oskar LAFONTAINE]; Social Democratic Party or SPD [Franz MUENTEFERING] |
| Political pressure groups and leaders: | other: business associations and employers' organizations; religious, trade unions, immigrant, expellee, and veterans groups |
| International organization participation: | ADB (nonregional members), AfDB (nonregional members), Arctic Council (observer), Australia Group, BIS, BSEC (observer), CBSS, CDB, CE, CERN, EAPC, EBRD, EIB, EMU, ESA, EU, FAO, G-5, G-7, G-8, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, NAM (guest), NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, Schengen Convention, SECI (observer), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNMIL, UNMIS, UNOMIG, UNRWA, UNWTO, UPU, WADB (nonregional), WCO, WEU, WFTU, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Klaus SCHARIOTH |
| Diplomatic representation in the US: | chancery: 4645 Reservoir Road NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 298-4000 |
| Diplomatic representation in the US: | FAX: [1] (202) 298-4249 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Boston, Chicago, Houston, Los Angeles, Miami, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador William R. TIMKEN, Jr. |
| Diplomatic representation from the US: | embassy: Pariser Platz 2, 10117 Berlin; note - new embassy opened 4 July 2008 |
| Diplomatic representation from the US: | mailing address: PSC 120, Box 1000, APO AE 09265, clayallee 170, 14195 Berlin |
| Diplomatic representation from the US: | telephone: [49] (030) 2385174 |
| Diplomatic representation from the US: | FAX: [49] (030) 8305-1215 |
| Diplomatic representation from the US: | consulate(s) general: Duesseldorf, Frankfurt am Main, Hamburg, Leipzig, Munich |
| Flag description: | three equal horizontal bands of black (top), red, and gold |
