| Government | Germany |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected for a five-year term (eligible for a second term) by a Federal Convention, including all members of the Federal Parliament (Bundestag) and an equal number of delegates elected by the state parliaments; election last held on 19 February 2012 (next to be held by June 2017); chancellor elected by an absolute majority of the Federal Parliament for a four-year term; Federal Parliament vote for Chancellor last held on 17 December 2013 (next to be held after the September 2017 elections) |
| Executive branch: | election results: Joachim GAUCK elected president; received 991 votes of the Federal Convention against 126 for Beate KLARSFELD and 3 for Olaf ROSE; Angela MERKEL reelected chancellor; vote by Federal Parliament 462 to 150 with four abstentions |
| Legislative branch: | bicameral legislature consists of the Federal Council or Bundesrat (69 votes; state governments sit in the Council; each has three to six votes in proportion to population and is required to vote as a block) and the Federal Parliament or Bundestag (630 seats; members elected by popular vote for a four-year term under a system of personalized proportional representation; a party must win 5% of the national vote or three direct mandates to gain proportional representation and caucus recognition) |
| Legislative branch: | elections: Bundestag - last held on 22 September 2013 (next to be held no later than autumn 2017); most all postwar German governments have been coalitions; note - there are no elections for the Bundesrat; composition is determined by the composition of the state-level governments; the composition of the Bundesrat has the potential to change any time one of the 16 states holds an election |
| Legislative branch: | election results: Bundestag - percent of vote by party - CDU/CSU 41.5%, SPD 25.7%, Left 8.6%, Greens 8.4%, FDP 4.8%, other 10.9%; seats by party - CDU/CSU 311, SPD 193, Left 64, Greens 63 |
| Judicial branch: | highest court(s): Federal Court of Justice (court consists of 127 judges including the court president, vice-presidents, presiding judges, and other judges, and organized into 25 Senates subdivided into 12 civil panels, 5 criminal panels, and 8 special panels; Federal Constitutional Court or Bundesverfassungsgericht (consists of 2 Senates each subdivided into 3 chambers, each with a chairman and 8 members) |
| Judicial branch: | judge selection and term of office: Federal Court of Justice judges selected by the Judges Election Committee, which consists of the Secretaries of Justice from each of the 16 federated States and 16 members appointed by the Federal Parliament; judges appointed by the president of Germany; judges serve until mandatory retirement at age 65; Federal Constitutional Court judges - one-half elected by the House of Representatives and one-half by the Senate; judges appointed for 12-year terms with mandatory retirement at age 68 |
| Judicial branch: | subordinate courts: Federal Administrative Court; Federal Finance Court; Federal Labor Court; Federal Social Court; each of the 16 German states or Land has its own constitutional court and a hierarchy of ordinary (civil, criminal, family) and specialized (administrative, finance, labor, social) courts |
| Political parties and leaders: | Alliance '90/Greens [Cem OEZDEMIR and Simone PETER] |
| Political parties and leaders: | Christian Democratic Union or CDU [Angela MERKEL] |
| Political parties and leaders: | Christian Social Union or CSU [Horst SEEHOFER] |
| Political parties and leaders: | Free Democratic Party or FDP [Christian LINDNER] |
| Political parties and leaders: | Left Party or Die Linke [Katia KIPPING and Bernd RIEXINGER] |
| Political parties and leaders: | Social Democratic Party or SPD [Sigmar GABRIEL] |
| Political pressure groups and leaders: | business associations and employers' organizations |
| Political pressure groups and leaders: | trade unions; religious, immigrant, expellee, and veterans groups |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), Arctic Council (observer), Australia Group, BIS, BSEC (observer), CBSS, CD, CDB, CE, CERN, EAPC, EBRD, ECB, EIB, EITI (implementing country), EMU, ESA, EU, FAO, FATF, G-20, G-5, G-7, G-8, G-10, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IEA, IFAD, IFC, IFRCS, IGAD (partners), IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINUSMA, NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, Pacific Alliance (observer), Paris Club, PCA, Schengen Convention, SELEC (observer), SICA (observer), UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNMIL, UNMISS, UNRWA, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Hans Peter WITTIG (since 21 May 2014) |
| Diplomatic representation in the US: | chancery: 2300 M Street NW, Washington, DC 20037 |
| Diplomatic representation in the US: | telephone: [1] (202) 298-4000 |
| Diplomatic representation in the US: | FAX: [1] (202) 298-4261 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Boston, Chicago, Houston, Los Angeles, Miami, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador John B. EMERSON (since 7 August 2013) |
| Diplomatic representation from the US: | embassy: Pariser Platz 2, 10117 Berlin |
| Diplomatic representation from the US: | mailing address: Unit 5090, Box 1000, DPO AE09265 |
| Diplomatic representation from the US: | telephone: [49] (30) 48305-0 |
| Diplomatic representation from the US: | FAX: [49] (30) 8305-1215 |
| Diplomatic representation from the US: | consulate(s) general: Duesseldorf, Frankfurt am Main, Hamburg, Leipzig, Munich |
| Flag description: | three equal horizontal bands of black (top), red, and gold; these colors have played an important role in German history and can be traced back to the medieval banner of the Holy Roman Emperor - a black eagle with red claws and beak on a gold field |
| National symbol(s): | golden eagle |
| National anthem: | name: "Das Lied der Deutschen" (Song of the Germans) |
| National anthem: | lyrics/music: August Heinrich HOFFMANN VON FALLERSLEBEN/Franz Joseph HAYDN |
| National anthem: | note: adopted 1922; the anthem, also known as "Deutschlandlied" (Song of Germany), was originally adopted for its connection to the March 1848 liberal revolution; following appropriation by the Nazis of the first verse, specifically the phrase, "Deutschland, Deutschland ueber alles" (Germany, Germany above all) to promote nationalism, it was banned after 1945; in 1952, its third verse was adopted by West Germany as its national anthem; in 1990, it became the national anthem for the reunited Germany |
