| Government | Germany |
| Executive branch: | elections: president elected for a five-year term (eligible for a second term) by a Federal Convention, including all members of the Federal Parliament (Bundestag) and an equal number of delegates elected by the state parliaments; election last held on 19 February 2012 (next to be held by June 2017); chancellor elected by an absolute majority of the Federal Parliament for a four-year term; Federal Parliament vote for Chancellor last held after 27 September 2009 (next to be held 2013) |
| Executive branch: | election results: Joachim GAUCK elected president; received 991 votes of the Federal Convention against 126 for Beate KLARSFELD and 3 for Olaf ROSE; Angela MERKEL reelected chancellor; vote by Federal Parliament 323 to 285 with four abstentions |
| Legislative branch: | bicameral legislature consists of the Federal Council or Bundesrat (69 votes; state governments sit in the Council; each has three to six votes in proportion to population and is required to vote as a block) and the Federal Parliament or Bundestag (622 seats; members elected by popular vote for a four-year term under a system of personalized proportional representation; a party must win 5% of the national vote or three direct mandates to gain proportional representation and caucus recognition) |
| Legislative branch: | elections: Bundestag - last held on 27 September 2009 (next to be held no later than autumn 2013); note - there are no elections for the Bundesrat; composition is determined by the composition of the state-level governments; the composition of the Bundesrat has the potential to change any time one of the 16 states holds an election |
| Legislative branch: | election results: Bundestag - percent of vote by party - CDU/CSU 33.8%, SPD 23%, FDP 14.6%, Left 11.9%, Greens 10.7%, other 6%; seats by party - CDU/CSU 239, SPD 146, FDP 93, Left 76, Greens 68 |
| Judicial branch: | Federal Constitutional Court or Bundesverfassungsgericht (half the judges are elected by the Bundestag and half by the Bundesrat); Federal Court of Justice; Federal Administrative Court |
| Political parties and leaders: | Alliance '90/Greens [Claudia ROTH and Cem OEZDEMIR]; Christian Democratic Union or CDU [Angela MERKEL]; Christian Social Union or CSU [Horst SEEHOFER]; Free Democratic Party or FDP [Philipp ROESLER]; Left Party or Die Linke [Katia KIPPING and Bernd RIEXINGER]; Social Democratic Party or SPD [Sigmar GABRIEL] |
| Political pressure groups and leaders: | business associations and employers' organizations; trade unions; religious, immigrant, expellee, and veterans groups |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), Arctic Council (observer), Australia Group, BIS, BSEC (observer), CBSS, CD, CDB, CE, CERN, EAPC, EBRD, ECB, EIB, EITI (implementing country), EMU, ESA, EU, FAO, FATF, G-20, G-5, G-7, G-8, G-10, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IEA, IFAD, IFC, IFRCS, IGAD (partners), IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, Schengen Convention, SELEC (observer), SICA (observer), UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNMIL, UNMISS, UNRWA, UNSC (temporary), UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Peter AMMON |
| Diplomatic representation in the US: | chancery: 4645 Reservoir Road NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 298-4000 |
| Diplomatic representation in the US: | FAX: [1] (202) 298-4249 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Boston, Chicago, Houston, Los Angeles, Miami, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Philip D. MURPHY |
| Diplomatic representation from the US: | embassy: Pariser Platz 2, 14191 Berlin |
| Diplomatic representation from the US: | mailing address: PSC 120, Box 1000, APO AE 09265, Clayallee 170, 14195 Berlin |
| Diplomatic representation from the US: | telephone: [49] (030) 2385174 |
| Diplomatic representation from the US: | FAX: [49] (030) 8305-1215 |
| Diplomatic representation from the US: | consulate(s) general: Duesseldorf, Frankfurt am Main, Hamburg, Leipzig, Munich |
| Flag description: | three equal horizontal bands of black (top), red, and gold; these colors have played an important role in German history and can be traced back to the medieval banner of the Holy Roman Emperor - a black eagle with red claws and beak on a gold field |
| National symbol(s): | black eagle |
| National anthem: | name: "Lied der Deutschen" (Song of the Germans) |
| National anthem: | lyrics/music: August Heinrich HOFFMANN VON FALLERSLEBEN/Franz Joseph HAYDN |
| National anthem: | note: adopted 1922, restored 1990; the anthem, also known as "Deutschlandlied" (Song of Germany), was abolished in 1945 because of the Nazi's use of the first verse, specifically the phrase, "Deutschland, Deutschland ueber alles" (Germany, Germany above all) to promote nationalism; since restoration in 1990, only the third verse is sung |
