| Government | Croatia |
| Legal system: | civil law system influenced by legal heritage of Austria-Hungary; note - Croatian law was fully harmonized with the European Community acquis as of the June 2010 completion of EU accession negotiations |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Croatia |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Judicial branch: | highest courts: Supreme Court (consists of the court president and vice president, 25 civil department justices, and 16 criminal department justices) |
| Judicial branch: | judge selection and term of office: president of Supreme Court nominated by president of Croatia and elected by Croatian Sabor for a 4-year term; other Supreme Court justices appointed by National Judicial Council; all judges serve until age 70 |
| Judicial branch: | subordinate courts: Administrative Court; county, municipal, and specialized courts; note - there is an 11-member Constitutional Court with jurisdiction limited to constitutional issues but is outside Croatia's judicial system |
| Executive branch: | chief of state: President Kolinda GRABAR-KITAROVIC (since 19 February 2015) |
| Executive branch: | head of government: Prime Minister Andrej PLENKOVIC (since 19 October 2016); Deputy Prime Ministers Damir KRSTICEVIC (since 19 October 2016), Predrag STROMAR (since 9 June 2017), Marija Pejcinovic BURIC (since 19 June 2017), and Tomislav TOLUSIC (since 25 May 2018) |
| Executive branch: | cabinet: Council of Ministers named by the prime minister and approved by the Assembly |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 28 December 2014 and 11 January 2015 (next to be held in 2019); the leader of the majority party or majority coalition usually appointed prime minister by the president and approved by the Assembly |
| Executive branch: | election results: Kolinda GRABAR-KITAROVIC elected president in second round; percent of vote - Kolinda GRABAR-KITAROVIC (HDZ) 50.7%, Ivo JOSIPOVIC (Forward Croatia Progressive Alliance) 49.3% |
| Legislative branch: | description: unicameral Assembly or Hrvatski Sabor (151 seats; 140 members in 10 multi-seat constituencies and 3 members in a single constituency for Croatian diaspora directly elected by proportional representation vote using the D'Hondt method with a 5% threshold; an additional 8 members elected from a nationwide constituency by simple majority by voters belonging to minorities recognized by Croatia; the Serb minority elects 3 Assembly members, the Hungarian and Italian minorities elect 1 each, the Czech and Slovak minorities elect 1 jointly, and all other minorities elect 2; all members serve 4-year terms |
| Legislative branch: | elections: last held on 11 September 2016 as a snap election following dissolution of the Assembly on 15 July 2016 (next to be held by 23 December 2020) |
| Legislative branch: | election results: percent of vote by coalition/party - NA; number of seats by coalition/party - HDZ coalition 61, People's Coalition 54, Most-HL 13, Only Option 8, minorities 8 (includes SDSS 3), other 7; composition - men 123, women 28, percent of women 18.5% |
| Legislative branch: | note: as of August 2017, seats by party - HDZ 55, SDP 37, MOST-NL 12, HNS 5, HSS 5, GLAS 4, Human Blockade 3, IDS 3, SDSS 3, HDS 2, PH 2, other 7, independent 13 |
| Political parties and leaders: | Bloc of Pensioners Together or BUZ [Milivoj SPIKA] |
| Political parties and leaders: | Bridge of Independent Lists or Most-NL [Bozo PETROV] |
| Political parties and leaders: | Civic Liberal Alliance or GLAS [Ankar Mrak TARITAS] |
| Political parties and leaders: | Croatian Christian Democratic Party or HDS [Goran DODIG] |
| Political parties and leaders: | Croatian Democratic Congress of Slavonia and Baranja or HDSSB [Branimir GLAVAS] |
| Political parties and leaders: | Croatian Democratic Union or HDZ [Andrej PLENKOVIC] |
| Political parties and leaders: | Croatian Laborists - Labor Party or HL [David BREGOVAC] |
| Political parties and leaders: | Croatian Party of Rights - Dr. Ante Starcevic or HSP AS [Hrvoje NICE] |
| Political parties and leaders: | Croatian Peasant Party or HSS [Kreso BELJAK] |
| Political parties and leaders: | Croatian Pensioner Party or HSU [Silvano HRELJA] |
| Political parties and leaders: | Croatian People's Party - Liberal Democrats or HNS [Ivan VRDOLJAK] |
| Political parties and leaders: | Croatian Social Liberal Party or HSLS [Darinko KOSOR] |
| Political parties and leaders: | Forward Croatia Progressive Alliance [Ivo JOSIPOVIC] |
| Political parties and leaders: | Human Blockade ("Living Wall") [Ivan PERNAR and Vilibor SINCIC] |
| Political parties and leaders: | Independent Democratic Serb Party or SDSS [Milorad PUPOVAC] |
| Political parties and leaders: | Istrian Democratic Assembly or IDS [Boris MILETIC] |
| Political parties and leaders: | Let's Change Croatia or PH [Ivan LOVRINOVIC] |
| Political parties and leaders: | Milan Bandic 365 - Party of Labor and Solidarity or BM365-SRS [Milan BANDIC] |
| Political parties and leaders: | Movement for Successful Croatia or HRAST [Ladislav ILCIC] |
| Political parties and leaders: | People's Party - Reformists Party [Radimir CACIC] |
| Political parties and leaders: | Smart Party or PAMETNO [Marijana PULJAK] |
| Political parties and leaders: | Social Democratic Party of Croatia or SDP [Davor BERNARDIC] |
| International organization participation: | Australia Group, BIS, BSEC (observer), CD, CE, CEI, EAPC, EBRD, ECB, EMU, EU, FAO, G-11, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, NAM (observer), NATO, NSG, OAS (observer), OIF (observer), OPCW, OSCE, PCA, SELEC, UN, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, UNIFIL, UNMIL, UNMOGIP, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Pjer SIMUNOVIC (since 8 September 2017) |
| Diplomatic representation in the US: | chancery: 2343 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 588-5899 |
| Diplomatic representation in the US: | FAX: [1] (202) 588-8936 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador W. Robert KOHORST (since 12 January 2018) |
| Diplomatic representation from the US: | embassy: 2 Thomas Jefferson Street, 10010 Zagreb |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [385] (1) 661-2200 |
| Diplomatic representation from the US: | FAX: [385] (1) 661-2373 |
| Flag description: | three equal horizontal bands of red (top), white, and blue - the Pan-Slav colors - superimposed by the Croatian coat of arms; the coat of arms consists of one main shield (a checkerboard of 13 red and 12 silver (white) fields) surmounted by five smaller shields that form a crown over the main shield; the five small shields represent five historic regions (from left to right): Croatia, Dubrovnik, Dalmatia, Istria, and Slavonia |
| Flag description: | note: the Pan-Slav colors were inspired by the 19th-century flag of Russia |
| National symbol(s): | red-white checkerboard; national colors: red, white, blue |
| National anthem: | name: "Lijepa nasa domovino" (Our Beautiful Homeland) |
| National anthem: | lyrics/music: Antun MIHANOVIC/Josip RUNJANIN |
| National anthem: | note: adopted in 1972 while still part of Yugoslavia; "Lijepa nasa domovino," whose lyrics were written in 1835, served as an unofficial anthem beginning in 1891 |
