| Government | CROATIA |
| Suffrage: | 18 years of age, 16 if employed; universal |
| Executive branch: | chief of state: President Kolinda GRABAR-KITAROVIC (since 19 February 2015) |
| Executive branch: | head of government: Prime Minister Andrej PLENKOVIC (since 19 October 2016); Deputy Prime Ministers Davor Ivo STIER, Damir KRSTICEVIC, Martina DALIC, Ivan KOVACIC (since 19 October 2016) |
| Executive branch: | cabinet: Council of Ministers named by the prime minister and approved by the Assembly |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 28 December 2014 and 11 January 2015 (next to be held in 2019); the leader of the majority party or majority coalition usually appointed prime minister by the president and approved by the Assembly |
| Executive branch: | election results: Kolinda GRABAR-KITAROVIC elected president; percent of vote in the second round - Kolinda GRABAR-KITAROVIC (HDZ) 50.7%, Ivo JOSIPOVIC (Forward Croatia Progressive Alliance) 49.3% |
| Legislative branch: | description: unicameral Assembly or Hrvatski Sabor (151 seats; members directly elected by party-list proportional representation vote using the D'Hondt method with a 5% threshold: 14 seats in each of 10 districts; 8 seats in a single nationwide district for minorities; 3 seats in a single special district for the Croatian diaspora, members elected for 4-year terms) |
| Legislative branch: | elections: last held on 11 September 2016 (next to be held in September 2020) - Assembly voted on 20 June 2016 to dissolve on 15 July 2016, resulting in snap elections |
| Legislative branch: | election results: percent of vote by party/coalition - NA; number of seats by party/coalition - HDZ coalition 61, People's Coalition 54, Most-NL 13, Only Option 8, minorities 8 (includes SDSS 3), other 7 |
| Judicial branch: | highest court(s): Supreme Court (consists of the court president and vice president, 25 civil department justices, and 16 criminal department justices) |
| Judicial branch: | judge selection and term of office: president of Supreme Court nominated by president of Croatia and elected by Croatian Sabor for a 4-year term; other Supreme Court justices appointed by National Judicial Council; all judges serve until age 70 |
| Judicial branch: | subordinate courts: Administrative Court; county, municipal, and specialized courts; note - there is an 11-member Constitutional Court with jurisdiction limited to constitutional issues but is outside Croatia's judicial system |
| Political parties and leaders: | Bloc of Pensioners Together or BUZ [Milivoj SPIKA] |
| Political parties and leaders: | Bridge of Independent Lists or Most-NL [Bozo PETROV] |
| Political parties and leaders: | Croatian Christian Democratic Party or HDS [Goran DODIG] |
| Political parties and leaders: | Croatian Democratic Congress of Slavonia and Baranja or HDSSB [Dragan VULIN] |
| Political parties and leaders: | Croatian Democratic Union or HDZ [Andrej PLENKOVIC] |
| Political parties and leaders: | Croatian Laborists - Labor Party or HL [Tomislav KONCEVSKI] |
| Political parties and leaders: | Croatian Party of Rights - dr. Ante Starcevic or HSP AS [Ivan TEPES] |
| Political parties and leaders: | Croatian Peasant Party or HSS [Kreso BELJAK] |
| Political parties and leaders: | Croatian Pensioner Party or HSU [Silvano HRELJA] |
| Political parties and leaders: | Croatian People's Party - Liberal Democrats or HNS [Ivan VRDOLJAK] |
| Political parties and leaders: | Croatian Social Liberal Party or HSLS [Darinko KOSOR] |
| Political parties and leaders: | Forward Croatia Progressive Alliance [Ivo JOSIPOVIC] |
| Political parties and leaders: | HDZ Coalition [Andrej PLENKOVIC] (includes HDZ, HSLS, HDS) |
| Political parties and leaders: | Human Blockade [Ivan SINCIC] |
| Political parties and leaders: | Independent Democratic Serb Party or SDSS [Vojislav STANIMIROVIC] |
| Political parties and leaders: | Independent List of Stipe Petrina or NLSP [Stipe PETRINA] |
| Political parties and leaders: | Istrian Democratic Assembly or IDS [Boris MILETIC] |
| Political parties and leaders: | Istrian Democrats [Damir KAJIN] |
| Political parties and leaders: | Let's Change Croatia or PH [Ivan LOVRINOVIC] |
| Political parties and leaders: | Milan Bandic 365 - Party of Labor and Solidarity or BM365-SRS [Milan BANDIC] |
| Political parties and leaders: | Movement for Successful Croatia or HRAST [Ladislav ILCIC] |
| Political parties and leaders: | People's Coalition [Zoran MILANOVIC] (includes SDP, HNS, HSU, HSS] |
| Political parties and leaders: | People's Party - Reformists Party [Radimir CACIC] |
| Political parties and leaders: | Social Democratic Party of Croatia or SDP [Zoran MILANOVIC] |
| Political parties and leaders: | The Only Option Coalition (includes Human Blockade, PH, Always Frankers, Youth Action, Alphabet of Democracy) |
| Political pressure groups and leaders: | other: human rights groups |
| International organization participation: | Australia Group, BIS, BSEC (observer), CD, CE, CEI, EAPC, EBRD, ECB, EMU, EU, FAO, G-11, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, NAM (observer), NATO, NSG, OAS (observer), OIF (observer), OPCW, OSCE, PCA, SELEC, UN, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, UNIFIL, UNMIL, UNMOGIP, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Josip "Josko" PARO (since 20 April 2012) |
| Diplomatic representation in the US: | chancery: 2343 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 588-5899 |
| Diplomatic representation in the US: | FAX: [1] (202) 588-8936 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Julieta Valls NOYES (since 5 October 2015) |
| Diplomatic representation from the US: | embassy: 2 Thomas Jefferson Street, 10010 Zagreb |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [385] (1) 661-2200 |
| Diplomatic representation from the US: | FAX: [385] (1) 661-2373 |
| Flag description: | three equal horizontal bands of red (top), white, and blue - the Pan-Slav colors - superimposed by the Croatian coat of arms; the coat of arms consists of one main shield (a checkerboard of 13 red and 12 silver (white) fields) surmounted by five smaller shields that form a crown over the main shield; the five small shields represent five historic regions (from left to right): Croatia, Dubrovnik, Dalmatia, Istria, and Slavonia |
| Flag description: | note: the Pan-Slav colors were inspired by the 19th-century flag of Russia |
| National symbol(s): | red-white checkerboard; national colors: red, white, blue |
| National anthem: | name: "Lijepa nasa domovino" (Our Beautiful Homeland) |
| National anthem: | lyrics/music: Antun MIHANOVIC/Josip RUNJANIN |
| National anthem: | note: adopted 1972; "Lijepa nasa domovino," whose lyrics were written in 1835, served as an unofficial anthem beginning in 1891 |
