| Government | Croatia |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held on 10 January 2010 (next to be held in December 2015); the leader of the majority party or the leader of the majority coalition usually appointed prime minister by the president and then approved by the assembly |
| Executive branch: | election results: Ivo JOSIPOVIC elected president; percent of vote in the second round - Ivo JOSIPOVIC 60%, Milan BANDIC 40% |
| Legislative branch: | unicameral Assembly or Sabor (151 seats; members elected from party lists by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held on 4 December 2011 (next to be held in late 2015) |
| Legislative branch: | election results: percent of vote by party - Kukuriku 40.1%, HDZ 23.5%, Laborists-Labor 5.1%, HDSSB 2.9%, Independent list of Ivan Grubisic 2.8%, HSS 3%, HCSP-HSP 2.8%, other 19.9%; number of seats by party - Kukuriku 80, HDZ 44, Laborists-Labor 6, HDSSB 6, Independent list of Ivan Grubisic 2, HSS 1, HCSP-HSP 1, other 11 |
| Judicial branch: | Supreme Court; Constitutional Court; judges for both courts are appointed for eight-year terms by the Judicial Council of the Republic, which is elected by the Assembly |
| Political parties and leaders: | Croatian Democratic Congress of Slavonia and Baranja or HDSSB [Vladimir SISLJAGIC]; Croatian Democratic Union or HDZ [Jadranka KOSOR]; Croatian Laborists-Labor Party [Dragutin LESAR]; Croatian Party of the Right or HSP [Ante STARCEVIC]; Croatian Peasant Party or HSS [Josip FRISCIC]; Croatian Pensioner Party or HSU [Silvano HRELJA]; Croatian People's Party or HNS [Radimir CACIC]; Croatian Pure Party of the Right or HCSP [Ruza TOMASIC]; Croatian Social Liberal Party or HSLS [Darinko KOSOR]; Independent Democratic Serb Party or SDSS [Vojislav STANIMIROVIC]; Istrian Democratic Assembly or IDS [Ivan JAKOVCIC]; Kukuriku Coalition (consists of SDP, HNS, IDS, and HSU) [Zoran MILANOVIC]; Social Democratic Party of Croatia or SDP [Zoran MILANOVIC] |
| Political pressure groups and leaders: | other: human rights groups |
| International organization participation: | Australia Group, BIS, BSEC (observer), CE, CEI, EAPC, EBRD, EU (candidate country), FAO, G-11, IADB, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MINURSO, MINUSTAH, NAM (observer), NATO, NSG, OAS (observer), OIF (observer), OPCW, OSCE, PCA, SECI, UN, UNCTAD, UNDOF, UNESCO, UNFICYP, UNHCR, UNIDO, UNIFIL, UNMIL, UNMOGIP, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Kolinda GRABAR-KITAROVIC |
| Diplomatic representation in the US: | chancery: 2343 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 588-5899 |
| Diplomatic representation in the US: | FAX: [1] (202) 588-8936 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador James B. FOLEY |
| Diplomatic representation from the US: | embassy: 2 Thomas Jefferson Street, 10010 Zagreb |
| Diplomatic representation from the US: | mailing address: use street address |
| Diplomatic representation from the US: | telephone: [385] (1) 661-2200 |
| Diplomatic representation from the US: | FAX: [385] (1) 661-2373 |
| Flag description: | three equal horizontal bands of red (top), white, and blue - the Pan-Slav colors - superimposed by the Croatian coat of arms; the coat of arms consists of one main shield (a checkerboard of 13 red and 12 silver (white) fields) surmounted by five smaller shields that form a crown over the main shield; the five small shields represent five historic regions, they are (from left to right): Croatia, Dubrovnik, Dalmatia, Istria, and Slavonia |
| Flag description: | note: the Pan-Slav colors were inspired by the 19th-century flag of Russia |
| National symbol(s): | red-white checkerboard |
| National anthem: | name: "Lijepa nasa domovino" (Our Beautiful Homeland) |
| National anthem: | lyrics/music: Antun MIHANOVIC/Josip RUNJANIN |
| National anthem: | note: adopted 1972; "Lijepa nasa domovino," whose lyrics were written in 1835, served as an unofficial anthem beginning in 1891 |
