| Government | COLOMBIA |
| Legislative branch: | description: bicameral Congress or Congreso consists of the Senate or Senado (102 seats; 100 members elected nationally - not by district or state - and two elected on a special ballot for indigenous communities to serve 4-year terms) and the Chamber of Representatives or Camara de Representantes (166 seats; members elected in multi-seat constituencies by proportional representation vote to serve 4-year terms) |
| Legislative branch: | elections: Senate - last held on 9 March 2014 (next to be held in March 2018); Chamber of Representatives - last held on 9 March 2014 (next to be held in March 2018) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - U Party 21, CD 20, PC 18, PL 17, CR 9, PDA 5, Green Party 5, other 7; Chamber of Representatives - percent of vote by party - NA; seats by party - PL 39, U Party 37, PC 27, CD 19, CR 16, Green Party 6, PDA 3, other 19 |
| Judicial branch: | highest court(s): Supreme Court of Justice or Corte Suprema de Justicia (consists of the Civil-Agrarian and Labor Chambers each with 7 judges, and the Penal Chamber with 9 judges); Constitutional Court (consists of 9 magistrates); Council of State (consists of 31 members); Superior Judiciary Council (consists of 13 magistrates) |
| Judicial branch: | judge selection and term of office: Supreme Court judges appointed by the Supreme Court members from candidates submitted by the Superior Judiciary Council; judges elected for individual 8-year terms; Constitutional Court magistrates - nominated by the president, by the Supreme Court, and elected by the Senate; judges elected for individual 8-year terms; Council of State members appointed by the State Council plenary from lists nominated by the Superior Judiciary Council |
| Judicial branch: | subordinate courts: Superior Tribunals (appellate courts for each of the judicial districts); regional courts; civil municipal courts; Superior Military Tribunal; first instance administrative courts |
| Political parties and leaders: | Alternative Democratic Pole or PDA [Clara LOPEZ] |
| Political parties and leaders: | Conservative Party or PC [David BARGUIL] |
| Political parties and leaders: | Democratic Center Party or CD [Alvaro URIBE Velez, Oscar Ivan ZULUAGA] |
| Political parties and leaders: | Green Alliance [Jorge LONDONO, Antonio SANGUINO, Luis AVELLANEDA, Camilo ROMERO] |
| Political parties and leaders: | Liberal Party or PL [Horacio SERPA] |
| Political parties and leaders: | Citizens Option (Opcion Ciudadana) or OC (formerly known as the National Integration Party or PIN) [Angel ALIRIO Moreno] |
| Political parties and leaders: | Radical Change or CR [Carlos Fernando GALAN] |
| Political parties and leaders: | Social National Unity Party or U Party [Roy BARRERAS, Jose David NAME] |
| Political parties and leaders: | note: Colombia has eight major political parties, and numerous smaller movements |
| Political pressure groups and leaders: | Central Union of Workers or CUT |
| Political pressure groups and leaders: | Colombian Confederation of Workers or CTC |
| Political pressure groups and leaders: | General Confederation of Workers or CGT |
| Political pressure groups and leaders: | National Liberation Army or ELN |
| Political pressure groups and leaders: | Revolutionary Armed Forces of Colombia or FARC |
| Political pressure groups and leaders: | note: FARC and ELN are the two largest insurgent groups active in Colombia |
| International organization participation: | BCIE, BIS, CAN, Caricom (observer), CD, CDB, CELAC, EITI (candidate country), FAO, G-3, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAES, LAIA, Mercosur (associate), MIGA, NAM, OAS, OPANAL, OPCW, Pacific Alliance, PCA, UN, UNASUR, UNCTAD, UNESCO, UNHCR, UNIDO, Union Latina, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Juan Carlos PINZON Bueno (since 3 August 2015) |
| Diplomatic representation in the US: | chancery: 2118 Leroy Place NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 387-8338 |
| Diplomatic representation in the US: | FAX: [1] (202) 232-8643 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Houston, Los Angeles, Miami, New York, Newark (NJ), Orlando, San Juan (Puerto Rico) |
| Diplomatic representation in the US: | consulate(s): Boston, Chicago, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Kevin WHITAKER (since 11 June 2014) |
| Diplomatic representation from the US: | embassy: Calle 24 Bis No. 48-50, Bogota, D.C. |
| Diplomatic representation from the US: | mailing address: Carrera 45 No. 24B-27, Bogota, D.C. |
| Diplomatic representation from the US: | telephone: [57] (1) 275-2000 |
| Diplomatic representation from the US: | FAX: [57] (1) 275-4600 |
| Flag description: | three horizontal bands of yellow (top, double-width), blue, and red; the flag retains the three main colors of the banner of Gran Colombia, the short-lived South American republic that broke up in 1830; various interpretations of the colors exist and include: yellow for the gold in Colombia's land, blue for the seas on its shores, and red for the blood spilled in attaining freedom; alternatively, the colors have been described as representing more elemental concepts such as sovereignty and justice (yellow), loyalty and vigilance (blue), and valor and generosity (red); or simply the principles of liberty, equality, and fraternity |
| Flag description: | note: similar to the flag of Ecuador, which is longer and bears the Ecuadorian coat of arms superimposed in the center |
| National symbol(s): | Andean condor; national colors: yellow, blue, red |
| National anthem: | name: "Himno Nacional de la Republica de Colombia" (National Anthem of the Republic of Colombia) |
| National anthem: | lyrics/music: Rafael NUNEZ/Oreste SINDICI |
| National anthem: | note: adopted 1920; the anthem was created from an inspirational poem written by President Rafael NUNEZ |
