| Government | Malaysia |
| International organization participation: | APEC, APT, ARF, AsDB, ASEAN, BIS, C, CP, EAS, FAO, G-15, G-77, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IPU, ISO, ITU, MIGA, MINURSO, MONUC, NAM, OIC, OPCW, PCA, PIF (partner), UN, UNCTAD, UNESCO, UNIDO, UNMEE, UNMIL, UNMIS, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador GHAZZALI bin Sheikh Abdul Khalid |
| Diplomatic representation in the US: | chancery: 3516 International Court NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 572-9700 |
| Diplomatic representation in the US: | FAX: [1] (202) 572-9882 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Christopher J. LAFLEUR |
| Diplomatic representation from the US: | embassy: 376 Jalan Tun Razak, Kuala Lumpur 50440 |
| Diplomatic representation from the US: | mailing address: US Embassy Kuala Lumpur, APO AP 96535-8152 |
| Diplomatic representation from the US: | telephone: [60] (3) 2168-5000 |
| Diplomatic representation from the US: | FAX: [60] (3) 2142-2207 |
| Flag description: | 14 equal horizontal stripes of red (top) alternating with white (bottom); there is a blue rectangle in the upper hoist-side corner bearing a yellow crescent and a yellow 14-pointed star; the crescent and the star are traditional symbols of Islam; the design was based on the flag of the US |
