| Government | MALAYSIA |
| Political parties and leaders: | Parti Rakyat Sarawak or PRS [James MASING] |
| Political parties and leaders: | Sarawak Progressive Democratic Party or SPDP [TIONG King Sing] |
| Political parties and leaders: | Sarawak United People's Party (Parti Bersatu Rakyat Sarawak) or SUPP [Dr. SIM Kui Hian] |
| Political parties and leaders: | United Malays National Organization or UMNO [NAJIB bin Abdul Razak] |
| Political parties and leaders: | United Pasokmomogun Kadazandusun Murut Organization (Pertubuhan Pasko Momogun Kadazan Dusun Bersatu) or UPKO [Wilfred Madius TANGAU] |
| Political parties and leaders: | People's Progressive Party (Parti Progresif Penduduk Malaysia) or PPP [M. Kayveas] |
| Coalition of Hope (Pakatan Harapan) or PH:: | Democratic Action Party (Parti Tindakan Demokratik) or DAP [TAN Kok Wai, Acting National Chairman] |
| Coalition of Hope (Pakatan Harapan) or PH:: | National Trust Party (Parti Amanah Negara) or Amanah [Mohamad SABU] |
| Coalition of Hope (Pakatan Harapan) or PH:: | People's Justice Party (Parti Keadilan Rakyat) or PKR [WAN AZIZAH Wan Ismail] |
| Coalition of Hope (Pakatan Harapan) or PH:: | Parti Pribumi Bersatu Malaysia or PPBM [MAHATHIR Mohamad] |
| Other:: | Islamic Party of Malaysia (Parti Islam se Malaysia) or PAS [Abdul HADI Awang] |
| Other:: | Sabah Heritage Party or WARISAN [Shafie APDAL] |
| Other:: | Socialist Party of Malaysia (Parti Sosialis Malaysia) or PSM [Mohd Nasir HASHIM] |
| Political pressure groups and leaders: | Bar Council |
| Political pressure groups and leaders: | BERSIH (electoral reform coalition) |
| Political pressure groups and leaders: | ISMA (Muslim NGO) |
| Political pressure groups and leaders: | PERKASA (defense of Malay rights) |
| Political pressure groups and leaders: | other: religious groups; women's groups; youth groups |
| International organization participation: | ADB, APEC, ARF, ASEAN, BIS, C, CICA (observer), CP, D-8, EAS, FAO, G-15, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, MONUSCO, NAM, OIC, OPCW, PCA, PIF (partner), UN, UN Security Council (temporary), UNAMID, UNCTAD, UNESCO, UNIDO, UNIFIL, UNISFA, UNMIL, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador AWANG ADEK Bin Hussin (since 21 May 2015) |
| Diplomatic representation in the US: | chancery: 3516 International Court NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 572-9700 |
| Diplomatic representation in the US: | FAX: [1] (202) 572-9882 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Joseph Y. YUN (since 2 October 2013) |
| Diplomatic representation from the US: | embassy: 376 Jalan Tun Razak, 50400 Kuala Lumpur |
| Diplomatic representation from the US: | mailing address: US Embassy Kuala Lumpur, APO AP 96535-8152 |
| Diplomatic representation from the US: | telephone: [60] (3) 2168-5000 |
| Diplomatic representation from the US: | FAX: [60] (3) 2142-2207 |
| Flag description: | 14 equal horizontal stripes of red (top) alternating with white (bottom); there is a blue rectangle in the upper hoist-side corner bearing a yellow crescent and a yellow 14-pointed star; the flag is often referred to as Jalur Gemilang (Stripes of Glory); the 14 stripes stand for the equal status in the federation of the 13 member states and the federal government; the 14 points on the star represent the unity between these entities; the crescent is a traditional symbol of Islam; blue symbolizes the unity of the Malay people and yellow is the royal color of Malay rulers |
| Flag description: | note: the design is based on the flag of the US |
| National symbol(s): | tiger, hibiscus; national colors: red, white, blue, yellow |
| National anthem: | name: "Negaraku" (My Country) |
| National anthem: | lyrics/music: collective, led by Tunku ABDUL RAHMAN/Pierre Jean DE BERANGER |
| National anthem: | note: adopted 1957; full version only performed in the presence of the king; the tune, which was adopted from a popular French melody titled "La Rosalie," was originally the anthem of Perak, one of Malaysia's 13 states |
