| Government | Malaysia |
| International organization participation: | APEC, ARF, AsDB, ASEAN, BIS, C, CP, ESCAP, FAO, G-15, G-77, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, ISO, ITU, MINURSO, MONUC, NAM, OIC, OPCW, PCA, UN, UNAMSIL, UNCTAD, UNESCO, UNIDO, UNIKOM, UNMEE, UNMIBH, UNMIK, UNMISET, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador GHAZZALI bin Sheikh Abdul Khalid |
| Diplomatic representation in the US: | chancery: 3516 International Court NW, Washington, DC 20008 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles and New York |
| Diplomatic representation in the US: | FAX: [1] (202) 572-9882 |
| Diplomatic representation in the US: | telephone: [1] (202) 572-9700 |
| Diplomatic representation from the US: | chief of mission: Ambassador Marie T. HUHTALA |
| Diplomatic representation from the US: | embassy: 376 Jalan Tun Razak, 50400 Kuala Lumpur |
| Diplomatic representation from the US: | mailing address: P. O. Box No. 10035, 50700 Kuala Lumpur; American Embassy Kuala Lumpur, APO AP 96535-8152 |
| Diplomatic representation from the US: | telephone: [60] (3) 2168-5000 |
| Diplomatic representation from the US: | FAX: [60] (3) 2142-2207 |
| Flag description: | 14 equal horizontal stripes of red (top) alternating with white (bottom); there is a blue rectangle in the upper hoist-side corner bearing a yellow crescent and a yellow fourteen-pointed star; the crescent and the star are traditional symbols of Islam; the design was based on the flag of the US |
