| Government | Haiti |
| Political parties and leaders: | Peasant's Response or Repons Peyizan [Michel MARTELLY] |
| Political parties and leaders: | Platform Alternative for Progress and Democracy or ALTENATIV [Victor BENOIT and Evans PAUL] |
| Political parties and leaders: | Platform of Haitian Patriots or PLAPH [Dejean BELISAIRE and Himmler REBU] |
| Political parties and leaders: | Popular Party for the Renewal of Haiti or PPRH [Claude ROMAIN] |
| Political parties and leaders: | Rally or RASAMBLE |
| Political parties and leaders: | Respect or RESPE |
| Political parties and leaders: | Socialist Action Movement or MAS |
| Political parties and leaders: | Strength in Unity or Ansanm Nou Fo [Leslie VOLTAIRE] |
| Political parties and leaders: | Struggling People's Organization or OPL [Sauveur PIERRE-ETIENNE] |
| Political parties and leaders: | Union [Chavannes JEUNE] |
| Political parties and leaders: | Union of Haitian Citizens for Democracy, Development, and Education or UCADDE [Jeantel JOSEPH] |
| Political parties and leaders: | Union of Nationalist and Progressive Haitians or UNPH [Edouard FRANCISQUE] |
| Political parties and leaders: | Unity or Inite [Levaillant LOUIS-JEUNE] (coalition that includes Front for Hope or L'ESPWA) |
| Political parties and leaders: | Vigilance or Veye Yo [Lavarice GAUDIN] |
| Political parties and leaders: | Youth for People's Power or JPP [Rene CIVIL] |
| Political pressure groups and leaders: | Autonomous Organizations of Haitian Workers or CATH [Fignole ST-CYR] |
| Political pressure groups and leaders: | Confederation of Haitian Workers or CTH |
| Political pressure groups and leaders: | Economic Forum of the Private Sector or EF [Reginald BOULOS] |
| Political pressure groups and leaders: | Federation of Workers Trade Unions or FOS |
| Political pressure groups and leaders: | General Organization of Independent Haitian Workers [Patrick NUMAS] |
| Political pressure groups and leaders: | Grand-Anse Resistance Committee, or KOREGA |
| Political pressure groups and leaders: | The Haitian Association of Industries or ADIH [Georges SASSINE] |
| Political pressure groups and leaders: | National Popular Assembly or APN |
| Political pressure groups and leaders: | Papaye Peasants Movement or MPP [Chavannes JEAN-BAPTISTE] |
| Political pressure groups and leaders: | Popular Organizations Gathering Power or PROP |
| Political pressure groups and leaders: | Protestant Federation of Haiti |
| Political pressure groups and leaders: | Roman Catholic Church |
| International organization participation: | ACP, AOSIS, Caricom, CD, CDB, CELAC, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ITSO, ITU, ITUC (NGOs), LAES, MIGA, NAM, OAS, OIF, OPANAL, OPCW, PCA, Petrocaribe, UN, UNCTAD, UNESCO, UNIDO, Union Latina, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Paul Getty ALTIDOR (since 17 April 2012) |
| Diplomatic representation in the US: | chancery: 2311 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-4090 |
| Diplomatic representation in the US: | FAX: [1] (202) 745-7215 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Boston, Chicago, Miami, New York, San Juan (Puerto Rico) |
| Diplomatic representation in the US: | consulate(s): Orlando (FL) |
| Diplomatic representation from the US: | chief of mission: Ambassador Pamela A. WHITE (since 18 July 2012) |
| Diplomatic representation from the US: | embassy: Tabarre 41, Route de Tabarre, Port-au-Prince |
| Diplomatic representation from the US: | mailing address: (in Haiti) P.O. Box 1634, Port-au-Prince, Haiti; (from abroad) 3400 Port-au-Prince, State Department, Washington, DC 20521-3400 |
| Diplomatic representation from the US: | telephone: [509] 2229-8000 |
| Diplomatic representation from the US: | FAX: [509] 229-8028 |
| Flag description: | two equal horizontal bands of blue (top) and red with a centered white rectangle bearing the coat of arms, which contains a palm tree flanked by flags and two cannons above a scroll bearing the motto L'UNION FAIT LA FORCE (Union Makes Strength); the colors are taken from the French Tricolor and represent the union of blacks and mulattoes |
| National symbol(s): | Hispaniolan trogon (bird) |
| National anthem: | name: "La Dessalinienne" (The Dessalines Song) |
| National anthem: | lyrics/music: Justin LHERISSON/Nicolas GEFFRARD |
| National anthem: | note: adopted 1904; the anthem is named for Jean-Jacques DESSALINES, a leader in the Haitian Revolution and first ruler of an independent Haiti |
