| Government | ISRAEL |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Boston, Chicago, Houston, Los Angeles, Miami, New York, Philadelphia, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador David FRIEDMAN (since 23 May 2017) |
| Diplomatic representation from the US: | embassy: 71 HaYarkon Street, Tel Aviv 6343229 |
| Diplomatic representation from the US: | telephone: [972] (3) 519-7475 |
| Diplomatic representation from the US: | FAX: [972] (3) 516-4390 |
| Diplomatic representation from the US: | consular agent: Haifa |
| Flag description: | white with a blue hexagram (six-pointed linear star) known as the Magen David (Star of David or Shield of David) centered between two equal horizontal blue bands near the top and bottom edges of the flag; the basic design resembles a traditional Jewish prayer shawl (tallit), which is white with blue stripes; the hexagram as a Jewish symbol dates back to medieval times |
| Flag description: | note: the Israeli flag proclamation states that the flag colors are sky blue and white, but the exact shade of blue has never been set and can vary from a light to a dark blue |
| National symbol(s): | Star of David (Magen David), menorah (seven-branched lampstand); national colors: blue, white |
| National anthem: | name: "Hatikvah" (The Hope) |
| National anthem: | lyrics/music: Naftali Herz IMBER/traditional, arranged by Samuel COHEN |
| National anthem: | note: adopted 2004, unofficial since 1948; used as the anthem of the Zionist movement since 1897; the 1888 arrangement by Samuel COHEN is thought to be based on the Romanian folk song "Carul cu boi" (The Ox Driven Cart) |
