| Government | United Kingdom |
| metropolitan districts: | borough councils: Antrim, Ards, Ballymena, Ballymoney, Carrickfergus, Castlereagh, Coleraine, Craigavon, Dungannon and South Tyrone, Larne, Limavady, Newtownabbey, North Down |
| metropolitan districts: | city and district councils: Armagh |
| metropolitan districts: | city councils: Lisburn |
| metropolitan districts: | district council areas: Belfast, Banbridge, Cookstown, Derry, Down, Fermanagh, Magherafelt, Moyle, Newry and Mourne, Omagh, Strabane |
| metropolitan districts: | Scotland: 32 council areas |
| metropolitan districts: | council areas: Aberdeen City, Aberdeenshire, Angus, Argyll and Bute, Clackmannanshire, Dumfries and Galloway, Dundee City, East Ayrshire, East Dunbartonshire, East Lothian, East Renfrewshire, City of Edinburgh, Eilean Siar (Western Isles), Falkirk, Fife, Glasgow City, Highland, Inverclyde, Midlothian, Moray, North Ayrshire, North Lanarkshire, Orkney Islands, Perth and Kinross, Renfrewshire, Shetland Islands, South Ayrshire, South Lanarkshire, Stirling, The Scottish Borders, West Dunbartonshire, West Lothian |
| metropolitan districts: | Wales: 22 unitary authorities |
| metropolitan districts: | unitary authorities: Blaenau Gwent, Bridgend, Caerphilly, Cardiff, Carmarthenshire, Ceredigion, Conwy, Denbighshire, Flintshire, Gwynedd, Isle of Anglesey, Merthyr Tydfil, Monmouthshire, Neath Port Talbot, Newport, Pembrokeshire, Powys, Rhondda Cynon Taff, Swansea, The Vale of Glamorgan, Torfaen, Wrexham |
| Dependent areas: | Anguilla, Bermuda, British Indian Ocean Territory, British Virgin Islands, Cayman Islands, Falkland Islands, Gibraltar, Montserrat, Pitcairn Islands, Saint Helena, Ascension, and Tristan da Cunha, South Georgia and the South Sandwich Islands, Turks and Caicos Islands |
| Independence: | 12 April 1927 (Royal and Parliamentary Titles Act establishes current name of the United Kingdom of Great Britain and Northern Ireland); notable earlier dates: 927 (minor English kingdoms united); 3 March 1284 (enactment of the Statute of Rhuddlan uniting England and Wales); 1536 (Act of Union formally incorporates England and Wales); 1 May 1707 (Acts of Union formally unite England and Scotland as Great Britain); 1 January 1801 (Acts of Union formally unite Great Britain and Ireland as the United Kingdom of Great Britain and Ireland); 6 December 1921 (Anglo-Irish Treaty formalizes partition of Ireland; six counties remain part of the United Kingdom and Northern Ireland) |
| National holiday: | the UK does not celebrate one particular national holiday |
| Constitution: | unwritten; partly statutes, partly common law and practice; note - recent additions include the Human Rights Act of 1998, the Constitutional Reform and Governance Act 2010, the Parliamentary Voting System and Constituencies Act 2011, and the Fixed-term Parliaments Act 2011 (2011) |
| Legal system: | common law system; has nonbinding judicial review of Acts of Parliament under the Human Rights Act of 1998 |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); Heir Apparent Prince CHARLES (son of the queen, born 14 November 1948) |
| Executive branch: | head of government: Prime Minister David CAMERON (since 11 May 2010) |
| Executive branch: | cabinet: Cabinet of Ministers appointed by the prime minister |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: the monarchy is hereditary; following legislative elections, the leader of the majority party or the leader of the majority coalition usually becomes the prime minister |
| Legislative branch: | bicameral Parliament consists of House of Lords; note - membership is not fixed (780 seats; consisting of approximately 667 life peers, 88 hereditary peers, and 25 clergy - as of 13 January 2014) and House of Commons (650 seats since 2010 elections; members elected by popular vote to serve five-year terms unless the House is dissolved earlier) |
| Legislative branch: | elections: House of Lords - no elections (note - in 1999, as provided by the House of Lords Act, elections were held in the House of Lords to determine the 92 hereditary peers who would remain there; elections are held only as vacancies in the hereditary peerage arise); House of Commons - last held on 6 May 2010 (next to be held by June 2015) |
| Legislative branch: | election results: House of Commons - percent of vote by party - Conservative 36.1%, Labor 29%, Liberal Democrats 23%, other 11.9%; seats by party - Conservative 305, Labor 258, Liberal Democrat 57, other 30 |
| Legislative branch: | note: in 1998 elections were held for a Northern Ireland Assembly (because of unresolved disputes among existing parties, the transfer of power from London to Northern Ireland came only at the end of 1999 and has been suspended four times, the latest occurring in October 2002 and lasting until 8 May 2007); in 1999, the UK held the first elections for a Scottish Parliament and a Welsh Assembly; the most recent elections for the Northern Ireland Assembly, the Scottish Parliament, and the Welsh Assembly took place in May 2011 |
| Judicial branch: | highest court(s): Supreme Court (consists of 12 justices including the court president and deputy president) |
| Judicial branch: | note - the Supreme Court was established by the Constitutional Reform Act 2005 and implemented in October 2009, replacing the Appellate Committee of the House of Lords as the highest court in the United Kingdom |
| Judicial branch: | judge selection and term of office: judge candidates selected by an independent committee of several judicial commissions, followed by their recommendations to the prime minister, and appointed by Her Majesty The Queen; justices appointed during period of good behavior |
| Judicial branch: | subordinate courts: England and Wales - Court of Appeal (civil and criminal divisions); High Court; Crown Court; County Courts; Magistrates' Courts; Scotland - Court of Sessions; Sherrif Courts; High Court of Justiciary; tribunals; Northern Ireland - Court of Appeal in Northern Ireland; High Court; county courts; magistrates' courts; specialized tribunals |
| Political parties and leaders: | Conservative [David CAMERON] |
| Political parties and leaders: | Alliance Party (Northerm Ireland) [David FORD] |
| Political parties and leaders: | Democratic Unionist Party or DUP (Northern Ireland) [Peter ROBINSON] |
| Political parties and leaders: | Labor Party [Ed MILIBAND] |
| Political parties and leaders: | Liberal Democrats (Lib Dems) [Nick CLEGG] |
| Political parties and leaders: | Party of Wales (Plaid Cymru) [Leanne WOOD] |
| Political parties and leaders: | Scottish National Party or SNP [Alex SALMOND] |
| Political parties and leaders: | Sinn Fein (Northern Ireland) [Gerry ADAMS] |
| Political parties and leaders: | Social Democratic and Labor Party or SDLP (Northern Ireland) [Alasdair MCDONNELL] |
| Political parties and leaders: | Ulster Unionist Party (Northern Ireland) [Mike NESBITT] |
| Political parties and leaders: | United Kingdom Independent Party or UKIP [Nigel FARAGE] |
| Political pressure groups and leaders: | Campaign for Nuclear Disarmament |
| Political pressure groups and leaders: | Confederation of British Industry |
| Political pressure groups and leaders: | National Farmers' Union |
| Political pressure groups and leaders: | Trades Union Congress |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), Arctic Council (observer), Australia Group, BIS, C, CBSS (observer), CD, CDB, CE, CERN, EAPC, EBRD, EIB, EITI (implementing country), ESA, EU, FAO, FATF, G-20, G-5, G-7, G-8, G-10, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IEA, IFAD, IFC, IFRCS, IGAD (partners), IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINUSMA, MONUSCO, NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, Pacific Alliance (observer), Paris Club, PCA, PIF (partner), SELEC (observer), UN, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, UNISFA, UNMISS, UNRWA, UNSC (permanent), UPU, WCO, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Peter John WESTMACOTT (since 17 January 2012) |
| Diplomatic representation in the US: | chancery: 3100 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 588-6500 |
| Diplomatic representation in the US: | FAX: [1] (202) 588-7850 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Boston, Chicago, Denver, Houston, Los Angeles, Miami, New York, San Francisco |
| Diplomatic representation in the US: | consulate(s): Dallas, Orlando (FL) |
| Diplomatic representation from the US: | chief of mission: Ambassador Matthew W. BARZUN (since 15 August 2013) |
| Diplomatic representation from the US: | embassy: 24 Grosvenor Square, London, W1K 6AH note - a new embassy is scheduled to open by the end of 2017 in the Nine Elms area of Wandsworth |
| Diplomatic representation from the US: | mailing address: PSC 801, Box 40, FPO AE 09498-4040 |
| Diplomatic representation from the US: | telephone: [44] (0) 20 7499-9000 |
| Diplomatic representation from the US: | FAX: [44] (0) 20 7629-9124 |
| Diplomatic representation from the US: | consulate(s) general: Belfast, Edinburgh |
| Flag description: | blue field with the red cross of Saint George (patron saint of England) edged in white superimposed on the diagonal red cross of Saint Patrick (patron saint of Ireland), which is superimposed on the diagonal white cross of Saint Andrew (patron saint of Scotland); properly known as the Union Flag, but commonly called the Union Jack; the design and colors (especially the Blue Ensign) have been the basis for a number of other flags including other Commonwealth countries and their constituent states or provinces, and British overseas territories |
| National symbol(s): | lion (Britain in general); lion, Tudor rose (England); lion, unicorn, thistle (Scotland); dragon, daffodil, leek (Wales); harp, flax (Northern Ireland) |
| National anthem: | name: "God Save the Queen" |
| National anthem: | lyrics/music: unknown |
| National anthem: | note: in use since 1745; by tradition, the song serves as both the national and royal anthem of the United Kingdom; it is known as either "God Save the Queen" or "God Save the King," depending on the gender of the reigning monarch; it also serves as the royal anthem of many Commonwealth nations |
