| Government | United Kingdom |
| Administrative divisions: | district council areas: Antrim, Ards, Armagh, Ballymena, Ballymoney, Banbridge, Belfast, Carrickfergus, Castlereagh, Coleraine, Cookstown, Craigavon, Derry, Down, Dungannon, Fermanagh, Larne, Limavady, Lisburn, Magherafelt, Moyle, Newry and Mourne, Newtownabbey, North Down, Omagh, Strabane |
| Administrative divisions: | Scotland: 32 unitary authorities |
| Administrative divisions: | unitary authorities: Aberdeen City, Aberdeenshire, Angus, Argyll and Bute, Clackmannanshire, Dumfries and Galloway, Dundee City, East Ayrshire, East Dunbartonshire, East Lothian, East Renfrewshire, City of Edinburgh, Eilean Siar (Western Isles), Falkirk, Fife, Glasgow City, Highland, Inverclyde, Midlothian, Moray, North Ayrshire, North Lanarkshire, Orkney Islands, Perth and Kinross, Renfrewshire, Shetland Islands, South Ayrshire, South Lanarkshire, Stirling, The Scottish Borders, West Dunbartonshire, West Lothian |
| Administrative divisions: | Wales: 22 unitary authorities |
| Administrative divisions: | unitary authorities: Blaenau Gwent; Bridgend; Caerphilly; Cardiff; Carmarthenshire; Ceredigion; Conwy; Denbighshire; Flintshire; Gwynedd; Isle of Anglesey; Merthyr Tydfil; Monmouthshire; Neath Port Talbot; Newport; Pembrokeshire; Powys; Rhondda, Cynon, Taff; Swansea; The Vale of Glamorgan; Torfaen; Wrexham |
| Dependent areas: | Anguilla, Bermuda, British Indian Ocean Territory, British Virgin Islands, Cayman Islands, Falkland Islands, Gibraltar, Montserrat, Pitcairn Islands, Saint Helena, South Georgia and the South Sandwich Islands, Turks and Caicos Islands |
| Independence: | 1927; England has existed as a unified entity since the 10th century; the union between England and Wales, begun in 1284 with the Statute of Rhuddlan, was not formalized until 1536 with an Act of Union; in another Act of Union in 1707, England and Scotland agreed to permanently join as Great Britain; the legislative union of Great Britain and Ireland was implemented in 1801, with the adoption of the name the United Kingdom of Great Britain and Ireland; the Anglo-Irish treaty of 1921 formalized a partition of Ireland; six northern Irish counties remained part of the United Kingdom as Northern Ireland and the current name of the country, the United Kingdom of Great Britain and Northern Ireland, was adopted in 1927 |
| National holiday: | the UK does not celebrate one particular national holiday |
| Constitution: | unwritten; partly statutes, partly common law and practice |
| Legal system: | based on common law tradition with early Roman and modern continental influences; has nonbinding judicial review of Acts of Parliament under the Human Rights Act of 1998; accepts compulsory ICJ jurisdiction with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); Heir Apparent Prince CHARLES (son of the queen, born 14 November 1948) |
| Executive branch: | head of government: Prime Minister James Gordon BROWN (since 27 June 2007) |
| Executive branch: | cabinet: Cabinet of Ministers appointed by the prime minister |
| Executive branch: | elections: the monarchy is hereditary; following legislative elections, the leader of the majority party or the leader of the majority coalition is usually the prime minister |
| Legislative branch: | bicameral Parliament consists of House of Lords (618 seats; consisting of approximately 500 life peers, 92 hereditary peers, and 26 clergy) and House of Commons (646 seats since 2005 elections; members are elected by popular vote to serve five-year terms unless the House is dissolved earlier) |
| Legislative branch: | elections: House of Lords - no elections (note - in 1999, as provided by the House of Lords Act, elections were held in the House of Lords to determine the 92 hereditary peers who would remain there; elections are held only as vacancies in the hereditary peerage arise); House of Commons - last held 5 May 2005 (next to be held by June 2010) |
| Legislative branch: | election results: House of Commons - percent of vote by party - Labor 35.2%, Conservative 32.3%, Liberal Democrats 22%, other 10.5%; seats by party - Labor 355, Conservative 198, Liberal Democrat 62, other 31; seats by party in the House of Commons as of 21 November 2008 - Labor 350, Conservative 192, Liberal Democrat 63, Scottish National Party/Plaid Cymru 10, Democratic Unionist 9, Sinn Fein 5, other 17 |
| Legislative branch: | note: in 1998 elections were held for a Northern Ireland Assembly (because of unresolved disputes among existing parties, the transfer of power from London to Northern Ireland came only at the end of 1999 and has been suspended four times, the latest occurring in October 2002 and lasting until 8 May 2007); in 1999, the UK held the first elections for a Scottish Parliament and a Welsh Assembly, the most recent of which were held in May 2007 |
| Judicial branch: | House of Lords (highest court of appeal; several Lords of Appeal in Ordinary are appointed by the monarch for life); Supreme Courts of England, Wales, and Northern Ireland (comprising the Courts of Appeal, the High Courts of Justice, and the Crown Courts); Scotland's Court of Session and Court of the Justiciary |
| Political parties and leaders: | Conservative [David CAMERON]; Democratic Unionist Party or DUP (Northern Ireland) [Peter ROBINSON]; Labor Party [Gordon BROWN]; Liberal Democrats (Lib Dems) [Nick CLEGG]; Party of Wales (Plaid Cymru) [Ieuan Wyn JONES]; Scottish National Party or SNP [Alex SALMOND]; Sinn Fein (Northern Ireland) [Gerry ADAMS]; Social Democratic and Labor Party or SDLP (Northern Ireland) [Mark DURKAN]; Ulster Unionist Party (Northern Ireland) [Sir Reg EMPEY] |
| Political pressure groups and leaders: | Campaign for Nuclear Disarmament; Confederation of British Industry; National Farmers' Union; Trades Union Congress |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), Arctic Council (observer), Australia Group, BIS, C, CBSS (observer), CDB, CE, CERN, EAPC, EBRD, EIB, ESA, EU, FAO, G-20, G-5, G-7, G-8, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, PIF (partner), SECI (observer), UN, UN Security Council, UNAMID, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, UNMIL, UNMIS, UNOMIG, UNRWA, UNWTO, UPU, WCO, WEU, WFTU, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Sir Nigel E. SHEINWALD |
| Diplomatic representation in the US: | chancery: 3100 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 588-6500 |
| Diplomatic representation in the US: | FAX: [1] (202) 588-7870 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Boston, Chicago, Houston, Los Angeles, Miami, New York, San Francisco |
| Diplomatic representation in the US: | consulate(s): Dallas, Denver, Orlando |
| Diplomatic representation from the US: | chief of mission: Ambassador Robert Holmes TUTTLE |
| Diplomatic representation from the US: | embassy: 24 Grosvenor Square, London, W1A 1AE |
| Diplomatic representation from the US: | mailing address: PSC 801, Box 40, FPO AE 09498-4040 |
| Diplomatic representation from the US: | telephone: [44] (0) 20 7499-9000 |
| Diplomatic representation from the US: | FAX: [44] (0) 20 7629-9124 |
| Diplomatic representation from the US: | consulate(s) general: Belfast, Edinburgh |
| Flag description: | blue field with the red cross of Saint George (patron saint of England) edged in white superimposed on the diagonal red cross of Saint Patrick (patron saint of Ireland), which is superimposed on the diagonal white cross of Saint Andrew (patron saint of Scotland); properly known as the Union Flag, but commonly called the Union Jack; the design and colors (especially the Blue Ensign) have been the basis for a number of other flags including other Commonwealth countries and their constituent states or provinces, and British overseas territories |
