| Government | TUNISIA |
| Political parties and leaders: | Afek Tounes [Emna MINF] |
| Political parties and leaders: | Alliance for Tunisia (a coalition of Tunisia's Call [Beji CAID ESSEBSI], Republican Party [Maya JRIBI and Najib CHBBI], Democratic Path [Ahmed BRAHIM]) |
| Political parties and leaders: | al-Nahda (The Renaissance) [Rachid GHANNOUCHI] |
| Political parties and leaders: | Congress for the Republic or CPR [Moncef MARZOUKI] |
| Political parties and leaders: | Democratic Forum for Labor and Liberties or FDTL (Ettakatol) [Mustapha Ben JAAFAR] |
| Political parties and leaders: | Democratic Modernist Pole or PDM (a coalition) |
| Political parties and leaders: | Democratic Socialist Movement or MDS |
| Political parties and leaders: | Et-Tajdid Movement [Ahmed IBRAHIM] |
| Political parties and leaders: | Free Patriotic Union or UPL (Union patriotique libre) [Slim RIAHI] |
| Political parties and leaders: | Green Party for Progress or PVP [Mongi KHAMASSI] |
| Political parties and leaders: | Liberal Social Party or PSL [Mondher THABET] |
| Political parties and leaders: | Movement of Socialist Democrats or MDS [Ismail BOULAHYA] |
| Political parties and leaders: | Popular Front (a coalition of 9 parties including Democractic Patriots' Movement, Workers' Party, Green Tunisia, Tunisian Ba'ath Movement, and Party of the Democractic Arab Vanguard) |
| Political parties and leaders: | Popular Petition (Aridha Chaabia) [Hachemi HAMDI] |
| Political parties and leaders: | Popular Unity Party or PUP [Mohamed BOUCHIHA] |
| Political parties and leaders: | Progressive Democratic Party or PDP [Maya JERIBI] |
| Political parties and leaders: | The Initiative [Kamel MORJANE] (formerly the Constitutional Democratic Rally or RCD) |
| Political parties and leaders: | Tunisia's Call (Nidaa Tounes) [Beji CAID ESSEBSI] |
| Political parties and leaders: | Tunisian Workers' Communist Party or PCOT [Hamma HAMMAMI] |
| Political parties and leaders: | Unionist Democratic Union or UDU [Ahmed INOUBLI] |
| Political pressure groups and leaders: | 18 October Group [collective leadership] |
| Political pressure groups and leaders: | Tunisian League for Human Rights or LTDH [Mokhtar TRIFI] |
| Political pressure groups and leaders: | Tunisian General Labor Union or UGTT [Hassine ABASSI] |
| International organization participation: | ABEDA, AfDB, AFESD, AMF, AMU, AU, BSEC (observer), CAEU, CD, EBRD, FAO, G-11, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICCt (signatory), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAS, MIGA, MONUSCO, NAM, OAS (observer), OIC, OIF, OPCW, OSCE (partner), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Faycal GOUIA (since 18 May 2015) |
| Diplomatic representation in the US: | chancery: 1515 Massachusetts Avenue NW, Washington, DC 20005 |
| Diplomatic representation in the US: | telephone: [1] (202) 862-1850 |
| Diplomatic representation in the US: | FAX: [1] (202) 862-1858 |
| Diplomatic representation from the US: | chief of mission: Ambassador Jacob WALLES (since 24 July 2012) |
| Diplomatic representation from the US: | embassy: Zone Nord-Est des Berges du Lac Nord de Tunis 1053 |
| Diplomatic representation from the US: | mailing address: Zone Nord-Est des Berges du Lac Nord de Tunis 1053 |
| Diplomatic representation from the US: | telephone: [216] 71 107-000 |
| Diplomatic representation from the US: | FAX: [216] 71 963-263 |
| Flag description: | red with a white disk in the center bearing a red crescent nearly encircling a red five-pointed star; resembles the Ottoman flag (red banner with white crescent and star) and recalls Tunisia's history as part of the Ottoman Empire; red represents the blood shed by martyrs in the struggle against oppression, white stands for peace; the crescent and star are traditional symbols of Islam |
| Flag description: | note: the flag is based on that of Turkey, itself a successor state to the Ottoman Empire |
| National symbol(s): | encircled red star and crescent; national colors: red, white |
| National anthem: | name: "Humat Al Hima" (Defenders of the Homeland) |
| National anthem: | lyrics/music: Mustafa Sadik AL-RAFII and Aboul-Qacem ECHEBBI/Mohamad Abdel WAHAB |
| National anthem: | note: adopted 1957, replaced 1958, restored 1987; Mohamad Abdel WAHAB also composed the music for the anthem of the United Arab Emirates |
