| Government | Tunisia |
| Executive branch: | first round - Kais SAIED (independent) 18.4%, Nabil KAROUI (Heart of Tunisia) 15.6%, Abdelfattah MOUROU (Nahda Movement) 12.9%, Abdelkrim ZBIDI(independent) 10.7%,Youssef CHAHED (Long Live Tunisia) 7.4%, Safi SAID (independent) 7.1%, Lotfi MRAIHI (Republican People's Union) 6.6%, other 21.3%; runoff - Kais SAIED elected president; Kais SAIED 72.7%, Nabil KAROUI 27.3% |
| Executive branch: | Â  |
| Executive branch: | Â  |
| Executive branch: | Â  |
| Executive branch: | Â  |
| Executive branch: | Â  |
| Executive branch: | Â  |
| Legislative branch: | description: unicameral Assembly of the Representatives of the People or Majlis Nuwwab ash-Sha'b (Assemblee des representants du peuple) (217 seats; 199 members directly elected in Tunisian multi-seat constituencies and 18 members in multi-seat constituencies abroad by party-list proportional representation vote; members serve 5-year terms) |
| Legislative branch: | elections: initial election held on 6 October 2019 (next to be held in October 2024) |
| Legislative branch: | election results: percent of vote by party - Ennahdha 19.6%, Heart of Tunisia 14.6%, Free Destourian Party 6.6%, Democratic Current 6.4%, Dignity Coalition 5.9%, People's Movement 4.5%, TahyaTounes 4.1%, other 35.4%, independent 2.9%;seats by party -Â  Ennahdha 52, Heart of Tunisia 38, Free Destourian Party 17, Democratic Current 22, Dignity Coalition 21, People's Movement 16, Tahya Tounes 14, other 25, independent 12; composition - men 139, women 78, percent of women 35.9% |
| Judicial branch: | highest courts: Court of Cassation or Cour de Cassation (organized into 1 civil and 3 criminal chambers); Constitutional Court (established in 2014 but remained vacant as of late 2018) |
| Judicial branch: | judge selection and term of office: Supreme Court judges nominated by the Supreme Judicial Council, an independent 4-part body consisting mainly of elected judges and the remainder legal specialists; judge tenure based on terms of appointment; Constitutional Court NA |
| Judicial branch: | subordinate courts: Courts of Appeal; administrative courts; Court of Audit; Housing Court; courts of first instance; lower district courts; military courts |
| Judicial branch: | note: the new Tunisian constitution of January 2014 called for the creation of a constitutional court by the end of 2015, but as of November 2018, the court had not been appointed; the court to consist of 12 members - 4 each to be appointed by the president, the Supreme Judicial Council (an independent 4-part body consisting mainly of elected judges and the remainder are legal specialists), and the Chamber of the People's Deputies (parliament); members are to serve 9-year terms with one-third of the membership renewed every 3 years |
| Political parties and leaders: | Afek Tounes [Yassine BRAHIM]Al Badil Al-Tounisi (The Tunisian Alternative) [Mehdi JOMAA] |
| Political parties and leaders: | Call for Tunisia Party (Nidaa Tounes) [Hafedh CAID ESSEBSI] |
| Political parties and leaders: | Congress for the Republic Party or CPR [Imed DAIMI] |
| Political parties and leaders: | Current of Love [Hachemi HAMDI] (formerly the Popular Petition party) |
| Political parties and leaders: | Democratic Alliance Party [Mohamed HAMDI] |
| Political parties and leaders: | Democratic Current [Mohamed ABBOU] |
| Political parties and leaders: | Democratic Patriots' Unified Party [Zied LAKHDHAR] |
| Political parties and leaders: | Dignity Coalition [Seifeddine MAKHIOUF] |
| Political parties and leaders: | Free Destourian Party [Abir MOUSSI] |
| Political parties and leaders: | Free Patriotic Union (Union patriotique libre) or UPLÂ  [Slim RIAHI] |
| Political parties and leaders: | Green Tunisia Party [Abdelkader ZITOUNI] |
| Political parties and leaders: | Heart of Tunisia (Qalb Tounes) |
| Political parties and leaders: | Irada Movement |
| Political parties and leaders: | Long Live Tunisia (Tahya Tounes) [Youssef CHAHED] |
| Political parties and leaders: | Machrou Tounes (Tunisia Project) [Mohsen MARZOUK] |
| Political parties and leaders: | Movement of Socialist Democrats or MDS [Ahmed KHASKHOUSSI] |
| Political parties and leaders: | Ennahda Movement (The Renaissance) [Rachid GHANNOUCHI] |
| Political parties and leaders: | National Destourian Initiative or El Moubadra [Kamel MORJANE] |
| Political parties and leaders: | Party of the Democratic Arab Vanguard [Ahmed JEDDICK, Kheireddine SOUABNI] |
| Political parties and leaders: | People's Movement [Zouheir MAGHZAOUI] |
| Political parties and leaders: | Popular Front (coalition includes Democratic Patriots' Unified Party, Workers' Party, Green Tunisia, Tunisian Ba'ath Movement, Party of the Democratic Arab Vanguard) |
| Political parties and leaders: | Republican Party [Maya JRIBI] |
| Political parties and leaders: | Tunisian Ba'ath Movement [OMAR Othman BELHADJ] |
| Political parties and leaders: | Tunisia First (Tunis Awlan) [Ridha BELHAJ] |
| Political parties and leaders: | Workers' Party [Hamma HAMMAMI] |
| International organization participation: | ABEDA, AfDB, AFESD, AMF, AMU, AU, BSEC (observer), CAEU, CD, EBRD, FAO, G-11, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAS, MIGA, MONUSCO, NAM, OAS (observer), OIC, OIF, OPCW, OSCE (partner), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | Ambassador Faycal GOUIA (since 18 May 2015) |
| Diplomatic representation in the US: | chancery: 1515 Massachusetts Avenue NW, Washington, DC 20005 |
| Diplomatic representation in the US: | telephone: [1] (202) 862-1850 |
| Diplomatic representation in the US: | FAX: [1] (202) 862-1858 |
| Diplomatic representation from the US: | chief of mission: Ambassador Donald A. BLOME (since 21 February 2019) |
| Diplomatic representation from the US: | telephone: [216] 71 107-000 |
| Diplomatic representation from the US: | embassy: Les Berges du Lac, 1053 Tunis |
| Diplomatic representation from the US: | mailing address: Zone Nord-Est des Berges du Lac Nord de Tunis 1053 |
| Diplomatic representation from the US: | FAX: [216] 71 107-090 |
| Flag description: | red with a white disk in the center bearing a red crescent nearly encircling a red five-pointed star; resembles the Ottoman flag (red banner with white crescent and star) and recalls Tunisia's history as part of the Ottoman Empire; red represents the blood shed by martyrs in the struggle against oppression, white stands for peace; the crescent and star are traditional symbols of Islam |
| Flag description: | note: the flag is based on that of Turkey, itself a successor state to the Ottoman Empire |
| National symbol(s): | encircled red crescent moon and five-pointed star; national colors: red, white |
| National anthem: | name: "Humat Al Hima" (Defenders of the Homeland) |
| National anthem: | lyrics/music: Mustafa Sadik AL-RAFII and Aboul-Qacem ECHEBBI/Mohamad Abdel WAHAB |
| National anthem: | note: adopted 1957, replaced 1958, restored 1987; Mohamad Abdel WAHAB also composed the music for the anthem of the United Arab Emirates |
