| Government | TUNISIA |
| Judicial branch: | note: the new Tunisian constitution of January 2014 called for the creation of a constitutional court by the end of 2015; the court will consist of 12 members - 4 each appointed by the president, Supreme Judicial Council or SJC (an independent 4-part body consisting mainly of elected judges and the remainder legal specialists), and the Chamber of the People's Deputies (parliament); members will serve 9-year terms with one-third of the membership renewed every 3 years; in late 2015, the International Commission of Jurists called on Tunisia's parliament to revise the draft on the constitutional court to ensure compliance with international standards |
| Judicial branch: | judge selection and term of office: Supreme Court judges nominated by the Supreme Judicial Council (SJC), a body of elected and appointed judges and specialized staff, after consultation with the prime minister; judge tenure based on terms of appointment; Constitutional Court members appointed 3 each by the president of the republic, the Chamber of the People's Deputies, and the SJC; members serve 9-year terms with one-third of the membership renewed every 3 years |
| Judicial branch: | subordinate courts: Courts of Appeal; administrative courts; Court of Audit; Housing Court; courts of first instance; lower district courts; military courts |
| Political parties and leaders: | Afek Tounes [Yassine BRAHIM] |
| Political parties and leaders: | Congress for the Republic or CPR [Imed DAIMI] |
| Political parties and leaders: | Current of Love [Mohamed HAMDI] (formerly the Popular Petition party) |
| Political parties and leaders: | Democratic Alliance Party [Mohamed HAMDI] |
| Political parties and leaders: | Democratic Current [Mohamed ABBOU] |
| Political parties and leaders: | Democratic Patriots' Unified Party |
| Political parties and leaders: | Ennahda Movement (The Renaissance) [Rachid GHANNOUCHI] |
| Political parties and leaders: | Free Patriotic Union or UPL (Union patriotique libre) [Slim RIAHI] |
| Political parties and leaders: | Green Tunisia Party [Abdelkader ZITOUNI] |
| Political parties and leaders: | Movement of Socialist Democrats or MDS [Ahmed KHASKHOUSSI] |
| Political parties and leaders: | National Destourian Initiative or El Moubadra [Kamel MORJANE] |
| Political parties and leaders: | Party of the Democratic Arab Vanguard |
| Political parties and leaders: | People's Movement [Zouheir MAGHZAOUI] |
| Political parties and leaders: | Popular Front (a coalition of 9 parties including Democractic Patriots' Unified Party, Workers' Party, Green Tunisia, Tunisian Ba'ath Movement, and Party of the Democractic Arab Vanguard) |
| Political parties and leaders: | Popular Petition (Aridha Chaabia) [Hachemi HAMDI] |
| Political parties and leaders: | Republican Party [Maya JRIBI] |
| Political parties and leaders: | The Initiative [Kamel MORJANE] (formerly the Constitutional Democratic Rally or RCD) |
| Political parties and leaders: | Tunisian Ba'ath Movement [Omar Othman BEKHADJ, secretary general] |
| Political parties and leaders: | Tunisia's Call (Nidaa Tounes) [Mohamed ENNACEUR] |
| Political parties and leaders: | Workers' Party [Hamma HAMMAMI] |
| Political pressure groups and leaders: | 18 October Group [collective leadership] |
| Political pressure groups and leaders: | Tunisian League for Human Rights or LTDH [Mokhtar TRIFI] |
| Political pressure groups and leaders: | Tunisian General Labor Union or UGTT [Hassine ABASSI] |
| International organization participation: | ABEDA, AfDB, AFESD, AMF, AMU, AU, BSEC (observer), CAEU, CD, EBRD, FAO, G-11, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAS, MIGA, MONUSCO, NAM, OAS (observer), OIC, OIF, OPCW, OSCE (partner), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Faycal GOUIA (since 18 May 2015) |
| Diplomatic representation in the US: | chancery: 1515 Massachusetts Avenue NW, Washington, DC 20005 |
| Diplomatic representation in the US: | telephone: [1] (202) 862-1850 |
| Diplomatic representation in the US: | FAX: [1] (202) 862-1858 |
| Diplomatic representation from the US: | chief of mission: Ambassador Daniel H. RUBINSTEIN (Since 22 October 2015) |
| Diplomatic representation from the US: | embassy: Zone Nord-Est des Berges du Lac Nord de Tunis 1053 |
| Diplomatic representation from the US: | mailing address: Zone Nord-Est des Berges du Lac Nord de Tunis 1053 |
| Diplomatic representation from the US: | telephone: [216] 71 107-000 |
| Diplomatic representation from the US: | FAX: [216] 71 963-263 |
| Flag description: | red with a white disk in the center bearing a red crescent nearly encircling a red five-pointed star; resembles the Ottoman flag (red banner with white crescent and star) and recalls Tunisia's history as part of the Ottoman Empire; red represents the blood shed by martyrs in the struggle against oppression, white stands for peace; the crescent and star are traditional symbols of Islam |
| Flag description: | note: the flag is based on that of Turkey, itself a successor state to the Ottoman Empire |
| National symbol(s): | encircled red star and crescent; national colors: red, white |
| National anthem: | name: "Humat Al Hima" (Defenders of the Homeland) |
| National anthem: | lyrics/music: Mustafa Sadik AL-RAFII and Aboul-Qacem ECHEBBI/Mohamad Abdel WAHAB |
| National anthem: | note: adopted 1957, replaced 1958, restored 1987; Mohamad Abdel WAHAB also composed the music for the anthem of the United Arab Emirates |
