| Government | Japan |
| Political parties and leaders: | Japan Communist Party or JCP [Kazuo SHII] |
| Political parties and leaders: | Japan Innovation Party or JIP [Ichiro MATSUI] |
| Political parties and leaders: | Party of Hope or Kibo no To [Yuichiro TAMAKI] |
| Political parties and leaders: | Komeito [Natsuo YAMAGUCHI] |
| Political parties and leaders: | Liberal Democratic Party or LDP [Shinzo ABE] |
| Political parties and leaders: | Liberal Party [Ichiro OZAWA] (formerly People's Life Party & Taro Yamamoto and Friends or PLPTYF)New Renaissance Party [Hiroyuki ARAI] |
| Political parties and leaders: | Party for Japanese Kokoro or PJK [Masashi NAKANO]Social Democratic Party or SDP [Tadatomo YOSHIDA]The Assembly to Energize Japan and the Independents [Kota MATSUDA] |
| International organization participation: | ADB, AfDB (nonregional member), APEC, Arctic Council (observer), ARF, ASEAN (dialogue partner), Australia Group, BIS, CD, CE (observer), CERN (observer), CICA (observer), CP, CPLP (associate), EAS, EBRD, EITI (implementing country), FAO, FATF, G-5, G-7, G-8, G-10, G-20, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IGAD (partners), IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAIA (observer), MIGA, NEA, NSG, OAS (observer), OECD, OPCW, OSCE (partner), Pacific Alliance (observer), Paris Club, PCA, PIF (partner), SAARC (observer), SELEC (observer), SICA (observer), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMISS, UNRWA, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | Ambassador Shinsuke SUGIYAMA (since 28 March 2018) (2018) |
| Diplomatic representation in the US: | chancery: 2520 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 238-6700 |
| Diplomatic representation in the US: | FAX: [1] (202) 328-2187 |
| Diplomatic representation in the US: | consulate(s) general: Anchorage (AK), Atlanta, Boston, Chicago, Dallas, Denver (CO), Detroit (MI), Honolulu, Houston, Las Vegas (NV), Los Angeles, Miami, Nashville (TN), New Orleans, New York, Oklahoma City (OK), Orlando (FL), Philadelphia, Phoenix (AZ), Portland (OR), San Francisco, Seattle, Saipan (Northern Mariana Islands), Tamuning (Guam) |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Joseph M. YOUNG (since 20 July 2019) |
| Diplomatic representation from the US: | telephone: [81] (03) 3224-5000 |
| Diplomatic representation from the US: | embassy: 1-10-5 Akasaka, Minato-ku, Tokyo 107-8420 |
| Diplomatic representation from the US: | mailing address: Unit 9800, Box 300, APO AP 96303-0300 |
| Diplomatic representation from the US: | FAX: [81] (03) 3505-1862 |
| Diplomatic representation from the US: | consulate(s) general: Naha (Okinawa), Osaka-Kobe, Sapporo |
| Diplomatic representation from the US: | consulate(s): Fukuoka, Nagoya |
| Flag description: | white with a large red disk (representing the sun without rays) in the center |
| National symbol(s): | red sun disc, chrysanthemum; national colors: red, white |
| National anthem: | name: "Kimigayo" (The Emperor"s Reign) |
| National anthem: | lyrics/music: unknown/Hiromori HAYASHI |
| National anthem: | note: adopted 1999; unofficial national anthem since 1883; oldest anthem lyrics in the world, dating to the 10th century or earlier; there is some opposition to the anthem because of its association with militarism and worship of the emperor |
