| Government | Japan |
| Diplomatic representation in the US: | FAX: [1] (202) 328-2187 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Boston, Chicago, Denver, Detroit, Agana (Guam), Honolulu, Houston, Los Angeles, Miami, New York, Portland (Oregon), San Francisco, Seattle |
| Diplomatic representation in the US: | consulate(s): Anchorage, Nashville |
| Diplomatic representation from the US: | chief of mission: Ambassador John V. ROOS |
| Diplomatic representation from the US: | embassy: 1-10-5 Akasaka, Minato-ku, Tokyo 107-8420 |
| Diplomatic representation from the US: | mailing address: Unit 9800, Box 300, APO AP 96303-0300 |
| Diplomatic representation from the US: | telephone: [81] (03) 3224-5000 |
| Diplomatic representation from the US: | FAX: [81] (03) 3505-1862 |
| Diplomatic representation from the US: | consulate(s) general: Naha (Okinawa), Osaka-Kobe, Sapporo |
| Diplomatic representation from the US: | consulate(s): Fukuoka, Nagoya |
| Flag description: | white with a large red disk (representing the sun without rays) in the center |
| National symbol(s): | red sun disc; chrysanthemum |
| National anthem: | name: "Kimigayo" (The Emperor"s Reign) |
| National anthem: | lyrics/music: unknown/Hiromori HAYASHI |
| National anthem: | note: adopted 1999; in use as unofficial national anthem since 1883; oldest anthem lyrics in the world, dating to the 10th century or earlier; there is some opposition to the anthem because of its association with militarism and worship of the emperor |
