| Government | Kiribati |
| International organization participation: | ABEDA, ACP, ADB, AOSIS, C, FAO, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IOC, ITU, ITUC (NGOs), OPCW, PIF, Sparteca, SPC, UN, UNCTAD, UNESCO, UPU, WHO, WIPO, WMO |
| Diplomatic representation in the US: | chief of mission: |
| Diplomatic representation in the US: | Ambassador Teburoro TITO (since 24 January 2018) |
| Diplomatic representation in the US: | chancery: 800 Second Avenue, Suite 400A, New York, NY 10017 |
| Diplomatic representation in the US: | telephone: [1](212)867-3310 |
| Diplomatic representation in the US: | FAX: [1](212)867-3320 |
| Diplomatic representation in the US: | note -Â the Kiribati Permanent Mission to the UN serves as the embassy |
| Diplomatic representation from the US: | the US does not have an embassy in Kiribati; the US Ambassador to Fiji is accredited to Kiribati |
| Flag description: | the upper half is red with a yellow frigatebird flying over a yellow rising sun, and the lower half is blue with three horizontal wavy white stripes to represent the Pacific ocean; the white stripes represent the three island groups - the Gilbert, Line, and Phoenix Islands; the 17 rays of the sun represent the 16 Gilbert Islands and Banaba (formerly Ocean Island); the frigatebird symbolizes authority and freedom |
| National symbol(s): | frigatebird; national colors: red, white, blue, yellow |
| National anthem: | name: "Teirake kaini Kiribati" (Stand Up, Kiribati) |
| National anthem: | lyrics/music: Urium Tamuera IOTEBA |
| National anthem: | note: adopted 1979 |
