| Government | Belgium |
| Political parties and leaders: | Flemish parties: Christian Democratic and Flemish or CDV [Marianne THYSSEN]; Dedecker List [Jean-Marie DEDECKER]; Flemish Liberals and Democrats or Open VLD [Bart SOMERS]; Groen! [Mieke VOGELS] (formerly AGALEV, Flemish Greens); New Flemish Alliance or N-VA [Bart DE WEVER]; Social Liberal Party or SLP [Geert LAMBERT]; note - prior to 19 April 2008, known as Spirit; Social Progressive Alternative or SP.A [Caroline GENNEZ]; Vlaams Belang (Flemish Interest) or VB [Bruno VALKENIERS] |
| Political parties and leaders: | Francophone parties: Ecolo (Francophone Greens) [Jean-Michel JAVAUX, Isabelle DURANT]; Humanist and Democratic Center or CDH [Joelle MILQUET]; National Front or FN [Daniel HUYGENS]; Reform Movement or MR [Didier REYNDERS]; Socialist Party or PS [Elio DI RUPO]; other minor parties |
| Political pressure groups and leaders: | Christian, Socialist, and Liberal Trade Unions; Federation of Belgian Industries |
| Political pressure groups and leaders: | other: numerous other associations representing bankers, manufacturers, middle-class artisans, and the legal and medical professions; various organizations represent the cultural interests of Flanders and Wallonia; various peace groups such as Pax Christi and groups representing immigrants |
| International organization participation: | ACCT, ADB (nonregional members), AfDB (nonregional members), Australia Group, Benelux, BIS, CE, CERN, EAPC, EBRD, EIB, EMU, ESA, EU, FAO, G-9, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MONUC, NATO, NEA, NSG, OAS (observer), OECD, OIF, OPCW, OSCE, Paris Club, PCA, Schengen Convention, SECI (observer), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNMIS, UNRWA, UNTSO, UPU, WADB (nonregional), WCL, WCO, WEU, WFTU, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Jan MATTHYSEN |
| Diplomatic representation in the US: | chancery: 3330 Garfield Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 333-6900 |
| Diplomatic representation in the US: | FAX: [1] (202) 333-3079 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Wayne BUSH |
| Diplomatic representation from the US: | embassy: 27 Boulevard du Regent [Regentlaan], B-1000 Brussels |
| Diplomatic representation from the US: | mailing address: PSC 82, Box 002, APO AE 09710 |
| Diplomatic representation from the US: | telephone: [32] (2) 508-2111 |
| Diplomatic representation from the US: | FAX: [32] (2) 511-2725 |
| Flag description: | three equal vertical bands of black (hoist side), yellow, and red; the vertical design was based on the flag of France; the colors are those of the arms of the duchy of Brabant (yellow lion with red claws and tongue on a black field) |
