| Government | Belgium |
| Political parties and leaders: | AGALEV (Flemish Greens) [Dirk HOLEMANS]; Christian Democrats and Flemish or CD & V [Yves LETERME]; note - used to be the Flemish Christian Democrats or CVP; Ecolo (Francophone Greens) [Jean-Michel JAVAUK, Evelyne HUYTEBROECK, Claude BROUIR]; Flemish Liberal Democrats or VLD [Karel DE GUCHT]; Francophone Humanist and Democratic Center of CDH (used to be Social Christian Party or PSC) [Joelle MILQUET]; Francophone Reformist Movement or MR (used to be Liberal Reformation Party or PRL) [Antoine DUQUESNE]; Francophone Socialist Party or PS [Elio DI RUPO]; National Front or FN [Daniel FERET]; New Flemish Alliance or NVA [Geert BOURGEOIS]; note - new party that emerged after the demise of the People's Union or VU; Social Progressive Alternative Party or SP.A [Steve STEVAERT]; note - was Flemish Socialist Party or SP; Spirit [Els VAN WEERT]; note - new party that emerged after the demise of the People's Union or VU; Vlaams Blok or VB [Frank VANHECKE]; other minor parties |
| Political pressure groups and leaders: | Christian and Socialist Trade Unions; Federation of Belgian Industries; numerous other associations representing bankers, manufacturers, middle-class artisans, and the legal and medical professions; various organizations represent the cultural interests of Flanders and Wallonia; various peace groups such as Pax Christi and groups representing immigrants |
| International organization participation: | ACCT, AfDB, AsDB, Australia Group, Benelux, BIS, CE, CERN, EAPC, EBRD, ECE, EIB, EMU, ESA, EU, FAO, G- 9, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MONUC, NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIK, UNMOGIP, UNMOP, UNRWA, UNTSO, UPU, WADB (nonregional), WCL, WCO, WEU, WHO, WIPO, WMO, WTrO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Franciskus VAN DAELE |
| Diplomatic representation in the US: | chancery: 3330 Garfield Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Chicago, Los Angeles, and New York |
| Diplomatic representation in the US: | FAX: [1] (202) 333-3079 |
| Diplomatic representation in the US: | telephone: [1] (202) 333-6900 |
| Diplomatic representation from the US: | chief of mission: Ambassador Stephen Franklin BRAUER |
| Diplomatic representation from the US: | embassy: Regentlaan 27 Boulevard du Regent, B-1000 Brussels |
| Diplomatic representation from the US: | mailing address: PSC 82, Box 002, APO AE 09710 |
| Diplomatic representation from the US: | telephone: [32] (2) 508-2111 |
| Diplomatic representation from the US: | FAX: [32] (2) 511-2725 |
| Flag description: | three equal vertical bands of black (hoist side), yellow, and red; the design was based on the flag of France |
