| Government | Belgium |
| Legislative branch: | description: bicameral Parliament consists of: |
| Legislative branch: | Senate or Senaat (in Dutch), Senat (in French) (60 seats; 50 members indirectly elected by the community and regional parliaments based on their election results, and 10 elected by the 50 other senators; members serve 5-year terms |
| Legislative branch: | Chamber of Representatives or Kamer van Volksvertegenwoordigers (in Dutch), Chambre des Representants (in French) (150 seats; members directly elected in multi-seat constituencies by proportional representation vote; members serve 5-year terms) |
| Legislative branch: | elections: |
| Legislative branch: | Senate - last held 3 July 2014 (next to be held in 2019) |
| Legislative branch: | Chamber of Representatives - last held on 25 May 2014 (next to be held in May 2019); note - elections will coincide with the EU's elections |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - NA; composition men 30, women 30, percent of women 50% |
| Legislative branch: | Chamber of Representatives - percent of vote by party - N-VA 20.3%, PS 11.7%, CD&V 11.6%, Open VLD 9.8%, MR 9.6%, SP.A 8.8%, Groen 5.3%, CDH 5% PTB 3.7%, VB 3.7%, Ecolo 3.3%, Defi 1.8%, PP 1.5%, other 3.9%; seats by party - N-VA 33, PS 23, MR 20, CD&V 18, Open VLD 14, SP.A 13, CDH 9, Ecolo 6, Groen 6, VB 3, Defi 2, PTB 2, PP 1; composition - men 91, women 59, percent of women 39.3%; note - total Parliament percent of women 42.4% |
| Legislative branch: | note: the 1993 constitutional revision that further devolved Belgium into a federal state created three levels of government (federal, regional, and linguistic community) with a complex division of responsibilities; this reality leaves six governments, each with its own legislative assembly; changes above occurred since the sixth state reform |
| Political parties and leaders: | Flemish parties: |
| Political parties and leaders: | Christian Democratic and Flemish or CD&V [Wouter BEKE]; |
| Political parties and leaders: | Flemish Liberals and Democrats or Open VLD [Gwendolyn RUTTEN]; |
| Political parties and leaders: | Groen [Meyrem ALMACI] (formerly AGALEV, Flemish Greens); |
| Political parties and leaders: | New Flemish Alliance or N-VA [Bart DE WEVER]; |
| Political parties and leaders: | Social Progressive Alternative or SP.A [John CROMBEZ, Stephanie VAN HOUTVEN]; |
| Political parties and leaders: | Vlaams Belang (Flemish Interest) or VB [Tom VAN GRIEKEN]; |
| Political parties and leaders: | Francophone parties: |
| Political parties and leaders: | Ecolo (Francophone Greens) [Patrick DUPRIEZ, Zakia KHATTABI]; |
| Political parties and leaders: | Francophone Federalist Democrats or Defi [Olivier MAINGAIN]; |
| Political parties and leaders: | Humanist and Democratic Center or CDH [Benoit LUTGEN]; |
| Political parties and leaders: | People's Party or PP [Mischael MODRIKAMEN]; |
| Political parties and leaders: | Reform Movement or MR [Olivier CHASTEL]; |
| Political parties and leaders: | Socialist Party or PS [Elio DI RUPO]; |
| Political parties and leaders: | Workers' Party or PTB [Peter MERTENS]; |
| Political parties and leaders: | other minor parties |
| International organization participation: | ADB (nonregional members), AfDB (nonregional members), Australia Group, Benelux, BIS, CD, CE, CERN, EAPC, EBRD, ECB, EIB, EITI (implementing country), EMU, ESA, EU, FAO, FATF, G-9, G-10, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IGAD (partners), IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MONUSCO, NATO, NEA, NSG, OAS (observer), OECD, OIF, OPCW, OSCE, Pacific Alliance (observer), Paris Club, PCA, Schengen Convention, SELEC (observer), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNRWA, UNTSO, UPU, WCO, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Dirk Jozef M. WOUTERS (since 16 September 2016) |
| Diplomatic representation in the US: | chancery: 3330 Garfield Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 333-6900 |
| Diplomatic representation in the US: | FAX: [1] (202) 333-3079 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Matthew LUSSENHOP (since 21 January 2017) |
| Diplomatic representation from the US: | embassy: 27 Boulevard du Regent [Regentlaan], B-1000 Brussels |
| Diplomatic representation from the US: | mailing address: PSC 82, Box 002, APO AE 09710 |
| Diplomatic representation from the US: | telephone: [32] (2) 811-4000 |
| Diplomatic representation from the US: | FAX: [32] (2) 811-4500 |
| Flag description: | three equal vertical bands of black (hoist side), yellow, and red; the vertical design was based on the flag of France; the colors are those of the arms of the duchy of Brabant (yellow lion with red claws and tongue on a black field) |
| National symbol(s): | golden rampant lion; national colors: red, black, yellow |
| National anthem: | name: "La Brabanconne" (The Song of Brabant) |
| National anthem: | lyrics/music: Louis-Alexandre DECHET[French] Victor CEULEMANS [Dutch]/Francois VAN CAMPENHOUT |
| National anthem: | note: adopted 1830; according to legend, Louis-Alexandre DECHET, an actor at the theater in which the revolution against the Netherlands began, wrote the lyrics with a group of young people in a Brussels cafe |
