| Government | NICARAGUA |
| International organization participation: | BCIE, CACM, CD, CELAC, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), LAES, LAIA (observer), MIGA, NAM, OAS, OPANAL, OPCW, PCA, Petrocaribe, SICA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, Union Latina, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Francisco Obadiah CAMPBELL Hooker (since 23 June 2010) |
| Diplomatic representation in the US: | chancery: 1627 New Hampshire Avenue NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 939-6570, 6573 |
| Diplomatic representation in the US: | FAX: [1] (202) 939-6545 |
| Diplomatic representation in the US: | consulate(s) general: Houston, Los Angeles, Miami, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Phyllis M. POWERS (since 24 April 2012) |
| Diplomatic representation from the US: | embassy: Kilometer 5.5 Carretera Sur, Managua |
| Diplomatic representation from the US: | mailing address: American Embassy Managua, APO AA 34021 |
| Diplomatic representation from the US: | telephone: [505] 2252-7100, 2252-7888; 2252-7634 (after hours) |
| Diplomatic representation from the US: | FAX: [505] 2252-7250 |
| Flag description: | three equal horizontal bands of blue (top), white, and blue with the national coat of arms centered in the white band; the coat of arms features a triangle encircled by the words REPUBLICA DE NICARAGUA on the top and AMERICA CENTRAL on the bottom; the banner is based on the former blue-white-blue flag of the Federal Republic of Central America; the blue bands symbolize the Pacific Ocean and the Caribbean Sea, while the white band represents the land between the two bodies of water |
| Flag description: | note: similar to the flag of El Salvador, which features a round emblem encircled by the words REPUBLICA DE EL SALVADOR EN LA AMERICA CENTRAL centered in the white band; also similar to the flag of Honduras, which has five blue stars arranged in an X pattern centered in the white band |
| National symbol(s): | turquoise-browed motmot (bird); national colors: blue, white |
| National anthem: | name: "Salve a ti, Nicaragua" (Hail to Thee, Nicaragua) |
| National anthem: | lyrics/music: Salomon Ibarra MAYORGA/traditional, arranged by Luis Abraham DELGADILLO |
| National anthem: | note: although only officially adopted in 1971, the music was approved in 1918 and the lyrics in 1939; the tune, originally from Spain, was used as an anthem for Nicaragua from the 1830s until 1876 |
