| Government | HONDURAS |
| Diplomatic representation in the US: | chief of mission: Ambassador Jorge Alberto MILLA Reyes (since 21 May 2014) |
| Diplomatic representation in the US: | chancery: Suite 4-M, 3007 Tilden Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 966-2604 |
| Diplomatic representation in the US: | FAX: [1] (202) 966-9751 |
| Diplomatic representation in the US: | consulate(s): Dallas, McAllen (TX0 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Chicago, Houston, Los Angeles, Miami, New Orleans, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador James D. NEALON (since 21 August 2014) |
| Diplomatic representation from the US: | embassy: Avenida La Paz, Apartado Postal No. 3453, Tegucigalpa |
| Diplomatic representation from the US: | mailing address: American Embassy, APO AA 34022, Tegucigalpa |
| Diplomatic representation from the US: | telephone: [504] 2236-9320, 2238-5114 |
| Diplomatic representation from the US: | FAX: [504] 2236-9037 |
| Flag description: | three equal horizontal bands of blue (top), white, and blue, with five blue, five-pointed stars arranged in an X pattern centered in the white band; the stars represent the members of the former Federal Republic of Central America: Costa Rica, El Salvador, Guatemala, Honduras, and Nicaragua; the blue bands symbolize the Pacific Ocean and the Caribbean Sea; the white band represents the land between the two bodies of water and the peace and prosperity of its people |
| Flag description: | note: similar to the flag of El Salvador, which features a round emblem encircled by the words REPUBLICA DE EL SALVADOR EN LA AMERICA CENTRAL centered in the white band; also similar to the flag of Nicaragua, which features a triangle encircled by the words REPUBLICA DE NICARAGUA on top and AMERICA CENTRAL on the bottom, centered in the white band |
| National symbol(s): | scarlet macaw, white-tailed deer; national colors: blue, white |
| National anthem: | name: "Himno Nacional de Honduras" (National Anthem of Honduras) |
| National anthem: | lyrics/music: Augusto Constancio COELLO/Carlos HARTLING |
| National anthem: | note: adopted 1915; the anthem's seven verses chronicle Honduran history; on official occasions, only the chorus and last verse are sung |
