| Government | BENIN |
| Judicial branch: | subordinate courts: Court of Appeal or Cour d'Appel; district courts; village courts; Assize courts |
| Political parties and leaders: | Alliance for a Triumphant Benin or ABT [Abdoulaye BIO TCHANE] |
| Political parties and leaders: | African Movement for Development and Progress or MADEP [Sefou FAGBOHOUN] |
| Political parties and leaders: | Benin Renaissance or RB [Lehady SOGLO] |
| Political parties and leaders: | Cowrie Force for an Emerging Benin or FCBE [Yayi BONI] |
| Political parties and leaders: | Democratic Renewal Party or PRD [Adrien HOUNGBEDJI] |
| Political parties and leaders: | New Consciousness Rally or NC [Pascal KOUPAKI] |
| Political parties and leaders: | Patriotic Awakening or RP [Janvier YAHOUEDEOU] |
| Political parties and leaders: | Social Democrat Party or PSD [Emmanuel GOLOU] |
| Political parties and leaders: | Sun Alliance or AS [Sacca LAFIA] |
| Political parties and leaders: | Union Makes the Nation or UN [Adrien HOUNGBEDJI] (alliance superceded Alliance for Dynamic Democracy or ADD) |
| Political parties and leaders: | United Democratic Forces or FDU [Mathurin NAGO] |
| Political parties and leaders: | note: approximately 20 additional minor parties |
| Political pressure groups and leaders: | other: economic groups; environmentalists; political groups; teachers' unions and other educational groups |
| International organization participation: | ACP, AfDB, AU, CD, ECOWAS, Entente, FAO, FZ, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINUSMA, MONUSCO, NAM, OAS (observer), OIC, OIF, OPCW, PCA, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WADB (regional), WAEMU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Omar AROUNA (since 21 May 2014) |
| Diplomatic representation in the US: | chancery: 2124 Kalorama Road NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 232-6656 |
| Diplomatic representation in the US: | FAX: [1] (202) 265-1996 |
| Diplomatic representation from the US: | chief of mission: Ambassador Lucy TAMLYN (since 8 November 2015) |
| Diplomatic representation from the US: | embassy: Caporal Bernard Anani, 01 BP 2012, Cotonou |
| Diplomatic representation from the US: | mailing address: 01 B. P. 2012, Cotonou |
| Diplomatic representation from the US: | telephone: [229] 21-30-06-50 |
| Diplomatic representation from the US: | FAX: [229] 21-30-03-84 |
| Flag description: | two equal horizontal bands of yellow (top) and red (bottom) with a vertical green band on the hoist side; green symbolizes hope and revival, yellow wealth, and red courage |
| Flag description: | note: uses the popular Pan-African colors of Ethiopia |
| National symbol(s): | leopard; national colors: green, yellow, red |
| National anthem: | name: "L'Aube Nouvelle" (The Dawn of a New Day) |
| National anthem: | lyrics/music: Gilbert Jean DAGNON |
| National anthem: | note: adopted 1960 |
