| Government | Benin |
| Judicial branch: | highest courts: Supreme Court or Cour Supreme (consists of the chief justice and 16 justices organized into an administrative division, judicial chamber, and chamber of accounts); Constitutional Court or Cour Constitutionnelle (consists of 7 members, including the court president); High Court of Justice (consists of the Constitutional Court members, 6 members appointed by the National Assembly, and the Supreme Court president); note - jurisdiction of the High Court of Justice is limited to cases of high treason by the national president or members of the government while in office |
| Judicial branch: | judge selection and term of office: Supreme Court president and judges appointed by the president of the republicÂ upon the advice of the National Assembly; judges appointed for single renewable 5-year terms; Constitutional Court members - 4 appointed by the National Assembly and 3 by the president of the republic; members appointed for single renewable 5-year terms; other members of the High Court of Justice elected by the National Assembly; member tenure NA |
| Judicial branch: | subordinate courts: Court of Appeal or Cour d'Appel; district courts; village courts; Assize courts |
| Political parties and leaders: | Alliance for a Triumphant Benin or ABT [Abdoulaye BIO TCHANE] |
| Political parties and leaders: | African Movement for Development and Progress or MADEP [Sefou FAGBOHOUN] |
| Political parties and leaders: | Benin Renaissance or RB [Lehady SOGLO] |
| Political parties and leaders: | Cowrie Force for an Emerging Benin or FCBE [Yayi BONI] |
| Political parties and leaders: | Democratic Renewal Party or PRD [Adrien HOUNGBEDJI] |
| Political parties and leaders: | National Alliance for Development and Democracy or AND [Valentin Aditi HOUDE] |
| Political parties and leaders: | New Consciousness Rally or NC [Pascal KOUPAKI] |
| Political parties and leaders: | Patriotic Awakening or RP [Janvier YAHOUEDEOU] |
| Political parties and leaders: | Social Democrat Party or PSD [Emmanuel GOLOU] |
| Political parties and leaders: | Sun Alliance or AS [Sacca LAFIA] |
| Political parties and leaders: | Union Makes the Nation or UN [Adrien HOUNGBEDJI] (includes PRD, MADEP) |
| Political parties and leaders: | United Democratic Forces or FDU [Mathurin NAGO] |
| Political parties and leaders: | note: approximately 20 additional minor parties |
| International organization participation: | ACP, AfDB, AU, CD, ECOWAS, Entente, FAO, FZ, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINUSMA, MONUSCO, NAM, OAS (observer), OIC, OIF, OPCW, PCA, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WADB (regional), WAEMU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Jean Claude Felix DO REGO (since 17 July 2020) |
| Diplomatic representation in the US: | chancery: 2124 Kalorama Road NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 232-6656 |
| Diplomatic representation in the US: | FAX: [1] (202) 265-1996 |
| Diplomatic representation from the US: | chief of mission: Ambassador Patricia MAHONEY (since 18 January 2019) |
| Diplomatic representation from the US: | telephone: [229] 21-30-06-50 |
| Diplomatic representation from the US: | embassy: Marina Avenue, 01 BP 2012, Cotonou |
| Diplomatic representation from the US: | mailing address: 01 B. P. 2012, Cotonou |
| Diplomatic representation from the US: | FAX: [229] 21-30-03-84 |
| Flag description: | two equal horizontal bands of yellow (top) and red (bottom) with a vertical green band on the hoist side; green symbolizes hope and revival, yellow wealth, and red courage |
| Flag description: | note: uses the popular Pan-African colors of Ethiopia |
| National symbol(s): | leopard; national colors: green, yellow, red |
| National anthem: | name: "L'Aube Nouvelle" (The Dawn of a New Day) |
| National anthem: | lyrics/music: Gilbert Jean DAGNON |
| National anthem: | note: adopted 1960 |
