| Government | Georgia |
| Political parties and leaders: | Democratic Movement-United Georgia [Nino BURJANADZE] |
| Political parties and leaders: | Citizens Party |
| Political parties and leaders: | Development Movement [Davit USPASHVILI] |
| Political parties and leaders: | European Georgia-Movement for Liberty [Davit BAKRADZE] |
| Political parties and leaders: | For Justice Party [Eka BESELIA] |
| Political parties and leaders: | Free Democrats or FD [Shalva SHAVGULIDZE] |
| Political parties and leaders: | Georgian Dream-Democratic Georgia [Bidzina IVANISHVILI] |
| Political parties and leaders: | Girchi (Pinecone) [Zurab JAPARIDZE] |
| Political parties and leaders: | Industry Will Save Georgia (Industrialists) or IWSG [Giorgi TOPADZE] |
| Political parties and leaders: | Labor Party [Shalva NATELASHVILI] |
| Political parties and leaders: | Lelo for Georgia [Mamuka KHAZARADZE] |
| Political parties and leaders: | New Georgia [Giorgi VASHADZE] |
| Political parties and leaders: | Republican Party [Khatuna SAMNIDZE] |
| Political parties and leaders: | Strategy Aghmashenebeli [Giorgi VASHADZE] |
| Political parties and leaders: | United National Movement or UNM [Grigol VASHADZE] |
| International organization participation: | ADB, BSEC, CD, CE, CPLP (associate), EAPC, EBRD, FAO, G-11, GCTU, GUAM, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, OAS (observer), OIF (observer), OPCW, OSCE, PFP, SELEC (observer), UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador David BAKRADZE (since 18 January 2017) |
| Diplomatic representation in the US: | chancery: 1824 R Street NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 387-2390 |
| Diplomatic representation in the US: | FAX: [1] (202) 387-0864 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Kelly C. DEGNAN (since 31 January 2020) |
| Diplomatic representation from the US: | telephone: [995] (32) 227-70-00 |
| Diplomatic representation from the US: | embassy: 11 George Balanchine Street, Tbilisi,Â 0131 |
| Diplomatic representation from the US: | mailing address: 7060 T'bilisi Place, Washington, DC 20521-7060 |
| Diplomatic representation from the US: | FAX: [995] (32) 253-23-10 |
| Flag description: | white rectangle with a central red cross extending to all four sides of the flag; each of the four quadrants displays a small red bolnur-katskhuri cross; sometimes referred to as the Five-Cross Flag; although adopted as the official Georgian flag in 2004, the five-cross design appears to date back to the 14th century |
| National symbol(s): | Saint George, lion; national colors: red, white |
| National anthem: | name: "Tavisupleba" (Liberty) |
| National anthem: | lyrics/music: Davit MAGRADSE/Zakaria PALIASHVILI (adapted by Joseb KETSCHAKMADSE) |
| National anthem: | note: adopted 2004; after the Rose Revolution, a new anthem with music based on the operas "Abesalom da Eteri" and "Daisi" was adopted |
