| Government | KYRGYZSTAN |
| Diplomatic representation in the US: | telephone: [1] (202) 449-9822-23 |
| Diplomatic representation in the US: | FAX: [1] (202) 386-7550 |
| Diplomatic representation in the US: | consulate(s): New York |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Richard MILES |
| Diplomatic representation from the US: | embassy: 171 Prospect Mira, Bishkek 720016 |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [996] (312) 551-241, (517) 777-217 |
| Diplomatic representation from the US: | FAX: [996] (312) 551-264 |
| Flag description: | red field with a yellow sun in the center having 40 rays representing the 40 Kyrgyz tribes; on the obverse side the rays run counterclockwise, on the reverse, clockwise; in the center of the sun is a red ring crossed by two sets of three lines, a stylized representation of a "tunduk" - the crown of a traditional Kyrgyz yurt; red symbolizes bravery and valor, the sun evinces peace and wealth |
| National symbol(s): | gyrfalcon; national colors: red, yellow |
| National anthem: | name: "Kyrgyz Respublikasynyn Mamlekettik Gimni" (National Anthem of the Kyrgyz Republic) |
| National anthem: | lyrics/music: Djamil SADYKOV and Eshmambet KULUEV/Nasyr DAVLESOV and Kalyi MOLDOBASANOV |
| National anthem: | note: adopted 1992 |
