| Government | Niger |
| Political parties and leaders: | National Movement for a Society of Development-Nassara or MNSD-Nassara [Seini OUMAROU] |
| Political parties and leaders: | National Union of Independents or UNI [Amadou DJIBO ALI] |
| Political parties and leaders: | Nigerien Alliance for Democracy and Progress-Zaman Lahiya or ANDP-Zaman Lahiya [Moussa Moumouni DJERMAKOYE] |
| Political parties and leaders: | Nigerien Democratic Movement for an African Federation or MODEN/FA Lumana [Hama AMADOU] |
| Political parties and leaders: | Nigerien Party for Democracy and Socialism or PNDS-Tarrayya [Mohamed BAZOUM] |
| Political parties and leaders: | Rally for Democracy and Progress-Jama'a or RDP-Jama'a [Hamid ALGABID] |
| Political parties and leaders: | Social and Democratic Rally or RSD-Gaskiyya [Cheiffou AMADOU] |
| Political parties and leaders: | Union for Democracy and the Republic-Tabbat or UDR-Tabbat [Amadou Boubacar CISSE] |
| Political parties and leaders: | note: the SPLM and SPLM-DC are banned political parties |
| International organization participation: | ACP, AfDB, AU, CD, ECOWAS, EITI (compliant country), Entente, FAO, FZ, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, MINUSMA, MONUSCO, NAM, OIC, OIF, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNMIL, UNOCI, UNWTO, UPU, WADB (regional), WAEMU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Maman Sambo SIDIKOU (since 2 December 2011) |
| Diplomatic representation in the US: | chancery: 2204 R Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 483-4224 through 4227 |
| Diplomatic representation in the US: | FAX: [1] (202)483-3169 |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Richard BELL (since September 2012) |
| Diplomatic representation from the US: | embassy: BP 11201, Rue Des Ambassades, Niamey |
| Diplomatic representation from the US: | mailing address: 2420 Niamey Pl, Washington DC 20521-2420 |
| Diplomatic representation from the US: | telephone: [227] 20-73-31-69 or [227] 20-72-39-41 |
| Diplomatic representation from the US: | FAX: [227] 20-73-55-60 |
| Flag description: | three equal horizontal bands of orange (top), white, and green with a small orange disk centered in the white band; the orange band denotes the drier northern regions of the Sahara; white stands for purity and innocence; green symbolizes hope and the fertile and productive southern and western areas, as well as the Niger River; the orange disc represents the sun and the sacrifices made by the people |
| Flag description: | note: similar to the flag of India, which has a blue spoked wheel centered in the white band |
| National anthem: | name: "La Nigerienne" (The Nigerien) |
| National anthem: | lyrics/music: Maurice Albert THIRIET/Robert JACQUET and Nicolas Abel Francois FRIONNET |
| National anthem: | note: adopted 1961 |
