| Government | Belarus |
| Legislative branch: | bicameral national assembly or natsionalnoye sobraniye consists of the Council of the Republic or Sovet Respubliki (64 seats; 56 members elected by regional and Minsk city councils and 8 members appointed by the president, to serve four-year terms) and the Chamber of Representatives or Palata Predstaviteley (110 seats; members elected by popular vote to serve four-year terms); note - the US does not recognize the legitimacy of the national assembly |
| Legislative branch: | elections: Palata Predstaviteley - last held on 23 September 2012 (next to be held September 2016); OSCE observers determined that the election was neither free nor impartial and that vote counting was problematic in a number of polling stations; pro-LUKASHENKO candidates won every seat with no opposition representation in the chamber; international observers determined that the previous election, on 28 September 2008, despite minor improvements also fell short of democratic standards, with pro-LUKASHENKO candidates winning every seat |
| Legislative branch: | election results: Sovet Respubliki - percent of vote by party - NA; seats by party - NA; Palata Predstaviteley [2008] - percent of vote by party - NA; seats by party - KPB 6, AP 1, no affiliation 103; Palata Predstaviteley [2012] - percent of vote by party - NA; seats by party - KPB 3, AP 1, no affiliation 106 |
| Judicial branch: | highest court(s): Supreme Court (consists of the chairman, deputy chairman, and NA judges); Constitutional Court (consists of 12 judges including a chairman and deputy chairman) |
| Judicial branch: | judge selection and term of office: Supreme Court judges appointed by the president with the consent of the Council of the Republic; judges initially appointed for 5 years and evaluated for life appointment; Constitutional Court judges - 6 appointed by the president and 6 elected by the Chamber of Representatives; term of judges is 11 years with an age limit of 70 |
| Judicial branch: | subordinate courts: regional, district, city, town, and military courts |
| Political parties and leaders: | pro-government parties: |
| Political parties and leaders: | Belarusian Agrarian Party or AP [Mikhail SHIMANSKY] |
| Political parties and leaders: | Belarusian Patriotic Movement (Belarusian Patriotic Party) or BPR [Nikolay ULAKHOVICH, chairman] |
| Political parties and leaders: | Communist Party of Belarus or KPB [Igor KARPENKO] |
| Political parties and leaders: | Liberal Democratic Party or LDP [Sergey GAYDUKEVICH] |
| Political parties and leaders: | Republican Party of Labor and Justice [Vasiliy ZADNEPRYANYY] |
| opposition parties: | Belarusian Christian Democracy Party [Pavel SEVERINETS] (unregistered) |
| opposition parties: | Belarusian Party of the Left "Fair World" [Sergey KALYAKIN] |
| opposition parties: | Belarusian Popular Front or BPF [Aleksey YANUKEVICH] |
| opposition parties: | Belarusian Social-Democratic Hramada [Stanislav SHUSHKEVICH] |
| opposition parties: | Belarusian Social Democratic Party Hramada ("Assembly") or BSDPH [Irina VESHTARD] |
| opposition parties: | Belarusian Social Democratic Party People's Assembly ("Narodnaya Hramada") [Nikolay STATKEVICH] (unregistered) |
| opposition parties: | Christian Conservative Party or BPF [Zyanon PAZNIAK] |
| opposition parties: | European Belarus Campaign [Andrey SANNIKOV] |
| opposition parties: | Party of Freedom and Progress [Vladimir NOVOSYAD] (unregistered) |
| opposition parties: | "Tell the Truth" Campaign [Vladimir NEKLYAYEV] |
| opposition parties: | United Civic Party or UCP [Anatoliy LEBEDKO] |
| Political pressure groups and leaders: | Assembly of Pro-Democratic NGOs (unregistered) [Sergey MATSKEVICH] |
| Political pressure groups and leaders: | Belarusian Congress of Democratic Trade Unions [Aleksandr YAROSHUK] |
| Political pressure groups and leaders: | Belarusian Association of Journalists [Zhana LITVINA] |
| Political pressure groups and leaders: | Belarusian Helsinki Committee [Aleh HULAK] |
| Political pressure groups and leaders: | Belarusian Independence Bloc (unregistered) and For Freedom movement [Aleksandr MILINKEVICH] |
| Political pressure groups and leaders: | Belarusian Organization of Working Women [Irina ZHIKHAR] |
| Political pressure groups and leaders: | BPF-Youth [Andrus KRECHKA] |
| Political pressure groups and leaders: | Charter 97 (unregistered) [Andrey SANNIKOV] |
| Political pressure groups and leaders: | Perspektiva small business association [Anatol SHUMCHENKO] |
| Political pressure groups and leaders: | Nasha Vyasna (unregistered) ("Our Spring") human rights center [Ales BYALYATSKI] |
| Political pressure groups and leaders: | "Tell the Truth" Movement [Vladimir NEKLYAYEV] |
| Political pressure groups and leaders: | Women's Independent Democratic Movement [Ludmila PETINA] |
| Political pressure groups and leaders: | Young Belarus (Malady Belarus) [Zmitser KASPYAROVICH] |
| Political pressure groups and leaders: | Youth Front (Malady Front) [Zmitser DASHKEVICH] |
| International organization participation: | BSEC (observer), CBSS (observer), CEI, CIS, CSTO, EAEC, EAPC, EBRD, FAO, GCTU, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IFC, IFRCS, ILO, IMF, IMSO, Interpol, IOC, IOM, IPU, ISO, ITU, ITUC (NGOs), MIGA, NAM, NSG, OPCW, OSCE, PCA, PFP, SCO (dialogue member), UN, UNCTAD, UNESCO, UNIDO, UNIFIL, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO (observer), ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Oleg KRAVCHENKO |
| Diplomatic representation in the US: | chancery: 1619 New Hampshire Avenue NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 986-1604 |
| Diplomatic representation in the US: | FAX: [1] (202) 986-1805 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Ethan GOLDRICH (since July 2012) |
| Diplomatic representation from the US: | embassy: 46 Starovilenskaya Street, Minsk 220002 |
| Diplomatic representation from the US: | mailing address: PSC 78, Box B Minsk, APO 09723 |
| Diplomatic representation from the US: | telephone: [375] (17) 210-12-83 |
| Diplomatic representation from the US: | FAX: [375] (17) 234-7853 |
| Flag description: | red horizontal band (top) and green horizontal band one-half the width of the red band; a white vertical stripe on the hoist side bears Belarusian national ornamentation in red; the red band color recalls past struggles from oppression, the green band represents hope and the many forests of the country |
| National symbol(s): | mounted knight known as Pahonia (the Chaser) |
| National anthem: | name: "My, Bielarusy" (We Belarusians) |
| National anthem: | lyrics/music: Mikhas KLIMKOVICH and Uladzimir KARYZNA/Nester SAKALOUSKI |
| National anthem: | note: music adopted 1955, lyrics adopted 2002; after the fall of the Soviet Union, Belarus kept the music of its Soviet-era anthem but adopted new lyrics; also known as "Dziarzauny himn Respubliki Bielarus" (State Anthem of the Republic of Belarus) |
