| Government | Belarus |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (no term limits); first election took place on 23 June and 10 July 1994; according to the 1994 constitution, the next election should have been held in 1999; however, Aleksandr LUKASHENKO extended his term to 2001 via a November 1996 referendum; subsequent election held on 9 September 2001; an October 2004 referendum ended presidential term limits and allowed the president to run and win in a third (19 March 2006), fourth (19 December 2010), and fifth election (11 October 2015); next election in 2020; prime minister and deputy prime ministers appointed by the president and approved by the National Assembly |
| Executive branch: | election results: Aleksandr LUKASHENKO reelected president; percent of vote - Aleksandr LUKASHENKO (independent) 83.5%, Tatstyana KARATKEVICH (Tell the Truth) 4.4%, Sergey GAYDUKEVICH (LDP) 3.3%, other 8.8%; note - election marred by electoral fraud |
| Legislative branch: | description: bicameral National Assembly or Natsionalnoye Sobraniye consists of: |
| Legislative branch: | Council of the Republic or Sovet Respubliki (64 seats; 56 members indirectly elected by regional and Minsk city councils and 8 members appointed by the president; members serve 4-year terms) |
| Legislative branch: | House of Representatives or Palata Predstaviteley (110 seats; members directly elected in single-seat constituencies by absolute majority vote in 2 rounds if needed; members serve 4-year terms) |
| Legislative branch: | elections: |
| Legislative branch: | Council of the Republic - (indirect) election last held on 7 November 2019 |
| Legislative branch: | House of Representatives - last held on 17 November 2019 (next to be held in 2023); OSCE observers determined that the election was neither free nor impartial and that vote counting was problematic in a number of polling stations; pro-LUKASHENKO candidates won every seat; international observers determined that the previous elections, on 28 September 2008, 23 September 2012, and 11 September 2016 also fell short of democratic standards, with pro-LUKASHENKO candidates winning every, or virtually every, seat |
| Legislative branch: | election results: |
| Legislative branch: | Council of the Republic - percent of vote by party - NA; seats by party - NA; composition - NA |
| Legislative branch: | House of Representatives - percent of vote by party - NA; seats by party - KPB 11, Republican Party of Labor and Justice 6, Belarusian Patriotic Party 2, LDP 1, AP 1, independent 89; composition - men 66, women 44, percent of women 40%; note - total National Assembly percent of women - NA |
| Legislative branch: | note: the US does not recognize the legitimacy of the National Assembly |
| Judicial branch: | highest courts: Supreme Court (consists of the chairman and deputy chairman and organized into several specialized panels, including economic and military; number of judges set by the president of the republic and the court chairman); Constitutional Court (consists of 12 judges, including a chairman and deputy chairman) |
| Judicial branch: | judge selection and term of office: Supreme Court judges appointed by the president with the consent of the Council of the Republic; judges initially appointed for 5 years and evaluated for life appointment; Constitutional Court judges - 6 appointed by the president and 6 elected by the Council of the Republic; the presiding judge directly elected by the president and approved by the Council of the Republic; judges can serve for 11 years with an age limit of 70 |
| Judicial branch: | subordinate courts: oblast courts; Minsk City Court; town courts; Minsk city and oblast economic courts |
| Political parties and leaders: | pro-government parties: |
| Political parties and leaders: | Belarusian Agrarian Party or AP [Mikhail SHIMANSKY] |
| Political parties and leaders: | Belarusian Patriotic Party [Nikolai ULAKHOVICH] |
| Political parties and leaders: | Belarusian Social Sport Party [Vladimir ALEKSANDROVICH] |
| Political parties and leaders: | Communist Party of Belarus or KPB [Aleksei SOKOL] |
| Political parties and leaders: | Liberal Democratic Party or LDP [Sergey GAYDUKEVICH] |
| Political parties and leaders: | Republican Party [Vladimir BELOZOR] |
| Political parties and leaders: | Republican Party of Labor and Justice [Vasiliy ZADNEPRYANIY] |
| Political parties and leaders: | Social Democratic Party of Popular Accord [Sergei YERMAK] |
| Political parties and leaders: | opposition parties: |
| Political parties and leaders: | Belarusian Christian Democracy Party [Paval SEVIARYNETS, Volha KAVALKOVA, Vital RYMASHEWSKI] (unregistered) |
| Political parties and leaders: | Belarusian Party of the Green [Anastasiya DOROFEYEVA] |
| Political parties and leaders: | Belarusian Party of the Left "Just World" [Sergey KALYAKIN] |
| Political parties and leaders: | Belarusian Popular Front or BPF [Ryhor KASTUSEU] |
| Political parties and leaders: | Belarusian Social-Democratic Assembly [Sergei CHERECHEN] |
| Political parties and leaders: | Belarusian Social Democratic Party ("Assembly") or BSDPH [Ihar BARYSAU] |
| Political parties and leaders: | Belarusian Social Democratic Party (People's Assembly) [Mikalay STATKEVICH] (unregistered) |
| Political parties and leaders: | Christian Conservative Party or BPF [Zyanon PAZNYAK] |
| Political parties and leaders: | United Civic Party or UCP [Nikolay KOZLOV] |
| International organization participation: | BSEC (observer), CBSS (observer), CEI, CIS, CSTO, EAEC, EAEU, EAPC, EBRD, FAO, GCTU, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IFC, IFRCS, ILO, IMF, IMSO, Interpol, IOC, IOM, IPU, ISO, ITU, ITUC (NGOs), MIGA, NAM, NSG, OPCW, OSCE, PCA, PFP, SCO (dialogue member), UN, UNCTAD, UNESCO, UNIDO, UNIFIL, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO (observer), ZC |
| Diplomatic representation in the US: | Ambassador (vacant; recalled by Belarus in 2008); Charge d'Affaires Dmitriy BASIK (since July 2019) |
| Diplomatic representation in the US: | chancery: 1619 New Hampshire Avenue NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 986-1606 |
| Diplomatic representation in the US: | FAX: [1] (202) 986-1805 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant; left in 2008 upon insistence of Belarusian Government); Charge d'Affaires Jenifer MOORE (since August 2018) |
| Diplomatic representation from the US: | telephone: [375] (17) 210-1283 |
| Diplomatic representation from the US: | embassy: 46 Starovilenskaya Street, Minsk 220002 |
| Diplomatic representation from the US: | mailing address: Unit 7010 Box 100, DPO AE 09769 |
| Diplomatic representation from the US: | FAX: [375] (17) 234-7853 |
| Flag description: | red horizontal band (top) and green horizontal band one-half the width of the red band; a white vertical stripe on the hoist side bears Belarusian national ornamentation in red; the red band color recalls past struggles from oppression, the green band represents hope and the many forests of the country |
| National symbol(s): | no clearly defined current national symbol, the mounted knight known as Pahonia (the Chaser) is the traditional Belarusian symbol; national colors: green, red, white |
| National anthem: | name: "My, Bielarusy" (We Belarusians) |
| National anthem: | lyrics/music: Mikhas KLIMKOVICH and Uladzimir KARYZNA/Nester SAKALOUSKI |
| National anthem: | note: music adopted 1955, lyrics adopted 2002; after the fall of the Soviet Union, Belarus kept the music of its Soviet-era anthem but adopted new lyrics; also known as "Dziarzauny himn Respubliki Bielarus" (State Anthem of the Republic of Belarus) |
