| Government | Sudan |
| Political parties and leaders: | National Congress Party or NCP [Umar Hassan al-BASHIR] |
| Political parties and leaders: | National Umma Party or NUP [Saddiq al-MAHDI] |
| Political parties and leaders: | Popular Congress Party or PCP [Hassan al-TURABI] |
| Political parties and leaders: | Reform Movement Now [Dr. Ghazi Salahuddin al-ATABANI]Sudan National Front [Ali Mahmud HASANAYN] |
| Political parties and leaders: | Sudanese Communist Party or SCP [Mohammed Moktar Al-KHATEEB] |
| Political parties and leaders: | Sudanese Congress Party or SCoP [Ibrahim Al-SHEIKH] |
| Political parties and leaders: | Umma Party for Reform and Development |
| Political parties and leaders: | Unionist Movement Party or UMP |
| International organization participation: | ABEDA, ACP, AfDB, AFESD, AMF, AU, CAEU, COMESA, FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IGAD, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, LAS, MIGA, NAM, OIC, OPCW, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Mohamed ATTA al-Moula Abbas (since July 2018) |
| Diplomatic representation in the US: | chancery: 2210 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 338-8565 |
| Diplomatic representation in the US: | FAX: [1] (202) 667-2406 |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Steven KOUTSIS (since July 2016) |
| Diplomatic representation from the US: | embassy: Sharia Ali Abdul Latif Street, Khartoum |
| Diplomatic representation from the US: | mailing address: P.O. Box 699, Kilo 10, Soba, Khartoum; APO AE 09829 |
| Diplomatic representation from the US: | telephone: [249] 18702-2000 |
| Diplomatic representation from the US: | FAX: [249] 18702-2547 |
| Flag description: | three equal horizontal bands of red (top), white, and black with a green isosceles triangle based on the hoist side; colors and design based on the Arab Revolt flag of World War I, but the meanings of the colors are expressed as follows: red signifies the struggle for freedom, white is the color of peace, light, and love, black represents the people of Sudan (in Arabic 'Sudan' means black), green is the color of Islam, agriculture, and prosperity |
| National symbol(s): | secretary bird; national colors: red, white, black, green |
| National anthem: | name: "Nahnu Djundulla Djundulwatan" (We Are the Army of God and of Our Land) |
| National anthem: | lyrics/music: Sayed Ahmad Muhammad SALIH/Ahmad MURJAN |
| National anthem: | note: adopted 1956; originally served as the anthem of the Sudanese military |
