| Government | Sudan |
| Political parties and leaders: | political parties in the Government of National Unity include: National Congress Party or NCP [Ibrahim Ahmed OMAR]; Sudan People's Liberation Movement or SPLM [Salva Mayardit KIIR]; and elements of the National Democratic Alliance or NDA including factions of the Democratic Union Party [Muhammad Uthman al-MIRGHANI] and Umma Party [SADIQ Siddiq al-Mahdi] |
| Political pressure groups and leaders: | Umma Party [Sadiq al-MAHDI]; Popular Congress Party or PCP [Hassan al-TURABI] |
| International organization participation: | ABEDA, ACP, AfDB, AFESD, AMF, AU, CAEU, COMESA, FAO, G-77, IAEA, IBRD, ICAO, ICCt (signatory), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IGAD, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITU, LAS, MIGA, NAM, OIC, OPCW, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Charge d'Affaires, Ad Interim Khidir HAROUN (since April 2001) |
| Diplomatic representation in the US: | chancery: 2210 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 338-8565 |
| Diplomatic representation in the US: | FAX: [1] (202) 667-2406 |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Cameron HUME |
| Diplomatic representation from the US: | embassy: Sharia Ali Abdul Latif Avenue, Khartoum |
| Diplomatic representation from the US: | mailing address: P. O. Box 699, Khartoum; APO AE 09829 |
| Diplomatic representation from the US: | telephone: [249] (183) 774701 |
| Diplomatic representation from the US: | FAX: [249] (183) 774137 |
| Diplomatic representation from the US: | note: US Consul in Cairo is providing backup service for Khartoum; consular services are being established in Juba (southern Sudan) |
| Flag description: | three equal horizontal bands of red (top), white, and black with a green isosceles triangle based on the hoist side |
