| Government | ROMANIA |
| International organization participation: | Australia Group, BIS, BSEC, CBSS (observer), CD, CE, CEI, EAPC, EBRD, ECB, EIB, ESA, EU, FAO, G-9, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAIA (observer), MIGA, MONUSCO, NATO, NSG, OAS (observer), OIF, OPCW, OSCE, PCA, SELEC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, Union Latina, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador George Cristian MAIOR (since 17 September 2015) |
| Diplomatic representation in the US: | chancery: 1607 23rd Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-4846, 4848, 4851, 4852 |
| Diplomatic representation in the US: | FAX: [1] (202) 232-4748 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Hans G. KLEMM (since 21 September 2015) |
| Diplomatic representation from the US: | embassy: Bulevardul Dr. Liviu Librescu 4-6, District 1, Bucharest, 015118 |
| Diplomatic representation from the US: | mailing address: American Embassy Bucharest, US Department of State, 5260 Bucharest Place, Washington, DC 20521-5260 (pouch) |
| Diplomatic representation from the US: | telephone: [40] (21) 200-3300 |
| Diplomatic representation from the US: | FAX: [40] (21) 200-3442 |
| Flag description: | three equal vertical bands of blue (hoist side), yellow, and red; modeled after the flag of France, the colors are those of the principalities of Walachia (red and yellow) and Moldavia (red and blue), which united in 1862 to form Romania; the national coat of arms that used to be centered in the yellow band has been removed |
| Flag description: | note: now similar to the flag of Chad, whose blue band is darker; also resembles the flags of Andorra and Moldova |
| National symbol(s): | golden eagle; national colors: blue, yellow, red |
| National anthem: | name: "Desteapta-te romane!" (Wake up, Romanian!) |
| National anthem: | lyrics/music: Andrei MURESIANU/Anton PANN |
| National anthem: | note: adopted 1990; the anthem was written during the 1848 Revolution |
