| Government | Romania |
| Legislative branch: | Chamber of Deputies - percent of vote by party - PSD 45.5%, PNL 20%, USR 8.9%, UDMR 6.2%, ALDE 5.6%, PMP 5.4%, other 8.4%; seats by party - PSD 154, PNL 69, USR 30, UDMR 21, ALDE 20, PMP 18, minorities 17; composition men 261, women 68, percent of women 20.7%; note - total Parliament percent of women 20.7% |
| Political parties and leaders: | Christian-Democratic National Peasants' Party or PNT-CD [Aurelian PAVELESCU] |
| Political parties and leaders: | Democratic Union of Hungarians in Romania or UDMR [Hunor KELEMEN] |
| Political parties and leaders: | Civic Hungarian Party [Zsolt BIRO] |
| Political parties and leaders: | Ecologist Party of Romania or PER [Danut POP] |
| Political parties and leaders: | Greater Romania Party or PRM [Adrian POPESCU] |
| Political parties and leaders: | M10 Party [Ioana CONSTANTIN] |
| Political parties and leaders: | National Liberal Party or PNL [Ludovic ORBAN] |
| Political parties and leaders: | New Romania Party or PNR [Sebastian POPESCU] |
| Political parties and leaders: | Our Romania Alliance [Marian MUNTEANU] |
| Political parties and leaders: | Party of the Alliance of Liberals and Democrats or ALDE [Calin POPESCU TARICEANU] |
| Political parties and leaders: | Popular Movement Party or PMP [Traian BASESCU] |
| Political parties and leaders: | Romanian Social Party or PSRo [Mircea GEOANA] |
| Political parties and leaders: | Save Romania Union Party or Partidul USR [Dan BARNA] |
| Political parties and leaders: | Social Democratic Party or PSD [Liviu DRAGNEA] |
| Political parties and leaders: | United Romania Party or PRU [Robert BUGA] |
| International organization participation: | Australia Group, BIS, BSEC, CBSS (observer), CD, CE, CEI, EAPC, EBRD, ECB, EIB, ESA, EU, FAO, G-9, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAIA (observer), MIGA, MONUSCO, NATO, NSG, OAS (observer), OIF, OPCW, OSCE, PCA, SELEC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, Union Latina, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador George Cristian MAIOR (since 17 September 2015) |
| Diplomatic representation in the US: | chancery: 1607 23rd Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-4846, 4848, 4851, 4852 |
| Diplomatic representation in the US: | FAX: [1] (202) 232-4748 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Hans G. KLEMM (since 21 September 2015) |
| Diplomatic representation from the US: | embassy: 4-6, Dr. Liviu Librescu Blvd., District 1, Bucharest, 015118 |
| Diplomatic representation from the US: | mailing address: American Embassy Bucharest, US Department of State, 5260 Bucharest Place, Washington, DC 20521-5260 (pouch) |
| Diplomatic representation from the US: | telephone: [40] (21) 200-3300 |
| Diplomatic representation from the US: | FAX: [40] (21) 200-3442 |
| Flag description: | three equal vertical bands of cobalt blue (hoist side), chrome yellow, and vermilion red; modeled after the flag of France, the colors are those of the principalities of Walachia (red and yellow) and Moldavia (red and blue), which united in 1862 to form Romania; the national coat of arms that used to be centered in the yellow band has been removed |
| Flag description: | note: now similar to the flag of Chad, whose blue band is darker; also resembles the flags of Andorra and Moldova |
| National symbol(s): | golden eagle; national colors: blue, yellow, red |
| National anthem: | name: "Desteapta-te romane!" (Wake up, Romanian!) |
| National anthem: | lyrics/music: Andrei MURESIANU/Anton PANN |
| National anthem: | note: adopted 1990; the anthem was written during the 1848 Revolution |
