| Government | Romania |
| Legislative branch: | Chamber of Deputies - percent of vote by party - PSD 28.9%, PNL 25.2%, 2020 USR-PLUS Alliance 15.4%, AUR 9.1%, UDMR 5.7%, other 15.7%; seats by party - PSD 110, PNL 93, 2020 USR-PLUS Alliance 55, AUR 33, UDMR 21, other 18; composition men NA, women NA, percent of women NA; note - total Parliament percent of women NA% |
| Judicial branch: | highest courts: High Court of Cassation and Justice (consists of 111 judges organized into civil, penal, commercial, contentious administrative and fiscal business, and joint sections); Supreme Constitutional Court (consists of 9 members) |
| Judicial branch: | judge selection and term of office: High Court of Cassation and Justice judges appointed by the president upon nomination by the Superior Council of Magistracy, a 19-member body of judges, prosecutors, and law specialists; judges appointed for 6-year renewable terms; Constitutional Court members - 6 elected by Parliament and 3 appointed by the president; members serve 9-year, nonrenewable terms |
| Judicial branch: | subordinate courts: Courts of Appeal; regional tribunals; first instance courts; military and arbitration courts |
| Political parties and leaders: | 2020 USR-PLUS Alliance [Dan BARNA and Dacian CIOLOS] |
| Political parties and leaders: | Alliance for the Unity of Romanians {George SIMION and Claudiu TARZIU] |
| Political parties and leaders: | Christian-Democratic National Peasants' Party or PNT-CD [Aurelian PAVELESCU] |
| Political parties and leaders: | Civic Hungarian Party [Zsolt BIRO] |
| Political parties and leaders: | Democratic Union of Hungarians in Romania or UDMR [Hunor KELEMEN] |
| Political parties and leaders: | Ecologist Party of Romania or PER [Danut POP] |
| Political parties and leaders: | Greater Romania Party or PRM [Adrian POPESCU] |
| Political parties and leaders: | M10 Party [Ioana CONSTANTIN] |
| Political parties and leaders: | National Liberal Party or PNL [Ludovic ORBAN] |
| Political parties and leaders: | New Romania Party or PNR [Sebastian POPESCU] |
| Political parties and leaders: | Our Romania Alliance [Marian MUNTEANU] |
| Political parties and leaders: | Party of Liberty, Unity, and Solidarity or PLUS [Dacian CIOLOS] |
| Political parties and leaders: | Party of the Alliance of Liberals and Democrats or ALDE [Calin POPESCU TARICEANU] |
| Political parties and leaders: | Popular Movement Party or PMP [Traian BASESCU] |
| Political parties and leaders: | Romanian Social Party or PSRo [Mircea GEOANA] |
| Political parties and leaders: | Save Romania Union Party or Partidul USR [Dan BARNA] |
| Political parties and leaders: | Social Democratic Party or PSD [Marcel CIOLACU] |
| Political parties and leaders: | United Romania Party or PRU [Robert BUGA] |
| International organization participation: | Australia Group, BIS, BSEC, CBSS (observer), CD, CE, CEI, EAPC, EBRD, ECB, EIB, ESA, EU, FAO, G-9, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAIA (observer), MIGA, MONUSCO, NATO, NSG, OAS (observer), OIF, OPCW, OSCE, PCA, SELEC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, Union Latina, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador George Cristian MAIOR (since 17 September 2015) |
| Diplomatic representation in the US: | chancery: 1607 23rd Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-4846, 4848, 4851, 4852 |
| Diplomatic representation in the US: | FAX: [1] (202) 232-4748 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Adrian ZUCKERMAN (since 17 December 2019) |
| Diplomatic representation from the US: | telephone: [40] (21) 200-3300 |
| Diplomatic representation from the US: | embassy: 4-6, Dr. Liviu Librescu Blvd., District 1, Bucharest, 015118 |
| Diplomatic representation from the US: | mailing address: American Embassy Bucharest, US Department of State, 5260 Bucharest Place, Washington, DC 20521-5260 (pouch) |
| Diplomatic representation from the US: | FAX: [40] (21) 200-3442 |
| Flag description: | three equal vertical bands of cobalt blue (hoist side), chrome yellow, and vermilion red; modeled after the flag of France, the colors are those of the principalities of Walachia (red and yellow) and Moldavia (red and blue), which united in 1862 to form Romania; the national coat of arms that used to be centered in the yellow band has been removed |
| Flag description: | note: now similar to the flag of Chad, whose blue band is darker; also resembles the flags of Andorra and Moldova |
| National symbol(s): | golden eagle; national colors: blue, yellow, red |
| National anthem: | name: "Desteapta-te romane!" (Wake up, Romanian!) |
| National anthem: | lyrics/music: Andrei MURESIANU/Anton PANN |
| National anthem: | note: adopted 1990; the anthem was written during the 1848 Revolution |
