| Government | Macedonia, The Former Yugoslav Republic of |
| Legislative branch: | unicameral Assembly or Sobranie (120 seats - 85 members are elected by popular vote, 35 members come from lists of candidates submitted by parties based on the percentage that a party gains from the overall vote; all serve four-year terms) |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - Together for Macedonia coalition (SDSM and LDP) 60, VMRO-DPMNE 33, Democratic Union for Integration 16, Democratic Party of Albanians 7, Party for Democratic Prosperity 2, National Democratic Party 1, Socialist Party of Macedonia 1 |
| Legislative branch: | elections: last held 15 September 2002 (next to be held NA 2006) |
| Judicial branch: | Supreme Court - Parliament appoints the judges; Constitutional Court - Parliament appoints the judges; Republican Judicial Council - Parliament appoints the judges |
| Political parties and leaders: | Democratic Alternative or DA [Vasil TUPURKOVSKI, president]; Democratic Union for Integration or DUI (also BDI) [Ali AHMETI]; Democratic Party of Albanians or PDSH [Arben XHAFERI, president]; Internal Macedonian Revolutionary Organization-Democratic Party for Macedonian National Unity or VMRO-DPMNE [Ljubco GEORGIEVSKI, president]; Internal Macedonian Revolutionary Organization-True Macedonian Reform Option or VMRO-VMRO [Boris ZMEJKOVSKI]; Internal Macedonian Revolutionary Organization-Macedonian [Boris STOJMENOV]; Liberal Democratic Party or LDP [Risto PENOV]; Liberal Party [Stojan ANDOV]; National Democratic Party or PDK [Kastriot HAXHIREXHA]; Party for Democratic Prosperity or PPD [Abdurrahman HALITI]; Social-Democratic Alliance of Macedonia or SDSM [Branko CRVENKOVSKI, president]; Socialist Party of Macedonia or SP [Ljubisav IVANOV, president]; Together for Macedonia coalition (including the SDSM and LDP) [Branko CRVENKOVSKI]; Union of Romanies of Macedonia or SRM [leader NA] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACCT, BIS, CE, CEI, EAPC, EBRD, ECE, FAO, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM (observer), ISO, ITU, OPCW, OSCE, PCA, PFP, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WCO, WHO, WIPO, WMO, WToO, WTrO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Nikola DIMITROV |
| Diplomatic representation in the US: | chancery: Suite 302, 1101 30th Street NW, Washington, DC 20007 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation in the US: | FAX: [1] (202) 337-3093 |
| Diplomatic representation in the US: | telephone: [1] (202) 337-3063 |
| Diplomatic representation from the US: | chief of mission: Ambassador Laurence Edward BUTLER |
| Diplomatic representation from the US: | embassy: Bul. Ilinden bb, 91000 Skopje |
| Diplomatic representation from the US: | mailing address: American Embassy Skopje, Department of State, 7120 Skopje Place, Washington, DC 20521-7120 (pouch) |
| Diplomatic representation from the US: | telephone: [389] 116-180 |
| Diplomatic representation from the US: | FAX: [389] 117-103 |
| Flag description: | a yellow sun with eight broadening rays extending to the edges of the red field |
