| Government | Slovenia |
| Executive branch: | election results: Borut PAHOR is reelected president in second round; percent of vote in first round - Borut PAHOR (independent) 47.1%, Marjan SAREC (Marjan Sarec List) 25%, Romana TOMC (SDS) 13.7%, Ljudmila NOVAK (NSi) 7.2%, other 7%; percent of vote in second round - Borut PAHOR 52.9%, Marjan SAREC 47.1%; Marjan SAREC (LMS) elected prime minister; National Assembly vote - 55-31 |
| Legislative branch: | description: bicameral Parliament consists of: |
| Legislative branch: | National Council or Drzavni Svet (40 seats; members indirectly elected by an electoral college to serve 5-year terms); note - the Council is primarily an advisory body with limited legislative powers |
| Legislative branch: | National Assembly or Drzavni Zbor (90 seats; 88 members directly elected in single-seat constituencies by proportional representation vote and 2 directly elected in special constituencies for Italian and Hungarian minorities by simple majority vote; members serve 4-year terms) |
| Legislative branch: | elections: |
| Legislative branch: | National Council - last held on 22 November 2017 (next to be held in 2022) |
| Legislative branch: | National Assembly - last held on 3 June 2018 (next to be held no later than 2022) |
| Legislative branch: | election results: |
| Legislative branch: | National Council - percent of vote by party - NA; seats by party - NA; composition - men 36, women 4, percent of women 10% |
| Legislative branch: | National Assembly - percent of vote by party - SDS 24.9%, LMS 12.7%, SD 9.9%, SMC 9.8%, Levica 9.3%, NSi 7.1%, Stranka AB 5.1%, DeSUS 4.9%, SNS 4.2%, other 12.1%; seats by party - SDS 25, LMS 13, SD 10, SMC 10, Levica 9, NSi 7, Stranka AB 5, DeSUS 5, SNS 4, Italian and Hungarian minorities 2; composition - men 68, women 22, percent of women 24.4%; note - total Parliament percent of women 20% |
| Judicial branch: | highest courts: Supreme Court (consists of the court president and 37 judges organized into civil, criminal, commercial, labor and social security, administrative, and registry departments); Constitutional Court (consists of the court president, vice president, and 7 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court president and vice president appointed by the National Assembly upon the proposal of the Minister of Justice based on the opinions of the Judicial Council, an 11-member independent body elected by the National Assembly from proposals submitted by the president, attorneys, law universities, and sitting judges; other Supreme Court judges elected by the National Assembly from candidates proposed by the Judicial Council; Supreme Court judges serve for life; Constitutional Court judges appointed by the National Assembly from nominations by the president of the republic; Constitutional Court president selected from among its own membership for a 3-year term; other judges elected for single 9-year terms |
| Judicial branch: | subordinate courts: county, district, regional, and high courts; specialized labor-related and social courts; Court of Audit; Administrative Court |
| Political parties and leaders: | Democratic Party of Pensioners of Slovenia or DeSUS [Karl ERJAVEC] |
| Political parties and leaders: | List of Marjan Sarec or LMS [Marjan SAREC] |
| Political parties and leaders: | Modern Center Party or SMC [Miro CERAR] |
| Political parties and leaders: | New Slovenia or NSi [Matej TONIN] |
| Political parties and leaders: | Party of Alenka Bratusek or Stranka AB [Alenka BRATUSEK] (formerly Alliance of Social Liberal Democrats or ZSD and before that Alliance of Alenka Bratusek or ZaAB) |
| Political parties and leaders: | Slovenian Democratic Party or SDS [Janez JANSA] |
| Political parties and leaders: | Slovenian National Party or SNS [Zmago JELINCIC Plemeniti] |
| Political parties and leaders: | Social Democrats or SD [Dejan ZIDAN] |
| Political parties and leaders: | The Left or Levica [Luka MESEC] (successor to United Left or ZL) |
| International organization participation: | Australia Group, BIS, CD, CE, CEI, EAPC, EBRD, ECB, EIB, EMU, ESA (cooperating state), EU, FAO, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITU, MIGA, NATO, NEA, NSG, OAS (observer), OECD, OIF (observer), OPCW, OSCE, PCA, Schengen Convention, SELEC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNTSO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | Ambassador Stanislav VIDOVIC (since 21 July 2017) |
| Diplomatic representation in the US: | chancery: 2410 California Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 386-6601 |
| Diplomatic representation in the US: | FAX: [1] (202) 386-6633 |
| Diplomatic representation in the US: | consulate(s) general: Cleveland (OH) |
| Diplomatic representation from the US: | chief of mission: Ambassador Lynda C. BLANCHARD (since 29 August 2019) |
| Diplomatic representation from the US: | telephone: [386] (1) 200-5500 |
| Diplomatic representation from the US: | embassy: Presernova 31, 1000 Ljubljana |
| Diplomatic representation from the US: | mailing address: American Embassy Ljubljana, US Department of State, 7140 Ljubljana Place, Washington, DC 20521-7140 |
| Diplomatic representation from the US: | FAX: [386] (1) 200-5555 |
| Flag description: | three equal horizontal bands of white (top), blue, and red, derive from the medieval coat of arms of the Duchy of Carniola; the Slovenian seal (a shield with the image of Triglav, Slovenia's highest peak, in white against a blue background at the center; beneath it are two wavy blue lines depicting seas and rivers, and above it are three six-pointed stars arranged in an inverted triangle, which are taken from the coat of arms of the Counts of Celje, the prominent Slovene dynastic house of the late 14th and early 15th centuries) appears in the upper hoist side of the flag centered on the white and blue bands |
| National symbol(s): | Mount Triglav; national colors: white, blue, red |
| National anthem: | name: "Zdravljica" (A Toast) |
| National anthem: | lyrics/music: France PRESEREN/Stanko PREMRL |
| National anthem: | note: adopted in 1989 while still part of Yugoslavia; originally written in 1848; the full poem, whose seventh verse is used as the anthem, speaks of pan-Slavic nationalism |
