| Government | Slovenia |
| International organization participation: | Australia Group, BIS, CE, CEI, EAPC, EBRD, EIB, EU (new member), FAO, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MIGA, NAM (guest), NATO, NSG, OAS (observer), OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UNIDO, UNMIK, UNTSO, UPU, WCO, WEU (member affiliate), WHO, WIPO, WMO, WToO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Samuel ZBOGAR |
| Diplomatic representation in the US: | chancery: 1525 New Hampshire Avenue NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 667-5363 |
| Diplomatic representation in the US: | FAX: [1] (202) 667-4563 |
| Diplomatic representation in the US: | consulate(s) general: New York and Cleveland |
| Diplomatic representation from the US: | chief of mission: Ambassador Thomas B. ROBERTSON |
| Diplomatic representation from the US: | embassy: Presernova 31, 1000 Ljubljana |
| Diplomatic representation from the US: | mailing address: American Embassy Ljubljana, Department of State, 7140 Ljubljana Place, Washington, DC 20521-7140 |
| Diplomatic representation from the US: | telephone: [386] (1) 200-5500 |
| Diplomatic representation from the US: | FAX: [386] (1) 200-5555 |
| Flag description: | three equal horizontal bands of white (top), blue, and red, with the Slovenian seal (a shield with the image of Triglav, Slovenia's highest peak, in white against a blue background at the center; beneath it are two wavy blue lines depicting seas and rivers, and above it are three six-pointed stars arranged in an inverted triangle, which are taken from the coat of arms of the Counts of Celje, the great Slovene dynastic house of the late 14th and early 15th centuries); the seal is located in the upper hoist side of the flag centered in the white and blue bands |
