| Government | Slovenia |
| Political parties and leaders: | Liberal Democracy of Slovenia or LDS [Katarina KRESAL]; New Slovenia or NSi [Ljudmila NOVAK (acting)]; Slovenian Democratic Party or SDS [Janez JANSA]; Democratic Party of Pensioners of Slovenia or DeSUS [Karl ERJAVEC]; Slovene National Party or SNS [Zmago JELINCIC]; Slovene People's Party or SLS [Bojan SROT]; Slovene Youth Party or SMS [Darko KRANJC]; Social Democrats or SD [Borut PAHOR] (formerly ZLSD); ZARES [Gregor Golobic] |
| Political pressure groups and leaders: | Democratic Party of Slovenian Pensioners or DeSUS (protecting the rights of the older generation); Slovenian Roma Association [Jozek Horvat MUC] |
| Political pressure groups and leaders: | other: Catholic Church |
| International organization participation: | Australia Group, BIS, CE, CEI, EAPC, EBRD, EIB, EMU, EU, FAO, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITU, MIGA, NAM (guest), NATO, NSG, OAS (observer), OECD (accession state), OIF (observer), OPCW, OSCE, PCA, Schengen Convention, SECI, UN, UNCTAD, UNESCO, UNIDO, UNIFIL, UNTSO, UNWTO, UPU, WCO, WEU (associate partner), WFTU, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Roman KIRN |
| Diplomatic representation in the US: | chancery: 2410 California Street N.W., Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 386-6601 |
| Diplomatic representation in the US: | FAX: [1] (202) 386-6633 |
| Diplomatic representation in the US: | consulate(s) general: Cleveland, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Brad FREDEN |
| Diplomatic representation from the US: | embassy: Presernova 31, 1000 Ljubljana |
| Diplomatic representation from the US: | mailing address: American Embassy Ljubljana, US Department of State, 7140 Ljubljana Place, Washington, DC 20521-7140 |
| Diplomatic representation from the US: | telephone: [386] (1) 200-5500 |
| Diplomatic representation from the US: | FAX: [386] (1) 200-5555 |
| Flag description: | three equal horizontal bands of white (top), blue, and red, with the Slovenian seal (a shield with the image of Triglav, Slovenia's highest peak, in white against a blue background at the center; beneath it are two wavy blue lines depicting seas and rivers, and above it are three six-pointed stars arranged in an inverted triangle, which are taken from the coat of arms of the Counts of Celje, the great Slovene dynastic house of the late 14th and early 15th centuries); the seal is in the upper hoist side of the flag centered on the white and blue bands |
