| Government | Slovenia |
| Political parties and leaders: | Liberal Democratic Party or LDS [Jelko KACIN]; New Slovenia or NSi [Andrej BAJUK]; Slovenian Democratic Party or SDS [Janez JANSA]; Democratic Party of Pensioners of Slovenia or DeSUS [Karl ERJAVEC]; Slovene National Party or SNS [Zmago JELINCIC]; Slovene People's Party or SLS [Janez PODOBNIK]; Slovene Youth Party or SMS [Darko KRANJC]; Social Democrats or SD [Borut PAHOR] (formerly ZLSD) |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACCT (observer), Australia Group, BIS, CE, CEI, EAPC, EBRD, EIB, EMU, EU, FAO, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITU, MIGA, NAM (guest), NATO, NSG, OAS (observer), OIF (observer), OPCW, OSCE, PCA, SECI, UN, UNCTAD, UNESCO, UNIDO, UNTSO, UNWTO, UPU, WCO, WEU (associate partner), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Samuel ZBOGAR |
| Diplomatic representation in the US: | chancery: 1525 New Hampshire Avenue NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 667-5363 |
| Diplomatic representation in the US: | FAX: [1] (202) 667-4563 |
| Diplomatic representation in the US: | consulate(s) general: Cleveland, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Maryruth COLEMAN |
| Diplomatic representation from the US: | embassy: Presernova 31, 1000 Ljubljana |
| Diplomatic representation from the US: | mailing address: American Embassy Ljubljana, US Department of State, 7140 Ljubljana Place, Washington, DC 20521-7140 |
| Diplomatic representation from the US: | telephone: [386] (1) 200-5500 |
| Diplomatic representation from the US: | FAX: [386] (1) 200-5555 |
| Flag description: | three equal horizontal bands of white (top), blue, and red, with the Slovenian seal (a shield with the image of Triglav, Slovenia's highest peak, in white against a blue background at the center; beneath it are two wavy blue lines depicting seas and rivers, and above it are three six-pointed stars arranged in an inverted triangle, which are taken from the coat of arms of the Counts of Celje, the great Slovene dynastic house of the late 14th and early 15th centuries); the seal is in the upper hoist side of the flag centered in the white and blue bands |
