| Government | Switzerland |
| Judicial branch: | highest courts: Federal Supreme Court (consists of 38 justices and 19 deputy justices organized into 7 divisions) |
| Judicial branch: | judge selection and term of office: judges elected by the Federal Assembly for 6-year terms; note - judges are affiliated with political parties and are elected according to linguistic and regional criteria in approximate proportion to the level of party representation in the Federal Assembly |
| Judicial branch: | subordinate courts: Federal Criminal Court (established in 2004); Federal Administrative Court (established in 2007); note - each of Switzerland's 26 cantons has its own courts |
| Executive branch: | chief of state: President of the Swiss Confederation Ueli MAURER (since 1 January 2019); Vice President Simonetta SOMMARUGA (since 1 January 2019); note - the Federal Council, which is comprised of 7 federal councillors, constitutes the federal government of Switzerland; council members rotate the 1-year term of federal president (chief of state and head of government) |
| Executive branch: | head of government: President of the Swiss Confederation Ueli MAURER (since 1 January 2019); Vice President Simonetta SOMMARUGA (since 1 January 2018) |
| Executive branch: | cabinet: Federal Council or Bundesrat (in German), Conseil Federal (in French), Consiglio Federale (in Italian) indirectly elected, usually from among its members by the Federal Assembly for a 4-year term |
| Executive branch: | elections/appointments: president and vice president elected by the Federal Assembly from among members of the Federal Council for a 1-year, non-consecutive term; election last held on 5 December 2018 (next to be held in December 2019) |
| Executive branch: | election results: Ueli MAURER elected president; Federal Assembly vote - 201 of 209; Simonetta SOMMARUGAÂ elected vice president; Federal Assembly vote - 196 of 216 |
| Legislative branch: | description: bicameral Federal Assembly or Bundesversammlung (in German), Assemblee Federale (in French), Assemblea Federale (in Italian) consists of: |
| Legislative branch: | Council of States or Staenderat (in German), Conseil des Etats (in French), Consiglio degli Stati (in Italian) (46 seats; members in multi-seat constituencies representing cantons and single-seat constituencies representing half cantons directly elected by simple majority vote except Jura and Neuchatel cantons which use proportional representation vote; member term governed by conatonal law) |
| Legislative branch: | National Council or Nationalrat (in German), Conseil National (in French), Consiglio Nazionale (in Italian) (200 seats; 195 members in cantons directly elected by proportional representation vote and 6 in half cantons directly elected by simple majority vote; members serve 4-year terms) |
| Legislative branch: | elections: |
| Legislative branch: | Council of States - last held in most cantons on 18 October 2015 (each canton determines when the next election will be held) |
| Legislative branch: | National Council - last held on 18 October 2015 (next to be held in October 2019) |
| Legislative branch: | election results: |
| Legislative branch: | Council of States - percent of vote by party - NA; seats by party - CVP 13, FDP 13, SDP 12, SVP 5, other 3; composition - men 39, women 7, percent of women 15.2%Â  |
| Legislative branch: | National Council - percent of vote by party - SVP 29.4%, SPS 18.8%, FDP 16.4%, CVP 11.6%, Green Party 7.1%, GLP 4.6%, BDP 4.1%, other 8%; seats by party - SVP 68, SPS 43, FDP 33, CVP 30, Green Party 12, GLP 7, BDP 7; composition - men 136, women 64, percent of women 32%; note - total Assembly percent of women 28.9% |
| Political parties and leaders: | Christian Democratic People's Party (Christlichdemokratische Volkspartei der Schweiz) or CVP, Parti Democrate-Chretien Suisse or PDC, Partito Popolare Democratico Svizzero or PPD, Partida Cristiandemocratica dalla Svizra or PCD) [Gerhard PFISTER] |
| Political parties and leaders: | Conservative Democratic Party (Buergerlich-Demokratische Partei Schweiz or BDP, Parti Bourgeois Democratique Suisse or PBD, Partito Borghese Democratico Svizzero or PBD, Partido burgais democratica Svizera or PBD) [Martin LANDOLT] |
| Political parties and leaders: | Free Democratic Party or FDP.The Liberals (FDP.Die Liberalen, PLR.Les Liberaux-Radicaux, PLR.I Liberali, Ils Liberals) [Petra GOESSI] |
| Political parties and leaders: | Green Liberal Party (Grunliberale or GLP, Parti vert liberale or PVL, Partito Verde-Liberale or PVL, Partida Verde Liberale or PVL) [Jurge GROSSEN] |
| Political parties and leaders: | Green Party (Gruene Partei der Schweiz or Gruene, Parti Ecologiste Suisse or Les Verts, Partito Ecologista Svizzero or I Verdi, Partida Ecologica Svizra or La Verda) [Regula RYTZ] |
| Political parties and leaders: | Social Democratic Party (Sozialdemokratische Partei der Schweiz or SPS, Parti Socialiste Suisse or PSS, Partito Socialista Svizzero or PSS, Partida Socialdemocratica de la Svizra or PSS) [Christian LEVRAT] |
| Political parties and leaders: | Swiss People's Party (Schweizerische Volkspartei or SVP, Union Democratique du Centre or UDC, Unione Democratica di Centro or UDC, Uniun Democratica dal Center or UDC) [Albert ROESTI] |
| Political parties and leaders: | other minor parties |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), Australia Group, BIS, CD, CE, CERN, EAPC, EBRD, EFTA, EITI (implementing country), ESA, FAO, FATF, G-10, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IGAD (partners), ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAIA (observer), MIGA, MINUSMA, MONUSCO, NEA, NSG, OAS (observer), OECD, OIF, OPCW, OSCE, Pacific Alliance (observer), Paris Club, PCA, PFP, Schengen Convention, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNITAR, UNMISS, UNMOGIP, UNRWA, UNTSO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Martin Werner DAHINDEN (since 18 November 2014) |
| Diplomatic representation in the US: | chancery: 2900 Cathedral Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 745-7900 |
| Diplomatic representation in the US: | FAX: [1] (202) 387-2564 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Chicago, Los Angeles, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Edward "Ed" MCMULLEN (since 21 November 2017) note - also accredited to Liechtenstein |
| Diplomatic representation from the US: | embassy: Sulgeneckstrasse 19, CH-3007 Bern |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [41] (031) 357-70-11 |
| Diplomatic representation from the US: | FAX: [41] (031) 357-73-20 |
| Flag description: | red square with a bold, equilateral white cross in the center that does not extend to the edges of the flag; various medieval legends purport to describe the origin of the flag; a white cross used as identification for troops of the Swiss Confederation is first attested at the Battle of Laupen (1339) |
| National symbol(s): | Swiss cross (white cross on red field, arms equal length); national colors: red, white |
| National anthem: | Leonhard WIDMER [German], Charles CHATELANAT [French], Camillo VALSANGIACOMO [Italian], and Flurin CAMATHIAS [Romansch]/Alberik ZWYSSIG |
| National anthem: | the Swiss anthem has four names: "Schweizerpsalm" [German] "Cantique Suisse" [French] "Salmo svizzero," [Italian] "Psalm svizzer" [Romansch] (Swiss Psalm) |
| National anthem: | note: unofficially adopted 1961, officially 1981; the anthem has been popular in a number of Swiss cantons since its composition (in German) in 1841; translated into the other three official languages of the country (French, Italian, and Romansch), it is official in each of those languages |
