| Government | Switzerland |
| Executive branch: | election results: Hans-Rudolf MERZ elected president; percent of Federal Assembly vote - 88.5%; Doris LEUTHARD elected vice president; percent of Federal Assembly vote - 87.4% |
| Legislative branch: | bicameral Federal Assembly or Bundesversammlung (in German), Assemblee Federale (in French), Assemblea Federale (in Italian) consists of the Council of States or Standerat (in German), Conseil des Etats (in French), Consiglio degli Stati (in Italian) (46 seats; membership consists of 2 representatives from each canton and 1 from each half canton; to serve four-year terms) and the National Council or Nationalrat (in German), Conseil National (in French), Consiglio Nazionale (in Italian) (200 seats; members are elected by popular vote on the basis of proportional representation to serve four-year terms) |
| Legislative branch: | elections: Council of States - last held in most cantons in October 2007 (each canton determines when the next election will be held); National Council - last held on 21 October 2007 (next to be held in October 2011) |
| Legislative branch: | election results: Council of States - percent of vote by party - NA; seats by party - CVP 15, FDP 12, SVP 7, SPS 9, other 3; National Council - percent of vote by party - SVP 29%, SPS 19.5%, FDP 15.6%, CVP 14.6%, Greens 9.6%, other 11.7%; seats by party - SVP 62, SPS 43, FDP 31, CVP 31, Green Party 20, other small parties 13 |
| Judicial branch: | Federal Supreme Court (judges elected for six-year terms by the Federal Assembly) |
| Political parties and leaders: | Green Party (Gruene Partei der Schweiz or Gruene, Parti Ecologiste Suisse or Les Verts, Partito Ecologista Svizzero or I Verdi, Partida Ecologica Svizra or La Verda) [Ueli LEUENBERGER]; Christian Democratic People's Party (Christlichdemokratische Volkspartei der Schweiz or CVP, Parti Democrate-Chretien Suisse or PDC, Partito Democratico-Cristiano Popolare Svizzero or PDC, Partida Cristiandemocratica dalla Svizra or PCD) [Christophe DARBELLAY]; Radical Free Democratic Party (Freisinnig-Demokratische Partei der Schweiz or FDP, Parti Radical-Democratique Suisse or PRD, Partitio Liberal-Radicale Svizzero or PLR) [Fulvio PELLI]; Social Democratic Party (Sozialdemokratische Partei der Schweiz or SPS, Parti Socialist Suisse or PSS, Partito Socialista Svizzero or PSS, Partida Socialdemocratica de la Svizra or PSS) [Christian LEVRAT]; Swiss People's Party (Schweizerische Volkspartei or SVP, Union Democratique du Centre or UDC, Unione Democratica de Centro or UDC, Uniun Democratica dal Center or UDC) [Toni BRUNNER]; and other minor parties |
| Political pressure groups and leaders: | NA |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), Australia Group, BIS, CE, CERN, EAPC, EBRD, EFTA, ESA, FAO, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, LAIA (observer), MIGA, MONUC, NAM (guest), NEA, NSG, OAS (observer), OECD, OIF, OPCW, OSCE, Paris Club, PCA, PFP, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNITAR, UNOMIG, UNRWA, UNTSO, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Urs ZISWILER |
| Diplomatic representation in the US: | chancery: 2900 Cathedral Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 745-7900 |
| Diplomatic representation in the US: | FAX: [1] (202) 387-2564 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Chicago, Los Angeles, New York, San Francisco |
| Diplomatic representation in the US: | consulate(s): Boston |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Leigh CARTER |
| Diplomatic representation from the US: | embassy: Sulgeneckstrasse 19, CH-3007 Bern |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [41] (031) 357 70 11 |
| Diplomatic representation from the US: | FAX: [41] (031) 357 73 44 |
| Flag description: | red square with a bold, equilateral white cross in the center that does not extend to the edges of the flag; various medieval legends purport to describe the origin of the flag; a white cross used as identification for troops of the Swiss Confederation is first attested at the Battle of Laupen (1339) |
