| Government | ZIMBABWE |
| Judicial branch: | subordinate courts: High Court; Labor Court; Administrative Court; regional magistrate courts; customary law courts; special courts |
| Political parties and leaders: | Freedom Front [Cosmas MPONDA] |
| Political parties and leaders: | Movement for Democratic Change - Ncube or MDC-N [Welshman NCUBE] |
| Political parties and leaders: | Movement for Democratic Change - Tsvangirai or MDC-T [Morgan TSVANGIRAI] |
| Political parties and leaders: | National People's Party or NPP [Joyce MUJURU] formerly Zimbabwe People First or ZimPF) |
| Political parties and leaders: | Peoples Democratic Party or PDP [Tendai BITI] |
| Political parties and leaders: | Transform Zimbabwe or TZ [Jacob NGARIVHUME] |
| Political parties and leaders: | Zimbabwe African National Union-Patriotic Front or ZANU-PF [Robert Gabriel MUGABE] |
| Political parties and leaders: | Zimbabwe African Peoples Union or ZAPU [Dumiso DABENGWA] |
| Political parties and leaders: | Zimbabwe People First or ZimFirst [Maxwell SHUMBA] |
| Political pressure groups and leaders: | Crisis in Zimbabwe Coalition |
| Political pressure groups and leaders: | National Constitutional Assembly or NCA [Lovemore MADHUKU] |
| Political pressure groups and leaders: | Women of Zimbabwe Arise or WOZA [Jenni WILLIAMS] |
| Political pressure groups and leaders: | Zimbabwe Congress of Trade Unions or ZCTU [Peter MUTASA] |
| Political pressure groups and leaders: | Zimbabwe Human Rights Association or ZimRights [Okay MACHISA] |
| Political pressure groups and leaders: | Zimbabwe Human Rights NGO Forum [Jestina MUKOKO] |
| Political pressure groups and leaders: | Zimbabwe Lawyers for Human Rights or ZLHR [Roselyn HANZI] |
| International organization participation: | ACP, AfDB, AU, COMESA, FAO, G-15, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NAM, OPCW, PCA, SADC, UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Ammon MUTEMBWA (since 18 November 2014) |
| Diplomatic representation in the US: | chancery: 1608 New Hampshire Avenue NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-7100 |
| Diplomatic representation in the US: | FAX: [1] (202) 483-9326 |
| Diplomatic representation from the US: | chief of mission: Ambassador Harry K. THOMAS, Jr. (since 25 February 2016) |
| Diplomatic representation from the US: | embassy: 172 Herbert Chitepo Avenue, Harare |
| Diplomatic representation from the US: | mailing address: P.O. Box 3340, Harare |
| Diplomatic representation from the US: | telephone: [263] (4) 250-593 through 250-594 |
| Diplomatic representation from the US: | FAX: [263] (4) 796-488, or 722-618 |
| Flag description: | seven equal horizontal bands of green, yellow, red, black, red, yellow, and green with a white isosceles triangle edged in black with its base on the hoist side; a yellow Zimbabwe bird representing the long history of the country is superimposed on a red five-pointed star in the center of the triangle, which symbolizes peace; green represents agriculture, yellow mineral wealth, red the blood shed to achieve independence, and black stands for the native people |
| National symbol(s): | Zimbabwe bird symbol, African fish eagle, flame lily; national colors: green, yellow, red, black, white |
| National anthem: | name: "Kalibusiswe Ilizwe leZimbabwe" [Northern Ndebele language] "Simudzai Mureza WeZimbabwe" [Shona] (Blessed Be the Land of Zimbabwe) |
| National anthem: | lyrics/music: Solomon MUTSWAIRO/Fred Lecture CHANGUNDEGA |
| National anthem: | note: adopted 1994 |
