| Government | MALI |
| Judicial branch: | highest court(s): Supreme Court or Cour Supreme (consists of 19 members organized into 3 civil chambers and a criminal chamber); Constitutional Court (consists of 9 members) |
| Judicial branch: | judge selection and term of office: Supreme Court members appointed by the Ministry of Justice to serve 5-year terms; Constitutional Court members selected - 3 each by the president, the National Assembly, and the Supreme Council of the Magistracy; members serve single renewable 7-year terms |
| Judicial branch: | subordinate courts: subordinate courts: Court of Appeal; High Court of Justice (jurisdiction limited to cases of high treason or criminal offenses by the president or ministers while in office); magistrate courts; first instance courts; labor dispute courts; special court of state security |
| Political parties and leaders: | African Solidarity for Democracy and Independence or SADI [Oumar MARIKO] |
| Political parties and leaders: | Alliance for Democracy in Mali-Pan-African Party for Liberty, Solidarity, and Justice or ADEMA-PASJ [Dionconda TRAORE] |
| Political parties and leaders: | Alliance for Democracy and Progress or ADP (coalition including ADEMA and URD formed in December 2006 to support the presidential candidacy of Amadou TOURE) |
| Political parties and leaders: | Alliance for the Solidarity of Mali-Convergence of Patriotic Forces or ASMA-CFP [Soumeylou Boubeye MAIGA] |
| Political parties and leaders: | Alternative Forces for Renewal and Emergence or FARE [Modibo SIDIBE] |
| Political parties and leaders: | Convergence for the Development of Mali or CODEM [Housseyni Amion GUINDO] |
| Political parties and leaders: | Economic and Social Development Party or PDES [Jamille BITTAR] |
| Political parties and leaders: | Front for Democracy and the Republic or FDR (coalition including RPM and PARENA formed to oppose the presidential candidacy of Amadou TOURE) |
| Political parties and leaders: | National Congress for Democratic Initiative or CNID [Mountaga TALL] |
| Political parties and leaders: | Party for National Renewal or PARENA [Tiebile DRAME] |
| Political parties and leaders: | Patriotic Movement for Renewal or MPR [Choguel Kokalla MAIGA] |
| Political parties and leaders: | Rally for Mali or RPM [Ibrahim Boubacar KEITA] (ruling party) |
| Political parties and leaders: | Union for Republic and Democracy or URD [Younoussi TOURE] |
| Political pressure groups and leaders: | other: the army; Islamic authorities; state-run cotton company CMDT |
| International organization participation: | ACP, AfDB, AU, CD, ECOWAS, EITI (compliant country), FAO, FZ, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MONUSCO, NAM, OIC, OIF, OPCW, UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNISFA, UNMISS, UNWTO, UPU, WADB (regional), WAEMU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Tiena COULIBALY (since 18 November 2014) |
| Diplomatic representation in the US: | chancery: 2130 R Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-2249, 939-8950 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-6603 |
| Diplomatic representation from the US: | chief of mission: Ambassador Paul A. FOLMSBEE (since 2015) |
| Diplomatic representation from the US: | embassy: located just off the Roi Bin Fahad Aziz Bridge just west of the Bamako central district |
| Diplomatic representation from the US: | mailing address: ACI 2000, Rue 243, Porte 297, Bamako |
| Diplomatic representation from the US: | telephone: [223] 2070-2300 |
| Diplomatic representation from the US: | FAX: [223] 2070-2479 |
| Flag description: | three equal vertical bands of green (hoist side), yellow, and red |
| Flag description: | note: uses the popular Pan-African colors of Ethiopia; the colors from left to right are the same as those of neighboring Senegal (which has an additional green central star) and the reverse of those on the flag of neighboring Guinea |
| National symbol(s): | Great Mosque of Djenne; national colors: green, yellow, red |
| National anthem: | name: "Le Mali" (Mali) |
| National anthem: | lyrics/music: Seydou Badian KOUYATE/Banzoumana SISSOKO |
| National anthem: | note: adopted 1962; also known as "Pour L'Afrique et pour toi, Mali" (For Africa and for You, Mali) and "A ton appel Mali" (At Your Call, Mali) |
