| Government | Nepal |
| Judicial branch: | subordinate courts: High Court; district courts |
| Political parties and leaders: | the Election Commission of Nepal granted ballot access under the proportional system to 88 political parties for the November-December 2017 House of Representatives election to the Federal Parliament; of these, the followingÂ 8 parties won seats: |
| Political parties and leaders: | Federal Socialist Forum, Nepal or FSFN [Upendra YADAV] |
| Political parties and leaders: | Naya Shakti Party, Nepal [Baburam BHATTARAI] |
| Political parties and leaders: | Nepal Communist Party or NCP [Khadga Prasad OLI, Pushpa KamalÂ DAHAL] |
| Political parties and leaders: | Nepali Congress or NC [Sher Bahadur DEUBA] |
| Political parties and leaders: | Nepal Mazdoor Kisan Party [Narayan Man BIJUKCHHE] |
| Political parties and leaders: | Rastriya Janamorcha [Chitra Bahadur K.C.] |
| Political parties and leaders: | Rastriya Janata Party or RJPN [Mahanta THAKUR] |
| Political parties and leaders: | Rastriya Prajatantra party or RPP [Kamal THAPA] |
| International organization participation: | ADB, BIMSTEC, CD, CP, FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, MINUSMA, MINUSTAH, MONUSCO, NAM, OPCW, SAARC, SACEP, UN, UNAMID, UNCTAD, UNDOF, UNESCO, UNIDO, UNIFIL, UNMIL, UNMISS, UNOCI, UNTSO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | Ambassador Arjun Kumar KARKI (since 18 May 2015) |
| Diplomatic representation in the US: | chancery: 2730 34th Place NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 667-4550 |
| Diplomatic representation in the US: | FAX: [1] (202) 667-5534 |
| Diplomatic representation in the US: | consulate(s) general: Chicago (IL), New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Randy BERRY (since 25 October 2018) |
| Diplomatic representation from the US: | telephone: [977] (1) 423-4000 |
| Diplomatic representation from the US: | embassy: Maharajgunj, Kathmandu, Nepal |
| Diplomatic representation from the US: | mailing address: US Embassy, Maharajgunj Chakrapath, Kathmandu, Nepal 44600 |
| Diplomatic representation from the US: | FAX: [977] (1) 400-7272 |
| Flag description: | crimson red with a blue border around the unique shape of two overlapping right triangles; the smaller, upper triangle bears a white stylized moon and the larger, lower triangle displays a white 12-pointed sun; the color red represents the rhododendron (Nepal's national flower) and is a sign of victory and bravery, the blue border signifies peace and harmony; the two right triangles are a combination of two single pennons (pennants) that originally symbolized the Himalaya Mountains while their charges represented the families of the king (upper) and the prime minister, but today they are understood to denote Hinduism and Buddhism, the country's two main religions; the moon represents the serenity of the Nepalese people and the shade and cool weather in the Himalayas, while the sun depicts the heat and higher temperatures of the lower parts of Nepal; the moon and the sun are also said to express the hope that the nation will endure as long as these heavenly bodies |
| Flag description: | note: Nepal is the only country in the world whose flag is not rectangular or square |
| National symbol(s): | rhododendron blossom; national color: red |
| National anthem: | name: "Sayaun Thunga Phool Ka" (Hundreds of Flowers) |
| National anthem: | lyrics/music: Pradeep Kumar RAI/Ambar GURUNG |
| National anthem: | note: adopted 2007; after the abolition of the monarchy in 2006, a new anthem was required because of the previous anthem's praise for the king |
