| Government | Nepal |
| Political parties and leaders: | Chure Bhawar Rastriya Ekata Party [Badri Prasad NEUPANE]; Communist Party of Nepal-Marxist Leninist or CPN-ML [C.P. MAINALI]; Communist Party of Nepal-Marxist Leninist Samaibadi [Jaqat Bahadur BOGATI]; Communist Party of Nepal-Maoist [Mohan BAIDYA, also known as KIRAN]; Communist Party of Nepal-Unified [Raj Singh SHRIS]; Communist Party of Nepal-United [Chandra Dev JOSHI]; Communist Party of Nepal-Unified Marxist-Leninist or CPN-UML [Jhalanath KHANAL]; Dalit Janajati Party [Vishwendraman PASHWAN]; Federal Democratic National Forum; Federal Democratic National Party [Yogendra CHAUDBARI]; Federal Sadbhayana Party [Anil JHAL]; Madhesi People's Rights Forum-Democratic [Bijay Kumar GACHHADAR]; Madhesi People's Rights Forum-Nepal [Upendra YADAV]; Madhesi People's Rights Forum-Republic [Jaya Prakash GUPTA]; Nepal Loktantrik Samajbadi Dal [Laxmi Lal CHAUDBARY]; Nepal Pariwar Dal [Eknath DHAKAL]; Nepal Workers and Peasants Party [Narayan Man BIJUKCHHE]; Nepali Congress or NC [Sushil KOIRALA]; Nepali Janata Dal [Harish Chandra SHA]; Newa Rastriya Party [Keshav Man SHAKYA]; Rastriya Janamorcha [Chitra Bahadur K.C.]; Rastriya Janamukti Party [Malwar Singh THAPA]; Rastriya Janashakti Party or RJP [Surya Bahadur THAPA]; Rastriya Prajantantra Party [Pashupati Shumsher RANA]; Rastriya Prajantantra Party Nepal [Kamal THAPA]; Sadbhavana Party [Rajendra MAHATO]; Sadbhavana Party-Anandi Devi [Sarita GIRI]; Samajbadi Prajatantrik Janata Party Nepal [Prem Bahadur SINGH]; Terai Madhes Democratic Party [Mahantha THAKUR]; Terai Madhes Democratic Party-Nepal [Mahendra YADAVI]; Unified Communist Party of Nepal (Maoist) [Pushpa Kamal DAHAL, also known as PRACHANDA] |
| Political pressure groups and leaders: | other: small armed Madhesi groups along the southern border with India; a variety of groups advocating regional autonomy for individual ethnic groups |
| International organization participation: | ADB, BIMSTEC, CD, CP, FAO, G-77, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, MINUSTAH, MONUSCO, NAM, OPCW, SAARC, SACEP, UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNIFIL, UNISFA, UNMIL, UNMISS, UNMIT, UNOCI, UNTSO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Shankar Prasad SHARMA |
| Diplomatic representation in the US: | chancery: 2131 Leroy Place NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 667-4550 |
| Diplomatic representation in the US: | FAX: [1] (202) 667-5534 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Peter W. BODDE |
| Diplomatic representation from the US: | embassy: Maharajgunj, Kathmandu |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [977] (1) 400-7200 |
| Diplomatic representation from the US: | FAX: [977] (1) 400-7272 |
| Flag description: | red with a blue border around the unique shape of two overlapping right triangles; the smaller, upper triangle bears a white stylized moon and the larger, lower triangle displays a white 12-pointed sun; the color red represents the rhododendron (Nepal's national flower) and is a sign of victory and bravery, the blue border signifies peace and harmony; the two right triangles are a combination of two single pennons (pennants) that originally symbolized the Himalaya Mountains while their charges represented the families of the king (upper) and the prime minister, but today they are understood to denote Hinduism and Buddhism, the country's two main religions; the moon represents the serenity of the Nepalese people and the shade and cool weather in the Himalayas, while the sun depicts the heat and higher temperatures of the lower parts of Nepal; the moon and the sun are also said to express the hope that the nation will endure as long as these heavenly bodies |
| Flag description: | note: Nepal is the only country in the world whose flag is not rectangular or square |
| National symbol(s): | rhododendron blossom |
| National anthem: | name: "Sayaun Thunga Phool Ka" (Hundreds of Flowers) |
| National anthem: | lyrics/music: Pradeep Kumar RAI/Ambar GURUNG |
| National anthem: | note: adopted 2007; after the abolition of the monarchy in 2006, a new anthem was required because of the previous anthem's praise for the king |
