| Government | NEPAL |
| Political parties and leaders: | Bahujan Shakti Party [Bishwendra PASHWAN] |
| Political parties and leaders: | Communist Party of Nepal (Maoist Centre) or CPN-MC [Pushpa Kamal DAHAL, also known as Comrade PRACHANDA] |
| Political parties and leaders: | Communist Party of Nepal-Marxist Leninist or CPN-ML [C.P. MAINALI] |
| Political parties and leaders: | Communist Party of Nepal-Unified Marxist-Leninist or CPN-UML [Khadga Prasad Sharma OLI] |
| Political parties and leaders: | Communist Party of Nepal (United) or CPN (United) [Jaydev JOSHI] |
| Political parties and leaders: | Dalit Janajati Party Nepal [Yashoda Kumari LAMA] |
| Political parties and leaders: | Federal Limbuwan State Council or FLSC [Kumar LINGDEN] |
| Political parties and leaders: | Federal Socialist Forum-Nepal [Upendra YADAV] |
| Political parties and leaders: | Federal Socialist Party [Ashok RAI] |
| Political parties and leaders: | Jana Jagaran Party Nepal (Awareness Party Nepal) [Lok Mani DHAKAL] |
| Political parties and leaders: | Khambuwan Rastriya Morcha-Nepal [Ram Kumar RAI] |
| Political parties and leaders: | Madhesi People's Rights Forum-Democratic [Bijay Kumar GACHCHADAR] |
| Political parties and leaders: | Madhesi People's Rights Forum-Republican [Raj Kishore YADAV] |
| Political parties and leaders: | Madhesh Samata Party Nepal [Meghraj SAHANI] |
| Political parties and leaders: | National Madhes Socialist Party [Sharat Singh BHANDARI] |
| Political parties and leaders: | Nepal Pariwar Dal [Ek Nath DHAKAL] |
| Political parties and leaders: | Nepal Workers and Peasants Party [Narayan Man BIJUKCHHE] |
| Political parties and leaders: | Nepali Congress or NC [Bahadur DEUBA] |
| Political parties and leaders: | Nepali Janata Dal [Hari Charan SHAH] |
| Political parties and leaders: | Rastriya Janamorcha Nepal [Chitra Bahadur K.C.] |
| Political parties and leaders: | Rastriya Janamukti Party [Malwar Singh THAPA] |
| Political parties and leaders: | Rastriya Prajatantra Party or RPP [Kamal THAPA] |
| Political parties and leaders: | Sadhbhawana Party [Rajendra MAHATO] |
| Political parties and leaders: | Samajwadi Janata Party [Prem Bahadur SINGH] |
| Political parties and leaders: | Sanghiya Sadbhavana Party [Anil Kumar JHA] |
| Political parties and leaders: | Sanghiya Loktantrik Rastriya Manch [Rukmini CHAUDHARY] |
| Political parties and leaders: | Terai Madhesh Democratic Party [Mahantha THAKUR] |
| Political parties and leaders: | Terai-Madhesh Sadbhavana Party-Nepal [Mahendra YADAV] |
| Political parties and leaders: | Tharuhat Terai Party Nepal [Bhanuram CHAUDARY] |
| Political pressure groups and leaders: | National Federation of Indigenous Nationalities |
| Political pressure groups and leaders: | Tharu Kalyankari Sabha (Tharus rights advocacy group) |
| International organization participation: | ADB, BIMSTEC, CD, CP, FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, MINUSMA, MINUSTAH, MONUSCO, NAM, OPCW, SAARC, SACEP, UN, UNAMID, UNCTAD, UNDOF, UNESCO, UNIDO, UNIFIL, UNMIL, UNMISS, UNOCI, UNTSO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Arjun Kumar KARKI (since 18 May 2015) |
| Diplomatic representation in the US: | chancery: 2131 Leroy Place NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 667-4550 |
| Diplomatic representation in the US: | FAX: [1] (202) 667-5534 |
| Diplomatic representation in the US: | consulate(s) general: Cleveland (OH), New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Alaina B. TEPLITZ (since 7 October 2015) |
| Diplomatic representation from the US: | embassy: Maharajgunj, Kathmandu |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [977] (1) 423-4000 |
| Diplomatic representation from the US: | FAX: [977] (1) 400-7272 |
| Flag description: | crimson red with a blue border around the unique shape of two overlapping right triangles; the smaller, upper triangle bears a white stylized moon and the larger, lower triangle displays a white 12-pointed sun; the color red represents the rhododendron (Nepal's national flower) and is a sign of victory and bravery, the blue border signifies peace and harmony; the two right triangles are a combination of two single pennons (pennants) that originally symbolized the Himalaya Mountains while their charges represented the families of the king (upper) and the prime minister, but today they are understood to denote Hinduism and Buddhism, the country's two main religions; the moon represents the serenity of the Nepalese people and the shade and cool weather in the Himalayas, while the sun depicts the heat and higher temperatures of the lower parts of Nepal; the moon and the sun are also said to express the hope that the nation will endure as long as these heavenly bodies |
| Flag description: | note: Nepal is the only country in the world whose flag is not rectangular or square |
| National symbol(s): | rhododendron blossom; national color: red |
| National anthem: | name: "Sayaun Thunga Phool Ka" (Hundreds of Flowers) |
| National anthem: | lyrics/music: Pradeep Kumar RAI/Ambar GURUNG |
| National anthem: | note: adopted 2007; after the abolition of the monarchy in 2006, a new anthem was required because of the previous anthem's praise for the king |
