| Government | Panama |
| Judicial branch: | highest court(s): Supreme Court of Justice or Corte Suprema de Justicia (consists of 9 magistrates and 9 alternates and divided into civil, criminal, administrative, and general business chambers) |
| Judicial branch: | judge selection and term of office: magistrates appointed by the president for staggered 10-year terms |
| Judicial branch: | subordinate courts: appellate courts or Tribunal Superior; Labor Supreme Courts; Court of Audit; circuit courts or Tribunal Circuital (2 each in 9 provinces); municipal courts; electoral, family, maritime, and adolescent courts |
| Political parties and leaders: | Democratic Change or CD [Ricardo MARTINELLI Berrocal] |
| Political parties and leaders: | Democratic Revolutionary Party or PRD [Juan Carlos NAVARRO Quelquejeu] |
| Political parties and leaders: | Nationalist Republican Liberal Movement or MOLIRENA [Sergio GONZALEZ-Ruiz] |
| Political parties and leaders: | Panamenista Party [Juan Carlos VARELA Rodriguez] (formerly the Arnulfista Party) |
| Political parties and leaders: | Popular Party or PP [Milton HENRIQUEZ] (formerly Christian Democratic Party or PDC) |
| Political pressure groups and leaders: | Chamber of Commerce |
| Political pressure groups and leaders: | Concertacion Nacional (mechanism for government of Panama to formally dialogue with representatives of civil society) |
| Political pressure groups and leaders: | National Council of Organized Workers or CONATO |
| Political pressure groups and leaders: | National Council of Private Enterprise or CONEP |
| Political pressure groups and leaders: | National Union of Construction and Similar Workers (SUNTRACS) |
| Political pressure groups and leaders: | Panamanian Association of Business Executives or APEDE |
| Political pressure groups and leaders: | Panamanian Industrialists Society or SIP |
| Political pressure groups and leaders: | Workers Confederation of the Republic of Panama or CTRP |
| International organization participation: | BCIE, CAN (observer), CD, CELAC, CSN (observer), FAO, G-77, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAES, LAIA, MIGA, NAM, OAS, OPANAL, OPCW, Pacific Alliance (observer), PCA, SICA, UN, UNASUR (observer), UNCTAD, UNESCO, UNIDO, Union Latina, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Mario Ernesto JARAMILLO Castillo (since 17 February 2011) |
| Diplomatic representation in the US: | chancery: 2862 McGill Terrace NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 483-1407 |
| Diplomatic representation in the US: | FAX: [1] (202) 483-8413 |
| Diplomatic representation in the US: | consulate(s) general: Honolulu, Houston, Miami, New Orleans, New York, Philadelphia, San Diego, Tampa, Washington DC |
| Diplomatic representation from the US: | chief of mission: Ambassador Jonathan D. FARRAR (since 15 May 2012) |
| Diplomatic representation from the US: | embassy: Edificio 783, Avenida Demetrio Basilio Lakas Panama, Apartado Postal 0816-02561, Zona 5, Panama City |
| Diplomatic representation from the US: | mailing address: American Embassy Panama, Unit 0945, APO AA 34002; American Embassy Panama, 9100 Panama City PL, Washington, DC 20521-9100 |
| Diplomatic representation from the US: | telephone: [507] 317-5000 |
| Diplomatic representation from the US: | FAX: [507] 317-5568 |
| Flag description: | divided into four, equal rectangles; the top quadrants are white (hoist side) with a blue five-pointed star in the center and plain red; the bottom quadrants are plain blue (hoist side) and white with a red five-pointed star in the center; the blue and red colors are those of the main political parties (Conservatives and Liberals respectively) and the white denotes peace between them; the blue star stands for the civic virtues of purity and honesty, the red star signifies authority and law |
| National symbol(s): | harpy eagle |
| National anthem: | name: "Himno Istmeno" (Isthmus Hymn) |
| National anthem: | lyrics/music: Jeronimo DE LA OSSA/Santos A. JORGE |
| National anthem: | note: adopted 1925 |
